subject_code,official_name,what_it_is,ancestor_path,vol,prev_disposition,prev_family,proposed_disposition,proposed_family,instrument_sector,mechanism,note,changed
3585,Exercício arbitrário ou abuso de poder ,"Exercício arbitrário ou abuso de poder Art. 350 - Ordenar ou executar medida privativa de liberdade individual, sem as formalidades legais ou com abuso de poder",DIREITO PENAL > Crimes Contra a Administração da Justiça > Exercício arbitrário ou abuso de poder ,21,KEEP,abuso_poder,DROP,,,,administrative / procedural,Y
11751,Coligação Partidária - Majoritária e Proporcional,"Art. 6º É facultado aos partidos políticos, dentro da mesma circunscrição, celebrar coligações para eleição majoritária, proporcional, ou para ambas, podendo, n",DIREITO ELEITORAL > Partidos Políticos > Coligação Partidária > Coligação Partidária - Majoritária e Proporcional,21,REVIEW,other,DROP,,,,administrative / procedural,Y
11691,Registro de Comitê Financeiro - Único,"Art. 19. Até dez dias úteis após a escolha de seus candidatos em convenção, o partido constituirá comitês financeiros, com a finalidade de arrecadar recursos e ",DIREITO ELEITORAL > Eleições > Recursos Financeiros de Campanha Eleitoral > Comitê Financeiro > Registro de Comitê Financeiro > Registro de Comitê Financeiro - Único,21,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
11622,Registro de Candidatura - Substituição de Candidato - Por Cassação de Registro,"Art. 64. É facultado ao partido político ou à coligação substituir candidato que for considerado inelegível, renunciar ou falecer após o termo final do prazo do",DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - Substituição de Candidato > Registro de Candidatura - Substituição de Candidato - Por Cassação de Registro,20,KEEP,cassacao_mandato,DROP,,,,substituicao variant: procedural,Y
11696,Contas - Aprovação das Contas com Ressalvas,"<p> Art. 30. A Justi&ccedil;a Eleitoral verificar&aacute; a regularidade das contas de campanha, decidindo: ....................................................",DIREITO ELEITORAL > Eleições > Recursos Financeiros de Campanha Eleitoral > Contas > Contas - Apresentação de Contas > Contas - Aprovação > Contas - Aprovação das Contas com Ressalvas,19,DROP,accounts,DROP,,,,prestacao de contas (mandatory),
12732,Suspensão Condicional de Processo,<p> Assunto a ser utilizado para a fiscaliza&ccedil;&atilde;o do cumprimento da suspens&atilde;o condicional do processo. Art. 89. Nos crimes em que a pena m&ia,DIREITO PROCESSUAL PENAL > Execução Penal e de Medidas Alternativas > Suspensão Condicional de Processo,19,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
11710,Impugnação - Sistema Eletrônico de Votação,Art. 66. Os partidos e coligações poderão fiscalizar todas as fases do processo de votação e apuração das eleições e o processamento eletrônico da totalização d,DIREITO ELEITORAL > Eleições > Garantias Eleitorais > Impugnação > Impugnação - Sistema Eletrônico de Votação,18,REVIEW,other,DROP,,,,administrative / procedural,Y
11742,Exceção - De Impedimento,"Art. 134. É defeso ao juiz exercer as suas funções no processo contencioso ou voluntário: I - de que for parte; II - em que interveio como mandatário da parte, ",DIREITO ELEITORAL > Garantias Processuais > Exceção > Exceção - De Impedimento,18,REVIEW,other,DROP,,,,procedural (cautelar / excecao),Y
12347,Perturbação do trabalho ou do sossego alheios,"<p> <span style=""color: rgb(74, 95, 140); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;"">Art. 42. Perturbar algu&eacute;m o trabalho ou o",DIREITO PENAL > Contravenções Penais > Perturbação do trabalho ou do sossego alheios,17,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
11624,Registro de Candidatura - Substituição de Candidato - Por Falecimento,"Art. 13. É facultado ao partido ou coligação substituir candidato que for considerado inelegível, renunciar ou falecer após o termo final do prazo do registro o",DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - Substituição de Candidato > Registro de Candidatura - Substituição de Candidato - Por Falecimento,17,KEEP,registro_contestado,DROP,,,,substituicao variant: procedural,Y
3386,Leve,"<p> Art. 129. Ofender a integridade corporal ou a sa&uacute;de de outrem: Pena - deten&ccedil;&atilde;o, de tr&ecirc;s meses a um ano.</p>",DIREITO PENAL > Lesão Corporal > Leve,16,REVIEW,other,DROP,,,,lesao leve: generic crime,Y
10880,Cumprimento Provisório de Sentença,"<p> Abrange todas as discuss&otilde;es referentes&nbsp; a o cumprimento provis&oacute;rio de senten&ccedil;a.</p> <p align=""justify"" class=""Artigo"" style=""color",DIREITO PROCESSUAL CIVIL E DO TRABALHO > Liquidação / Cumprimento / Execução > Cumprimento Provisório de Sentença,15,REVIEW,other,DROP,,,,off-topic branch (direito processual civil e do ),Y
