id_municipio_tse,top1_share,enc,n_cand,log_votes,cycle,id_municipio,sigla_uf,n_online_per_100k,news_desert,n_outlets_total_per_100k,online_z
00019,0.37816499721758484,3.4409973604538533,4.0,10.959609789583286,2016,1100106,RO,12.6948661961103,0.0,17.7728126745544,1.3061960952023866
00035,0.27196065641468437,4.375371667658817,6.0,12.96264992064986,2016,1100205,RO,13.248974290474,0.0,21.2852373846959,1.3831421607014955
00051,0.6529631177851378,1.9179619103995507,3.0,11.731225304429419,2016,1100122,RO,12.0643755077091,0.0,22.5201676143904,1.2186431821520785
00078,0.5810017121432132,1.9488521616559755,2.0,11.432604385221447,2016,1100023,RO,12.3924695093615,0.0,20.6541158489358,1.2642038638995643
00094,0.4490172409866308,3.0992730940660684,6.0,11.382976220214843,2016,1100049,RO,6.90488520628345,0.0,14.9605846136141,0.5021720049327576
00116,0.38800690494382656,3.5744265223739475,5.0,11.16583303318684,2016,1100189,RO,8.57191839533688,0.0,17.1438367906738,0.7336641023391163
00132,0.35254992545993674,3.094758208295874,4.0,11.712448229083957,2016,1100304,RO,14.6088989064196,0.0,22.9568411386593,1.5719877120240455
00159,0.7806020552670758,1.5209703170110362,2.0,10.916505641362713,2016,1100114,RO,19.7663616058192,0.0,33.6028147298927,2.2881773268552874
00175,0.5166417751226797,1.9977868622684163,2.0,10.531989539602542,2016,1100155,RO,17.1213331811437,0.0,28.5355553019062,1.9208761946713244
00191,0.5342096393663633,1.9906812276112815,2.0,10.074748161970657,2016,1100254,RO,25.8705437988307,0.0,36.2187613183629,3.1358328793000134
00213,0.4266605166051661,2.7936125870617916,3.0,9.473319831787592,2016,1100080,RO,7.91953749901006,1.0,7.91953749901006,0.643071411689515
00230,0.4644398766700925,2.740927437507929,3.0,9.876116355739995,2016,1100064,RO,12.768945923514,0.0,31.922364808785,1.316483155822764
00256,0.6150662251655629,2.170171307990254,3.0,10.428925888669964,2016,1100098,RO,13.6068306289757,0.0,23.8119536007076,1.4328357810288488
00272,1.0,1.0,1.0,9.460476328353995,2016,1100056,RO,6.29326620516048,0.0,18.8797986154814,0.4172397034565447
00299,0.37837092846970183,3.0657658202991733,4.0,10.681297520974782,2016,1100288,RO,17.7286104315144,0.0,30.1386377335744,2.0052055801440294
00310,0.7242058979607308,1.6651775279304908,2.0,10.180437238408865,2016,1100015,RO,13.9567341242149,0.0,13.9567341242149,1.4814250320015492
00337,0.6122931442080378,1.9039658639879968,2.0,9.736251633160215,2016,1100346,RO,22.8710833269803,0.0,30.494777769307,2.719313640045767
00353,0.5212660731948566,1.996388566071271,2.0,9.221280312014517,2016,1100296,RO,13.4789055128724,0.0,26.9578110257447,1.415071495571209
00370,0.5080183276059564,2.634899439976967,3.0,9.949989386187548,2016,1100148,RO,0.0,1.0,0.0,-0.45667294743457204
00396,0.5218933463796478,2.5522417016941255,4.0,10.395252673563377,2016,1100130,RO,9.76975933826163,0.0,13.0263457843488,0.9000019497543267
00418,0.5170463994678197,2.414478697480442,3.0,10.08797343215946,2016,1100320,RO,4.62214005084354,0.0,18.4885602033742,0.18517923757397153
