cod_item,nome,cod_item_pai,depth,path_codes,path_names,descricao,norma,artigo,justica_eleitoral_zonas,justica_eleitoral_tre,justica_eleitoral_tse,situacao,in_panel,anc1_code,anc1_nome,anc2_code,anc2_nome,anc3_code,anc3_nome,anc4_code,anc4_nome,anc5_code,anc5_nome,anc6_code,anc6_nome
12248,Pedido de Cooperação Judiciária,1198.0,2,1198/12248,PROCEDIMENTOS ADMINISTRATIVOS > Pedido de Cooperação Judiciária,"A cooperação judiciária permite a interação entre juízos ou entre órgão judiciário e instituição externa, pública ou privada, para a prática de atos processuais e/ou de administração da justiça, nos termos dos arts. 67 a 69 do CPC e da Resolução n. 350/2020 do Conselho Nacional de Justiça. Deve ser utilizada a classe processual “Pedido de Cooperação Jurisdicional” quando for necessário autuar processo específico para a realização do ato de cooperação judiciária. CPC, Art. 67. Aos órgãos do Poder Judiciário, estadual ou federal, especializado ou comum, em todas as instâncias e graus de jurisdição, inclusive aos tribunais superiores, incumbe o dever de recíproca cooperação, por meio de seus magistrados e servidores. Art. 68. Os juízos poderão formular entre si pedido de cooperação para prática de qualquer ato processual. Art. 69. O pedido de cooperação jurisdicional deve ser prontamente atendido, prescinde de forma específica e pode ser executado como: I - auxílio direto; II - reunião ou apensamento de processos; III - prestação de informações; IV - atos concertados entre os juízes cooperantes. § 1º As cartas de ordem, precatória e arbitral seguirão o regime previsto neste Código. § 2º Os atos concertados entre os juízes cooperantes poderão consistir, além de outros, no estabelecimento de procedimento para: I - a prática de citação, intimação ou notificação de ato; II - a obtenção e apresentação de provas e a coleta de depoimentos; III - a efetivação de tutela provisória; IV - a efetivação de medidas e providências para recuperação e preservação de empresas; V - a facilitação de habilitação de créditos na falência e na recuperação judicial; VI - a centralização de processos repetitivos; VII - a execução de decisão jurisdicional. § 3º O pedido de cooperação judiciária pode ser realizado entre órgãos jurisdicionais de diferentes ramos do Poder Judiciário.",CPC e Resolução CNJ nº 350/2020,"67 a 69 (CPC); 1º a 25 (Res 350, CNJ)",S,S,S,A,True,1198,PROCEDIMENTOS ADMINISTRATIVOS,12248,Pedido de Cooperação Judiciária,12248,Pedido de Cooperação Judiciária,12248,Pedido de Cooperação Judiciária,12248,Pedido de Cooperação Judiciária,12248,Pedido de Cooperação Judiciária
1298,Processo Administrativo,1198.0,2,1198/1298,PROCEDIMENTOS ADMINISTRATIVOS > Processo Administrativo,"Procedimento com destinações diversas no âmbito interno dos tribunais, sem caráter disciplinar e que não se enquadre nas hipóteses abrangidas pelas outras classes. Ex. licitação, procedimentos para aposentadoria, para realização de contratos, etc.","Lei 9.784/99, outras normas federais e normas estaduais.",1º a 70,S,S,S,A,True,1198,PROCEDIMENTOS ADMINISTRATIVOS,1298,Processo Administrativo,1298,Processo Administrativo,1298,Processo Administrativo,1298,Processo Administrativo,1298,Processo Administrativo
1303,Correição Extraordinária,1198.0,2,1198/1303,PROCEDIMENTOS ADMINISTRATIVOS > Correição Extraordinária,"Efetivada pelo Corregedor por razões extraordinárias. Pode haver divergência de nomenclatura,dependendo das normas de cada tribunal. Classe não obrigatória, dependendo da conveniência de cada tribunal.","leis de organização judiciária, regimentos e normas internas dos tribunais.",,S,S,S,A,True,1198,PROCEDIMENTOS ADMINISTRATIVOS,1303,Correição Extraordinária,1303,Correição Extraordinária,1303,Correição Extraordinária,1303,Correição Extraordinária,1303,Correição Extraordinária
1308,Sindicância,1198.0,2,1198/1308,PROCEDIMENTOS ADMINISTRATIVOS > Sindicância,"Glossário: procedimento para apuração de irregularidade praticada por magistrado ou servidor e que pode ensejar a instauração de processo administrativo disciplinar. Pode haver divergência de nomenclatura, dependendo das normas de cada Estado ou tribunal. Art. 143. A autoridade que tiver ciência de irregularidade no serviço público é obrigada a promover a sua apuração imediata, mediante sindicância ou processo administrativo disciplinar, assegurada ao acusado ampla defesa. § 3o A apuração de que trata o caput, por solicitação da autoridade a que se refere, poderá ser promovida por autoridade de órgão ou entidade diverso daquele em que tenha ocorrido a irregularidade, mediante competência específica para tal finalidade, delegada em caráter permanente ou temporário pelo Presidente da República, pelos presidentes das Casas do Poder Legislativo e dos Tribunais Federais e pelo Procurador-Geral da República, no âmbito do respectivo Poder, órgão ou entidade, preservadas as competências para o julgamento que se seguir à apuração. (Incluído pela Lei nº 9.527, de 10.12.97)"," Lei 8.112/90, leis de org. judiciária, leis estaduais, regimentos e normas internas dos tribunais.",143 e ss. (Lei 8.6112/1990),S,S,S,A,True,1198,PROCEDIMENTOS ADMINISTRATIVOS,1308,Sindicância,1308,Sindicância,1308,Sindicância,1308,Sindicância,1308,Sindicância
1106,Processo de Conhecimento,2.0,2,2/1106,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento,,,,N,N,N,A,False,2,PROCESSO CÍVEL E DO TRABALHO,1106,Processo de Conhecimento,1106,Processo de Conhecimento,1106,Processo de Conhecimento,1106,Processo de Conhecimento,1106,Processo de Conhecimento
12133,Tutela Provisória de Urgência e Tutela Provisória de Evidência,2.0,2,2/12133,PROCESSO CÍVEL E DO TRABALHO > Tutela Provisória de Urgência e Tutela Provisória de Evidência,"Art. 294. A tutela provisória pode fundamentar-se em urgência ou evidência. Parágrafo único. A tutela provisória de urgência, cautelar ou antecipada, pode ser concedida em caráter antecedente ou incidental. Art. 295. A tutela provisória requerida em caráter incidental independe do pagamento de custas. Art. 296. A tutela provisória conserva sua eficácia na pendência do processo, mas pode, a qualquer tempo, ser revogada ou modificada. Parágrafo único. Salvo decisão judicial em contrário, a tutela provisória conservará a eficácia durante o período de suspensão do processo. Art. 297. O juiz poderá determinar as medidas que considerar adequadas para efetivação da tutela provisória. Parágrafo único. A efetivação da tutela provisória observará as normas referentes ao cumprimento provisório da sentença, no que couber. Art. 298. Na decisão que conceder, negar, modificar ou revogar a tutela provisória, o juiz motivará seu convencimento de modo claro e preciso. Art. 299. A tutela provisória será requerida ao juízo da causa e, quando antecedente, ao juízo competente para conhecer do pedido principal. Parágrafo único. Ressalvada disposição especial, na ação de competência originária de tribunal e nos recursos a tutela provisória será requerida ao órgão jurisdicional competente para apreciar o mérito.",CPC 2015,294 a 299,S,S,S,A,False,2,PROCESSO CÍVEL E DO TRABALHO,12133,Tutela Provisória de Urgência e Tutela Provisória de Evidência,12133,Tutela Provisória de Urgência e Tutela Provisória de Evidência,12133,Tutela Provisória de Urgência e Tutela Provisória de Evidência,12133,Tutela Provisória de Urgência e Tutela Provisória de Evidência,12133,Tutela Provisória de Urgência e Tutela Provisória de Evidência
158,Processo de Execução,2.0,2,2/158,PROCESSO CÍVEL E DO TRABALHO > Processo de Execução,,,,N,N,N,A,False,2,PROCESSO CÍVEL E DO TRABALHO,158,Processo de Execução,158,Processo de Execução,158,Processo de Execução,158,Processo de Execução,158,Processo de Execução
175,Processo Cautelar,2.0,2,2/175,PROCESSO CÍVEL E DO TRABALHO > Processo Cautelar,,,,N,N,N,A,False,2,PROCESSO CÍVEL E DO TRABALHO,175,Processo Cautelar,175,Processo Cautelar,175,Processo Cautelar,175,Processo Cautelar,175,Processo Cautelar
214,Outros Procedimentos,2.0,2,2/214,PROCESSO CÍVEL E DO TRABALHO > Outros Procedimentos,,,,N,N,N,A,False,2,PROCESSO CÍVEL E DO TRABALHO,214,Outros Procedimentos,214,Outros Procedimentos,214,Outros Procedimentos,214,Outros Procedimentos,214,Outros Procedimentos
1727,Petição Criminal,268.0,2,268/1727,PROCESSO CRIMINAL > Petição Criminal,Petição inicial avulsa genérica a ser utilizada para os casos de ausência de procedimento próprio na tabela ou incompetência do órgão.,,,S,S,S,A,True,268,PROCESSO CRIMINAL,1727,Petição Criminal,1727,Petição Criminal,1727,Petição Criminal,1727,Petição Criminal,1727,Petição Criminal
