okey,measure,coef,se,t,p,first_F,tF_cv,reject_tF,mean_2020,mean_delta,N
rolloff_null,Null,0.00533889533807253,0.00358278047910313,1.49015418868448,0.148693301943357,26.6708419325748,1.96,FALSE,-0.00758179649532317,-0.00183949083921786,5009
rolloff_blank,Blank,0.0043145280585222,0.00299949049074071,1.43842031566393,0.162716951294704,27.0616773965381,1.96,FALSE,8.68504307727657e-05,-0.00161137874357372,5009
rolloff_invalid,Non-valid,0.00969312622060869,0.00607139427190484,1.5965239262196,0.122936630535153,26.5443989555434,1.96,FALSE,-0.0074949460645504,-0.00345086958279158,5009
