family,outcome,coef,se,t,p,ivf,nobs,n_clusters,first_stage_F,tF_cv,ci95_low_tF,ci95_high_tF,reject_tF_5pct
abuse_misuse_office,delta_runnerup_vote_share_2024_2020,0.0395152709646458,0.0278100861950997,1.42089710500821,0.155585933003699,37.8280694854654,3311,1304,7.83010643212832,3.24907552061049,-0.0508417993179201,0.129872341247212,FALSE
abuse_misuse_office,delta_margin_top1_top2_2024_2020,-0.0861670185861822,0.0676162728195469,-1.27435327315576,0.202765468716769,37.8280694854654,3311,1304,7.83010643212832,3.24907552061049,-0.305857395399092,0.133523358226728,FALSE
abuse_misuse_office,delta_winner_vote_share_2024_2020,-0.0466517476215359,0.0453553412294728,-1.02858332352752,0.303866412460815,37.8280694854654,3311,1304,7.83010643212832,3.24907552061049,-0.194014676539152,0.10071118129608,FALSE
abuse_misuse_office,delta_winner_majority_2024_2020,-0.0818011201478569,0.116709487241461,-0.700895206390701,0.48349355809337,37.8280694854654,3311,1304,7.83010643212832,3.24907552061049,-0.46099905816709,0.297396817871377,FALSE
abuse_misuse_office,delta_log1p_n_candidates_with_votes_2024_2020,0.00655964306478926,0.0375208604851897,0.174826562609845,0.861243076371879,37.8280694854654,3311,1304,7.83010643212832,3.24907552061049,-0.115348466249882,0.12846775237946,FALSE
campaign_conduct,delta_runnerup_vote_share_2024_2020,-0.00664132944088934,0.0109664307585593,-0.605605377639006,0.544865151389542,148.02600902165,3937,1557,35.9736161407522,1.96,-0.0281355337276656,0.014852874845887,FALSE
campaign_conduct,delta_margin_top1_top2_2024_2020,0.0183228543787266,0.0238067794799558,0.769648595021162,0.441625190813376,148.02600902165,3937,1557,35.9736161407522,1.96,-0.0283384334019867,0.0649841421594399,FALSE
campaign_conduct,delta_winner_vote_share_2024_2020,0.0116815249378372,0.0151550035611189,0.770803180001014,0.440940624056231,148.02600902165,3937,1557,35.9736161407522,1.96,-0.018022282041956,0.0413853319176303,FALSE
campaign_conduct,delta_winner_majority_2024_2020,-0.0342597307043651,0.0425971227910164,-0.804273351335137,0.421361983692837,148.02600902165,3937,1557,35.9736161407522,1.96,-0.117750091374757,0.0492306299660271,FALSE
campaign_conduct,delta_log1p_n_candidates_with_votes_2024_2020,-0.00418760904822464,0.0202430470111803,-0.206866537725858,0.836141156656611,148.02600902165,3937,1557,35.9736161407522,1.96,-0.0438639811901381,0.0354887630936888,FALSE
eligibility_ballot_access,delta_runnerup_vote_share_2024_2020,0.0312845403611901,0.0845821041349078,0.369871862152915,0.711589840871699,1.28448417140902,1772,701,8.37361760604289,3.13901265485185,-0.234219754892282,0.296788835614663,FALSE
eligibility_ballot_access,delta_margin_top1_top2_2024_2020,-0.0641647174328159,0.14699078630928,-0.436522036815345,0.662592621199288,1.28448417140902,1772,701,8.37361760604289,3.13901265485185,-0.525570655804269,0.397241220938637,FALSE
eligibility_ballot_access,delta_winner_vote_share_2024_2020,-0.0328801770716294,0.0637625313377725,-0.515666118985326,0.606250444591593,1.28448417140902,1772,701,8.37361760604289,3.13901265485185,-0.233031569846285,0.167271215703026,FALSE
eligibility_ballot_access,delta_winner_majority_2024_2020,0.289092944039543,0.149107710776471,1.93881954550911,0.0529249068315597,1.28448417140902,1772,701,8.37361760604289,3.13901265485185,-0.178958047023791,0.757143935102876,FALSE
eligibility_ballot_access,delta_log1p_n_candidates_with_votes_2024_2020,-0.108603149344005,0.0725576187911961,-1.49678491595128,0.134899967796143,1.28448417140902,1772,701,8.37361760604289,3.13901265485185,-0.336362432935486,0.119156134247476,FALSE
information_environment,delta_runnerup_vote_share_2024_2020,-0.00950398836319131,0.0144513453399305,-0.657654228006775,0.510859396793555,72.006328899239,3861,1529,19.6904146627285,2.17928756011815,-0.0409976254894732,0.0219896487630906,FALSE
information_environment,delta_margin_top1_top2_2024_2020,0.0335142684809826,0.029118143847977,1.15097544183988,0.249922415494145,72.006328899239,3861,1529,19.6904146627285,2.17928756011815,-0.0299425401806444,0.0969710771426095,FALSE
information_environment,delta_winner_vote_share_2024_2020,0.0240102801177928,0.0180681323767546,1.32887448559338,0.184087783372439,72.006328899239,3861,1529,19.6904146627285,2.17928756011815,-0.0153653760054363,0.0633859362410219,FALSE
information_environment,delta_winner_majority_2024_2020,0.077691834824565,0.0642490434435252,1.20922944001269,0.226761777664118,72.006328899239,3861,1529,19.6904146627285,2.17928756011815,-0.0623253063013998,0.21770897595053,FALSE
information_environment,delta_log1p_n_candidates_with_votes_2024_2020,0.012711452562305,0.0293736251258095,0.432750554548883,0.665257069637037,72.006328899239,3861,1529,19.6904146627285,2.17928756011815,-0.0513021232699454,0.0767250283945555,FALSE
