okey,panel,measure,coef,se,t,p,first_F,tF_cv,reject_tF,mean_2020,mean_delta,N
prefeito_null,Mayor,Null,-0.00463762773778412,0.00378809646344775,-1.22426336882751,0.232265147787818,26.6188533687074,1.96,FALSE,0.0409251697153566,-0.00886603555000098,5009
prefeito_blank,Mayor,Blank,-0.00351173835567836,0.00392549614365843,-0.894597326595649,0.379534751590472,27.5437848837501,1.96,FALSE,0.0178970701731949,0.000304652252649641,5009
prefeito_invalid,Mayor,Non-valid,-0.00828759283947172,0.00728780979345909,-1.13718566679799,0.266243213205761,26.6562131143971,1.96,FALSE,0.0588222398885515,-0.00856138329735134,5009
vereador_null,Council,Null,0.000236966973469199,0.00111255995840274,0.212992541821659,0.833060080414651,26.514177417989,1.96,FALSE,0.0333433732200334,-0.0107055263892188,5009
vereador_blank,Council,Blank,-0.000107394629556969,0.00081865633951259,-0.131184019928203,0.896679726702557,26.6976729485403,1.96,FALSE,0.0179839206039677,-0.00130672649092408,5009
vereador_invalid,Council,Non-valid,6.95876620338196e-05,0.00177103449913153,0.0392920985265638,0.96896960580908,26.5956571357012,1.96,FALSE,0.0513272938240011,-0.0120122528801429,5009
