outcome,coef_2sls,se_2sls,p_2sls,ivf_2sls,coef_liml,se_liml,p_liml
delta_log1p_n_candidates_with_votes_2024_2020,-0.0663919918830048,0.0393451262145681,0.0916641148271239,238.938018691673,-0.0663919918830048,0.0393451262145681,0.0916641148271239
delta_margin_top1_top2_2024_2020,0.0619414702498581,0.0431026561942107,0.150841635963801,238.938018691673,0.0619414702498581,0.0431026561942107,0.150841635963801
delta_others_vote_share_2024_2020,-0.00476024893202051,0.0186255441367144,0.798302012446337,238.938018691673,-0.00476024893202051,0.0186255441367144,0.798302012446337
delta_runnerup_vote_share_2024_2020,-0.0307022105349575,0.0216955600154087,0.157170486129569,238.938018691673,-0.0307022105349575,0.0216955600154087,0.157170486129569
delta_winner_majority_2024_2020,0.139840635302333,0.090333100252945,0.121753732526613,238.938018691673,0.139840635302333,0.090333100252945,0.121753732526613
delta_winner_vote_share_2024_2020,0.0312392597148986,0.0250859629151536,0.213159209024899,238.938018691673,0.0312392597148986,0.0250859629151536,0.213159209024899
