variant,spec,coef,se,t,p,first_stage_F,nobs,n_clusters,tF_cv
adversarial,baseline,1.77565280807678,0.403302494724814,4.40278161256692,1.12020750008166e-05,19.3844859279573,5560,2187,2.18846542216128
adversarial,single_zone,1.78926110549168,0.421076357039148,4.24925568861928,2.24100920376742e-05,18.0561739072633,5371,2049,2.23775304370947
adversarial,extended_controls,1.75844178558574,0.399659414269464,4.39985077994469,1.13530869015075e-05,19.3586868857799,5560,2187,2.1892393934266
adversarial,broader_treatment,1.77565280807678,0.403302494724814,4.40278161256692,1.12020750008166e-05,19.3844859279573,5560,2187,2.18846542216128
