sample,family,outcome,coef,se,t,p,nobs,n_clusters
all_principal_zone_cluster,ideology,delta_winner_ideology_2024_2020,-0.16824705713479915,0.20494264916874183,-0.8209470201406006,0.41167644647335777,5387,2163
single_zone_exact_cluster,ideology,delta_winner_ideology_2024_2020,-0.13672949418315716,0.20472159323654956,-0.6678801782534508,0.5042100811022738,5201,2026
all_principal_zone_cluster,volatility,pedersen_volatility,-0.009481618747219756,0.03759649329140516,-0.2521942318856457,0.8008909363063019,5491,2179
single_zone_exact_cluster,volatility,pedersen_volatility,-0.005567360182554104,0.03903950894813733,-0.14260835580565714,0.8865994979590668,5303,2042
all_principal_zone_cluster,incumbent,incumbent_candidate_vote_share_2024,-0.03172073230576178,0.04455286571417421,-0.711979617860362,0.4764773975363332,5491,2179
single_zone_exact_cluster,incumbent,incumbent_candidate_vote_share_2024,-0.03625346747577085,0.04608096204470637,-0.7867341710574277,0.43143749621806715,5303,2042
all_principal_zone_cluster,incumbent,incumbent_reelected_share_2024,-0.06104631719552911,0.06816993350722042,-0.8955020792130186,0.37051875481876806,5491,2179
single_zone_exact_cluster,incumbent,incumbent_reelected_share_2024,-0.06365594483921821,0.07123616597651493,-0.8935902707089015,0.3715411538347926,5303,2042
all_principal_zone_cluster,female_entry,female_new_entrant_share_2024,-0.028263258802282976,0.029605936619881056,-0.954648358711393,0.3397555532088443,5483,2177
single_zone_exact_cluster,female_entry,female_new_entrant_share_2024,-0.03297983240266111,0.030788113496355504,-1.0711871776932695,0.28408527582521614,5295,2040
all_principal_zone_cluster,female_entry,female_new_entrant_vote_share_2024,-0.03868616861667906,0.02868624242141003,-1.348596586766818,0.1774665776102875,5483,2177
single_zone_exact_cluster,female_entry,female_new_entrant_vote_share_2024,-0.04361226026115217,0.02938628656121517,-1.4841024629057022,0.13778173993740928,5295,2040
all_principal_zone_cluster,incumbent,incumbent_ran_2024,0.006392121758320268,0.06398759496477699,0.09989626523451796,0.9204266814317925,5360,2120
single_zone_exact_cluster,incumbent,incumbent_ran_2024,-0.015163544081159053,0.06588165163552974,-0.23016338699349498,0.8179648110671749,5231,2032
all_principal_zone_cluster,incumbent,incumbent_won_2024,-0.03955619746893446,0.055674075539331534,-0.710495811304304,0.47739672751519713,5360,2120
single_zone_exact_cluster,incumbent,incumbent_won_2024,-0.05063451824045062,0.057635148262356384,-0.8785354036040863,0.3796532335759748,5231,2032
all_principal_zone_cluster,incumbent,party_switch_2024,-0.03167590543731613,0.05363787125674108,-0.5905511291769465,0.5548212180427339,5360,2120
single_zone_exact_cluster,incumbent,party_switch_2024,-0.026504395602222175,0.05429803219933153,-0.4881281057280833,0.6254591044254332,5231,2032
