spec,label,coef,se,p,F,tF_cv,N,n_clusters
baseline,Baseline,-1.08161211769212,0.209335960421567,2.42157621547534e-05,26.696566520922,1.96,5009,26
extended_controls,Extended controls,-1.03253586098766,0.201724755283099,2.74340844457732e-05,26.1994330605324,1.96,5009,26
region_fe,Mesoregion FE,-1.058321251871,0.214062128211897,4.30850148227762e-05,24.4430477725854,1.96,5009,26
