spec,family,outcome,coef,se,t,p,ivf,nobs,n_clusters
baseline_state_fe,primary,delta_runnerup_vote_share_2024_2020,-0.0151459349396341,0.0175550400635023,-0.862768463349917,0.388359770512926,311.638863954574,5491,2179
baseline_state_fe,primary,delta_margin_top1_top2_2024_2020,0.0538470552222728,0.0356417090092229,1.51078769001618,0.130987614504278,311.638863954574,5491,2179
baseline_state_fe,secondary,delta_winner_vote_share_2024_2020,0.0387011202826392,0.0212414907732531,1.82195876437124,0.0685983292690568,311.638863954574,5491,2179
baseline_state_fe,voter_behavior,delta_turnout_rate_2024_2020,-0.00339173203257532,0.004345207820797,-0.780568426748623,0.435141192000689,311.638863954574,5491,2179
baseline_state_fe,voter_behavior,delta_null_share_2024_2020,0.00177680979048784,0.00463954925744114,0.382970347310809,0.701779122598809,311.638863954574,5491,2179
baseline_state_fe,voter_behavior,delta_blank_share_2024_2020,0.00525877927122384,0.00335986859876389,1.56517408840291,0.117687367585405,311.638863954574,5491,2179
baseline_state_fe_sz,primary,delta_runnerup_vote_share_2024_2020,-0.0156035254018263,0.0183171750109106,-0.851852176579197,0.394396081603443,306.188463472015,5303,2042
baseline_state_fe_sz,primary,delta_margin_top1_top2_2024_2020,0.0521096885062328,0.0370130989416319,1.40787153727408,0.159321399935146,306.188463472015,5303,2042
baseline_state_fe_sz,secondary,delta_winner_vote_share_2024_2020,0.0365061631044065,0.0219340483827321,1.66436047132761,0.096193912284689,306.188463472015,5303,2042
baseline_state_fe_sz,voter_behavior,delta_turnout_rate_2024_2020,-0.00187779604785547,0.00447843521456236,-0.419297356752981,0.675042953532236,306.188463472015,5303,2042
baseline_state_fe_sz,voter_behavior,delta_null_share_2024_2020,0.00180214411893711,0.00490165451770487,0.367660371090563,0.713164614171269,306.188463472015,5303,2042
baseline_state_fe_sz,voter_behavior,delta_blank_share_2024_2020,0.00585368815994458,0.0035386923210374,1.65419528709648,0.098241606445969,306.188463472015,5303,2042
robustness_full_controls,primary,delta_runnerup_vote_share_2024_2020,-0.0135728309782939,0.0173087259498993,-0.784161180758248,0.433030812366123,314.851682926187,5491,2179
robustness_full_controls,primary,delta_margin_top1_top2_2024_2020,0.0530649384936552,0.0353192378403683,1.50243724775409,0.133129189777772,314.851682926187,5491,2179
robustness_full_controls,secondary,delta_winner_vote_share_2024_2020,0.0394921075153639,0.0211791146242061,1.86467225925618,0.0623617668399672,314.851682926187,5491,2179
robustness_full_controls,voter_behavior,delta_turnout_rate_2024_2020,0.000596815359993664,0.00422950070822377,0.1411077574318,0.887797864708589,314.851682926187,5491,2179
robustness_full_controls,voter_behavior,delta_null_share_2024_2020,0.00306634078611483,0.00355713180056241,0.862026193583836,0.388768002167202,314.851682926187,5491,2179
robustness_full_controls,voter_behavior,delta_blank_share_2024_2020,0.00541188587109845,0.00316379951593644,1.71056536415728,0.0873037841666023,314.851682926187,5491,2179
robustness_microregion_fe,primary,delta_runnerup_vote_share_2024_2020,-0.0272204997306026,0.0172662366314273,-1.57651608232085,0.115052141653595,315.142075471234,5491,2179
robustness_microregion_fe,primary,delta_margin_top1_top2_2024_2020,0.0648018141256906,0.0342164018867798,1.89388160508858,0.058373121838308,315.142075471234,5491,2179
robustness_microregion_fe,secondary,delta_winner_vote_share_2024_2020,0.0375813143950878,0.0202237783862368,1.85827364587141,0.0632649955160529,315.142075471234,5491,2179
robustness_microregion_fe,voter_behavior,delta_turnout_rate_2024_2020,-0.00410125161112898,0.00391719880363674,-1.04698582245082,0.295222290804469,315.142075471234,5491,2179
robustness_microregion_fe,voter_behavior,delta_null_share_2024_2020,0.00200845752242835,0.00473689075379452,0.424003344560873,0.671605246217124,315.142075471234,5491,2179
robustness_microregion_fe,voter_behavior,delta_blank_share_2024_2020,0.00758950470515405,0.0032008387759645,2.3710987139198,0.017821849088263,315.142075471234,5491,2179
subsample_le200k,primary,delta_runnerup_vote_share_2024_2020,-0.0147972620910647,0.0179453640222174,-0.824572968970975,0.409711912136196,313.999296111348,5271,2011
subsample_le200k,primary,delta_margin_top1_top2_2024_2020,0.0508907360593339,0.0362512503820888,1.40383395118636,0.160522781010744,313.999296111348,5271,2011
subsample_le200k,secondary,delta_winner_vote_share_2024_2020,0.0360934739682688,0.0214990100980897,1.67884352831091,0.0933379756370728,313.999296111348,5271,2011
subsample_le200k,voter_behavior,delta_turnout_rate_2024_2020,-0.00107144955971443,0.00439567155107675,-0.243751050838175,0.807448507903107,313.999296111348,5271,2011
subsample_le200k,voter_behavior,delta_null_share_2024_2020,0.00214789159251229,0.00483261600899018,0.444457326739086,0.656759824143357,313.999296111348,5271,2011
subsample_le200k,voter_behavior,delta_blank_share_2024_2020,0.00546699826382129,0.00347264020119182,1.57430598826362,0.115574101988703,313.999296111348,5271,2011
subsample_gt200k,primary,delta_runnerup_vote_share_2024_2020,-0.0417903819690264,0.0828479145448232,-0.504422859629334,0.61448322936986,7.86077310721307,220,220
subsample_gt200k,primary,delta_margin_top1_top2_2024_2020,0.0972559377499681,0.157641289394662,0.61694457158672,0.537927103312414,7.86077310721307,220,220
subsample_gt200k,secondary,delta_winner_vote_share_2024_2020,0.0554655557809421,0.0926943700946806,0.598370275608843,0.550225678625789,7.86077310721307,220,220
subsample_gt200k,voter_behavior,delta_turnout_rate_2024_2020,-0.0359969136077071,0.0248791297508248,-1.44687189496706,0.149395985845084,7.86077310721307,220,220
subsample_gt200k,voter_behavior,delta_null_share_2024_2020,0.0111509032098976,0.0232076334180473,0.480484287606255,0.631373884210798,7.86077310721307,220,220
subsample_gt200k,voter_behavior,delta_blank_share_2024_2020,0.00863431777420933,0.0114786373551921,0.752207558008075,0.452752804358191,7.86077310721307,220,220
