election_year,classe,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2024,REGISTRO DE CANDIDATURA,521588,0.44445277623213647,0.46002111566985354,5567,0.43827550918115293,0.3932000212167825,0.47182010236923816,0.41929373554346144,0.45260667226518037,100.0
2024,PRESTAÇÃO DE CONTAS ELEITORAIS,491607,0.41890552690083344,0.43376427891189223,5569,0.40004573096578017,0.1366906474820144,0.4396163544668588,0.3945406129563566,0.42171289042978294,100.0
2024,REPRESENTAÇÃO,45384,0.03867237129021236,0.030651094098558904,4205,0.041229583805543486,0.007194244604316547,0.08138693335087835,0.028414598294207824,0.04974428027416386,75.5
2024,CUMPRIMENTO DE SENTENÇA,26849,0.022878426246494613,0.01850822239553999,3606,0.027871799692923232,0.010413647468013747,0.057125676488274206,0.019162522287093732,0.03508431066056953,64.8
2024,COMPOSIÇÃO DE MESA RECEPTORA,16368,0.01394741259647003,0.007004655586634901,1807,0.01430171357706486,0.0013425702164223188,0.05807080358466982,0.00803764409221902,0.016920384023762797,32.4
2024,PETIÇÃO CÍVEL,9433,0.008037997496487157,0.006571436002440739,2861,0.0157615463841372,0.0035977105478331973,0.19424460431654678,0.006076254586397586,0.011642387215506544,51.4
2024,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,7834,0.006675466170622325,0.006774424185816282,2975,0.007665136195735006,0.003644979041370512,0.011854877207871426,0.0059404256973219945,0.009495694470291534,53.4
2024,FILIAÇÃO PARTIDÁRIA,7505,0.006395120450666396,0.004663251478518735,2108,0.006168721106195441,0.0016562461181731606,0.012563293150568844,0.004174968614652789,0.007795540306836492,37.9
2024,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,6515,0.005551526946847645,0.002868380430855294,1196,0.004798445115700719,0.0003006614552014432,0.02660054102795311,0.0011986169034019253,0.005886245037661187,21.5
2024,INQUÉRITO POLICIAL,4582,0.0039043893277752734,0.0027804603221105893,1353,0.014070091899377756,0.00016944037022720895,0.2589928057553957,0.0033058925355242763,0.006095154054220926,24.3
2024,DIREITO DE RESPOSTA,4467,0.0038063961429882468,0.0019675164477856353,1195,0.004594172513592681,0.0013082583810302534,0.023931623931623933,0.0022066198595787363,0.004655139654189626,21.5
2024,APURAÇÃO DE ELEIÇÃO,4047,0.003448507989853019,0.004841967249699084,3654,0.003915057032394435,2.814301152737752e-05,0.008021390374331552,0.0026211555192135355,0.004909977219179528,65.6
2024,REPRESENTAÇÃO ESPECIAL,3745,0.0031911693654557835,0.0021874956161337025,1307,0.003626003801915986,0.00036449790413705123,0.02158273381294964,0.0014723949260664138,0.0045196900410202885,23.5
2024,SUSPENSÃO DE ÓRGÃO PARTIDÁRIO,3149,0.0026833090338638883,0.0026054229396872152,741,0.0023057397747706255,0.00012662234884457108,0.005575647182789094,0.0005467468562055768,0.003924775143090761,13.3
2024,RECURSO/IMPUGNAÇÃO DE ALISTAMENTO ELEITORAL,2958,0.002520555135652392,0.0027420300552641395,188,0.006475973352243436,1.8836648583484026e-05,0.0661693936477382,9.297646399403318e-05,0.0005508754685812436,3.4
2024,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,2803,0.0023884773648524863,0.0024883861754207773,1456,0.002869290133914659,0.0009937476709038964,0.006305048852096068,0.001986955671964661,0.0033193089240459465,26.1
2024,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,2676,0.002280258804261596,0.0016284002079023877,1018,0.002776749974772516,0.0008134490238611713,0.007434699651292848,0.0013559465020722115,0.0030847985067972844,18.3
2024,CARTA PRECATÓRIA CÍVEL,1684,0.0014349610711422,0.0008107805661267445,534,0.004509184508662141,0.0003006614552014432,0.07913669064748201,0.0009685028301698748,0.0017046784812514357,9.6
2024,TERMO CIRCUNSTANCIADO,1677,0.0014289962685899462,0.0012663256753581765,916,0.0016572178154799135,0.0003006614552014432,0.007194244604316547,0.0009402435499940038,0.0020789292131894455,16.4
