topic_code,topic_name,topic_family,n_munis,g_mean,g_sd,g_p10,g_p25,g_p50,g_p75,g_p90,mean_share_local,s_k_bar,s_k_bar_norm,s_k_bar2
11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,2588,-0.07534545765223549,0.028745522039153256,-0.0956126214412123,-0.0830225887339626,-0.0746712010059269,-0.0669217627038154,-0.0540719530381821,0.15279257537200602,0.0709795701063994,0.09858568563020455,0.00971913741117752
12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,2473,0.37250567998475004,0.011851190862226722,0.3523203185785988,0.3651443658274456,0.375630779042833,0.3815340771378253,0.3882222717486723,0.12099052794738258,0.05370841421896897,0.07459725146194857,0.005564749925677188
11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,2161,-0.4399798952932305,0.06687611852268828,-0.5012485098382555,-0.472167631828821,-0.4364205576803108,-0.4242538242719007,-0.4188536372623268,0.11863737981790716,0.0460196334206601,0.06391806975479856,0.004085519641179295
12637,Propaganda Política - Propaganda Eleitoral - Redes Sociais,information_environment,2154,-0.07444645993921595,0.025254860544934178,-0.1166735270548251,-0.089836600391898,-0.0685691865939936,-0.0523839975001028,-0.0484739186337641,0.11526843905316453,0.0445679802047238,0.06190182441299325,0.0038318358656570474
11649,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,campaign_conduct,2011,0.3524377572319496,0.04632938281401672,0.3032194865466859,0.3246022773702073,0.3429330887072268,0.3696966776865551,0.4286754337528897,0.12290141703161865,0.04436452156714864,0.061619234517722436,0.0037969300625500762
11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,2017,-0.2798346596396698,0.017916125191119497,-0.3055915241518789,-0.2926972148267293,-0.2832504988109399,-0.2703699414796219,-0.2483164540753186,0.10462711619880821,0.03788061270382279,0.05261353611892208,0.0027681841829371185
11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,1683,-1.016624000177085,0.07601890519474436,-1.1150832492640346,-1.054891843848928,-1.0346002218727834,-0.9710624906220112,-0.8383625154065282,0.1096504135490561,0.0331254076472917,0.046008887061346745,0.00211681768862376
11718,Abuso - De Poder Econômico,abuse_misuse_office,1526,-0.10406637199928494,0.03471512473830756,-0.1693561191426678,-0.1076228299339367,-0.0981379326514906,-0.0884163649271059,-0.0604339620270657,0.09030301576140524,0.02473566721448663,0.03435612117973194,0.0011803430625164256
11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1413,-0.008947770206792417,0.04502929608118447,-0.0963745758601115,-0.0074411256946884,0.0051613017802258,0.0221164866873495,0.0273528519179686,0.09289190877810297,0.023560629528533446,0.03272407556805276,0.0010708651217836277
11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,1501,-0.4338253959468335,0.050946367293293084,-0.5198631909278442,-0.4501011059321449,-0.4269634766149064,-0.4078456567583108,-0.3638712108093269,0.08257845137653151,0.02224919323571608,0.030902581779150857,0.0009549695606171065
11650,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Sem Prévio Registro,campaign_conduct,1381,-0.047367507702999204,0.37199417262720913,-0.0665114806355662,-0.0616159666949691,-0.0428066805102318,0.0087701543546208,0.0087701543546208,0.08781514453446275,0.021768571998221787,0.030235032311666268,0.0009141571788875033
11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1257,-0.09916918489905038,0.4159474212598411,-0.1512659083411431,-0.1279400324880661,-0.1084870049849922,0.0192025102256359,0.0192025102256359,0.09456470004094296,0.021336892470196638,0.029635459474311964,0.0008782604582535867
11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,1260,0.0687549206091043,0.03433243756798698,0.0223472986919963,0.0476906588360153,0.0596498889784919,0.1093688649241642,0.1137090800952203,0.07537218973126186,0.017047021910140087,0.023677127664270825,0.0005606063744301788
12639,Propaganda Política - Propaganda Eleitoral - Aplicativo de Mensagem Instantânea,information_environment,1207,-0.2305210556957195,0.03669595364444371,-0.2765979421243463,-0.2547479580020457,-0.2393192235982439,-0.2080559446634602,-0.1542977927366813,0.07564183611982635,0.016388385603416055,0.022762327648125334,0.000518123559960611
11642,Eleições - 1° Turno,unmapped,878,-1.4342622653217232,1.8447218945011468,-0.9742285689803748,-0.9015909427538658,-0.8973217338464998,-0.8665344086201339,-0.7780541456033836,0.08258897414452801,0.01301617650312259,0.01807856377434451,0.00032683446814304166
11596,Inelegibilidade - Abuso do Poder Econômico ou Político,eligibility_ballot_access,1016,-0.031035649586587864,0.7858448784129078,-0.0793311447464359,0.0395822883489085,0.0584222941201346,0.0773925672039164,0.1301136481138627,0.07116539746609177,0.012978647249246016,0.01802643825119657,0.00032495247602420285
11678,Propaganda Política - Propaganda Eleitoral - Inobservância do Limite Legal,unmapped,897,-1.3224695744961126,0.8562254539038732,-1.297039752938021,-1.2653600342990998,-1.2115303806620157,-1.1835185563203838,-1.0598542783687055,0.07073398553302247,0.011389047751412923,0.015818595119202517,0.0002502279515452577
11593,Direito de Resposta,unmapped,790,-0.3534907227727691,0.8304803266394312,-0.2808654134726831,-0.2654990632728626,-0.2521651301612184,-0.234936728439421,-0.2002625821642363,0.07400408284814854,0.01049420668641853,0.01457572312391861,0.00021245170458513568
11664,"Propaganda Política - Propaganda Eleitoral - Confecção, Utilização ou Distribuição de Brinde",unmapped,811,-0.461941739134974,0.43896844710961785,-0.5081526500351004,-0.4962837821261923,-0.4381176531493489,-0.4252254306408218,-0.3923784672151997,0.06547276589593044,0.009531217580613843,0.013238198240239252,0.00017524989264787363
11723,Propaganda Política - Propaganda Institucional,unmapped,705,-0.34220642285506336,0.06334775101229181,-0.3961627154458513,-0.3961627154458513,-0.3548346407918075,-0.2775675332018981,-0.2562957586311096,0.07500232525300787,0.009491408957704315,0.013182906832054515,0.0001737890325426296
