office,year,n_municipalities,cand_female_share,cand_nonwhite_share,cand_higher_education_share,cand_mean_age,elected_female_share,elected_nonwhite_share,elected_higher_education_share,elected_mean_age,new_candidate_share,incumbent_candidate_share,incumbent_reelected_share,female_vote_share,nonwhite_vote_share,winner_is_female
executive,2020,5568,0.1342690541307601,0.36142215800608907,0.6140151710614583,50.2831209394473,0.12709380234505863,0.32710427135678394,0.6357830820770519,50.205886551167886,0.0,0.0,0.0,0.13075770097378184,0.33024132495280617,0.12066798347997845
executive,2024,5569,0.15288301014511366,0.358353666367022,0.6381790163092333,50.92076466245256,0.13218167701863354,0.33229813664596275,0.6640139751552795,50.23980568628368,0.6630281237960703,0.18216257865673557,0.39026915113871635,0.1462399120122333,0.34076791717895843,0.13162147602801222
legislative,2020,5568,0.3475818972583585,0.5131006682932003,0.2687580161431864,45.67047840083283,0.14927995567269692,0.4496262022537181,0.40972582680355346,45.25547338219667,0.0,0.0,0.0,,,
legislative,2024,5569,0.35404002759246483,0.5302452303461558,0.3109036532238277,47.244071293971544,0.1708788184128578,0.4547428257758773,0.4491054846988021,46.19202419172109,0.6388280609811992,0.10581895454187709,0.4707232322819485,,,
