election_year,registered_voters,turnout_count,abstentions_count,blank_votes,null_votes,valid_votes,n_munis,turnout_rate_pct,abstention_rate_pct,blank_rate_pct,null_rate_pct,valid_rate_pct
2020,149416868,114790317,34626551,3939696,7286825,103563188,5568,76.82554087534481,23.17445912465519,3.432080425389887,6.347943964646426,90.21944594856376
2024,156467678,122499905,33967773,3457139,5338737,113704029,5569,78.29086912122514,21.70913087877485,2.822156474325429,4.3581560328557,92.81968749281887
