election_year,office_group,total_candidates,elected_candidates,female_share_pct,nonwhite_share_pct,higher_ed_share_pct,n_munis,elected_rate_pct
2020,executive,19379.0,5494.0,13.42690541307601,36.14221580060891,61.40151710614583,5568.0,28.35027607203674
2020,legislative,518485.0,58105.0,34.75818972583585,51.310066829320036,26.87580161431864,5568.0,11.206688718092133
2024,executive,15574.0,5536.0,15.288301014511365,35.8353666367022,63.81790163092334,5569.0,35.546423526390136
2024,legislative,432002.0,58162.0,35.40400275924648,53.02452303461558,31.09036532238277,5569.0,13.46336359553891
