office,election_year,n,share_first,mean_prior,share_prior_winner
Prefeito,2012,31998,1.0,0.0,0.0
Prefeito,2016,33430,0.7064911755907867,0.2935088244092133,0.1497457373616512
Prefeito,2020,38894,0.67203167583689,0.42135033681287604,0.20072504756517714
Prefeito,2024,31292,0.5810750351527547,0.6237376965358558,0.26623418126038606
Vereador,2012,449592,1.0,0.0,0.0
Vereador,2016,462987,0.6847838060247912,0.3152161939752088,0.09097663649303328
Vereador,2020,517914,0.6593449877778936,0.4764207957305653,0.10211927076696131
Vereador,2024,431766,0.5557176804102222,0.7452717444171149,0.14685964156510703
