A,nat_share,cv,n_states,dim
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - OUTDOORS,0.0007058485534750941,0.6542210698615399,26,assunto
"PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - CONFECCAO, UTILIZACAO OU DISTRIBUICAO DE BRINDE",0.0006675166792051905,0.9806307188493159,24,assunto
CALUNIA NA PROPAGANDA ELEITORAL,0.0006438980496045429,0.5295230052939367,26,assunto
MATERIA ADMINISTRATIVA,0.0006287976142860959,1.473003608869303,27,assunto
AUTORIZACAO DE DIVULGACAO DE PUBLICIDADE INSTITUCIONAL,0.0006167947041611767,0.7011018987948016,25,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - TELEVISAO,0.0005978223623508203,0.6132604395373694,26,assunto
REGULARIZACAO DE CONTAS ELEITORAIS,0.0005831091176815643,0.528608580955206,26,assunto
FALSIDADE IDEOLOGICA,0.0005827219270323734,2.503078390266639,27,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - CONDUTA VEDADA A EMISSORA DE RADIO/TELEVISAO NA PROGRAMACAO NORMAL,0.0005749781140485545,0.5115759742200333,26,assunto
INTIMACAO,0.0005738165421009816,4.062111624098254,27,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - BEM PARTICULAR DE USO COMUM,0.0005602648693792986,0.8017397133294273,26,assunto
PROPAGANDA POLITICA - PROPAGANDA INSTITUCIONAL,0.0005463260060084245,0.7075326447085672,25,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - INOBSERVANCIA DO LIMITE LEGAL,0.0005409053369197513,0.8098877701565854,26,assunto
DIREITO DE RESPOSTA,0.0005300639987424047,0.7546345621882006,26,assunto
DIVULGACAO DE PROPAGANDA ELEITORAL NO DIA DA ELEICAO,0.0005296768080932138,2.3972979603702878,27,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - RADIO,0.0004859242647346369,0.7644889273283594,26,assunto
CANDIDATO ELEITO,0.00048166516759353653,1.3014079333475124,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - DISTRIBUICAO DE TEMPO DE PROPAGANDA,0.0004685006855210444,1.3477700822920151,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - OMISSAO DE INFORMACOES OBRIGATORIAS,0.00046075687253722546,0.8004703722815463,26,assunto
DIFAMACAO NA PROPAGANDA ELEITORAL,0.000421263426319749,0.5155419953344046,25,assunto
CAPTACAO ILICITA DE VOTOS OU CORRUPCAO ELEITORAL,0.0004077117535980659,0.8273599764521299,25,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - CARREATA/CAMINHADA/PASSEATA,0.00039532165282395567,0.8076197938874746,25,assunto
FILIACAO PARTIDARIA - EXCLUSAO,0.00038022121750550875,2.305066778719828,27,assunto
PEDIDO DE DISPENSA DE CONVOCACAO PARA TRABALHOS ELEITORAIS,0.00036666954478382566,2.750949615267611,21,assunto
ALISTAMENTO ELEITORAL - CANCELAMENTO,0.00035970011309838863,2.4385093788285386,25,assunto
ABUSO - USO INDEVIDO DE MEIO DE COMUNICACAO SOCIAL,0.0003469228216750874,0.4409950583729242,24,assunto
INSCRICAO FRAUDULENTA,0.0003240785733728216,4.654644801917058,25,assunto
DESOBEDIENCIA A ORDENS OU INSTRUCOES DA JUSTICA ELEITORAL,0.0003120756632479023,0.7903419360483553,24,assunto
CAPTACAO ILICITA DE SUFRAGIO,0.00029232894013916407,0.6996410453430464,26,assunto
CALUNIA,0.0002849723178045361,1.3907130247458408,25,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - HORARIO ELEITORAL GRATUITO/PROGRAMA EM BLOCO,0.00028303636455858137,0.8413624015483351,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - CONTRARIEDADE A LEI DE POSTURA MUNICIPAL,0.0002683231198893254,0.7876292151264851,23,assunto
BOCA DE URNA,0.00023967101184919543,0.8689225011010756,26,assunto
CONVENCAO PARTIDARIA,0.00023463753340971315,0.6758258448786539,25,assunto
VIOLACAO DO SIGILO DO VOTO,0.0002292168643210399,0.6287624598629067,26,assunto
DIVULGACAO DE FATOS INVERIDICOS NA PROPAGANDA ELEITORAL,0.000228442483022658,1.9526036786350778,27,assunto
DIREITO LIQUIDO E CERTO,0.0002249577671799395,1.9490422179435218,27,assunto
CAPTACAO OU GASTO ILICITO DE RECURSOS FINANCEIROS DE CAMPANHA ELEITORAL,0.00021256766640582924,0.7194754456288666,25,assunto
NI,0.00021179328510744733,0.6896794012908374,26,assunto
CONDICAO DE ELEGIBILIDADE - QUITACAO ELEITORAL,0.00020327509082524654,0.9363036653156539,26,assunto
CANCELAMENTO DE REGISTRO DE CANDIDATURA,0.0002005647562809099,2.8309750082179628,27,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - BOCA DE URNA,0.000192820943297091,0.7165717889263856,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - IMPRENSA ESCRITA - JORNAL/REVISTA/TABLOIDE,0.00019165937134951817,0.9476733821216546,23,assunto
"PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - TRUNCAGEM, MONTAGEM, UTILIZACAO DE GRAVACAO EXTERNA, COMPUTACAO GRAFICA, DESENHO ANIMADO OU EFEITO ESPECIAL",0.00019011060875275438,0.7559004462994477,26,assunto
INELEGIBILIDADE - REPRESENTACAO OU ACAO DE INVESTIGACAO JUDICIAL ELEITORAL JUGADA PROCEDENTE PELA JUSTICA ELEITORAL,0.00018817465550679966,0.5972247492616987,26,assunto
DIFAMACAO,0.0001877874648576087,0.7373418974084236,26,assunto
USO DE DOCUMENTO FALSO PARA FINS ELEITORAIS,0.00018507713031327207,1.212676136140683,21,assunto
DESCUMPRIMENTO DA PROIBICAO DE FORNECIMENTO DE TRANSPORTE OU REFEICOES A ELEITORES,0.00018391555836569923,1.4487016327608626,26,assunto
INJURIA NA PROPAGANDA ELEITORAL,0.00018159241447055356,0.6322294187000471,24,assunto
CARGO - VICE-PREFEITO,0.00017655893603107128,0.5283612014868716,26,assunto
REGISTRO DE CANDIDATURA - SUBSTITUICAO DE CANDIDATO - POR RENUNCIA,0.0001742357921359256,0.780010372817028,24,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - DEBATE POLITICO,0.0001734614108375437,0.7528595430146909,26,assunto
CONTAS - APROVACAO DAS CONTAS,0.0001734614108375437,0.8050452531285263,24,assunto
COACAO VISANDO A OBTENCAO DE VOTO OU A SUA ABSTENCAO,0.0001734614108375437,0.7049602550139575,26,assunto
PESQUISA ELEITORAL,0.00017191264824077993,1.4733350702188512,15,assunto
