election_year,assunto,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2020,Registro de Candidatura - RRC - Candidato,542843,0.38526171307231105,0.38765188913049253,5562,0.3796618064120972,0.3347382692761141,0.4064909441574852,0.3690932371252842,0.3944213018216187,99.9
2020,Cargo - Vereador,513151,0.36418897052143895,0.3578543726060573,5552,0.3475328746355501,0.009259259259259259,0.39552732335537766,0.3472290100975557,0.3745897054829861,99.7
2020,Partido Político - Órgão de Direção Municipal,68939,0.04892677484556686,0.06532453505223089,5524,0.052565546070387985,0.023297004486160133,0.07741208295761948,0.046169493706677334,0.058346750353320154,99.2
2020,Registro de Candidatura - DRAP Partido/Coligação,61463,0.043620974518531974,0.05527730016941395,5557,0.04471086593030375,0.026774748219110783,0.06000901713255185,0.04093927029351492,0.04752070623740661,99.8
2020,Cargo - Prefeito,23523,0.016694534656613372,0.02140328606910138,5520,0.017827269132321157,0.012773504178766987,0.023510095717180185,0.01562066446362246,0.019287303944233516,99.1
2020,Ausência ou Abandono aos Trabalhos Eleitorais,22342,0.01585636582485465,0.00591131139014079,1383,0.014686532092965263,0.00036273701566364385,0.06188832434808465,0.004181594951852368,0.020501041416600384,24.8
2020,Prestação de Contas - De Candidato,8065,0.005723820176235465,0.004141237221340583,676,0.00431541053460177,0.00020100502512562814,0.01959947769201929,0.0007994941220208008,0.003971554000956437,12.1
2020,Propaganda Política - Propaganda Eleitoral - Internet,7099,0.005038239235101744,0.002760499722379283,1481,0.004727065561051983,0.0008123476848090983,0.03374316410037622,0.0024502917571452712,0.005020438010950274,26.6
2020,Registro de Candidatura - Preenchimento de Vaga Remanescente,7097,0.005036819812863372,0.004389076978203198,2202,0.0051158428688566114,0.0021658632012855447,0.010531279471864193,0.004063904114299558,0.005732379865361584,39.5
2020,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,6864,0.004871457122093023,0.003885299264703776,1759,0.005207939548660013,0.0006769564040075819,0.018875486431628074,0.0024102033884097415,0.006834370292891551,31.6
2020,Execução - Cumprimento de Sentença,6662,0.0047280954760174415,0.0036086154285436475,1767,0.007206113562647808,0.0008812720318007951,0.029949748743718592,0.0041188412874820675,0.008404448844621396,31.7
