SG_UF,SG_UE,NM_UE,bartik_iv_no_rrc,dominant_topic_share_no_rrc,share_hhi_no_rrc,avg_shock_equal_weight,avg_abs_shock_equal_weight,n_topics_no_rrc,baseline_lawsuits_no_rrc_2020
AL,28290,PASSO DE CAMARAGIBE,-0.1060442745165025,0.6271186440677966,0.43004883654122383,-0.05619166252348473,0.3935299082470619,8.0,59.0
AL,28312,PAULO JACINTO,-0.0429228528499199,0.49122807017543857,0.2674669128962757,-0.08750482982439863,0.2981651366800835,13.0,57.0
AL,28339,PENEDO,-0.131554032268132,0.3090909090909091,0.15504132231404955,-0.21949120879496212,0.33409815866855036,13.0,55.0
AL,28355,PIAÇABUÇU,-0.131554032268132,0.3090909090909091,0.15504132231404955,-0.21949120879496212,0.33409815866855036,13.0,55.0
AL,28371,PILAR,-0.0979589893802606,0.75,0.5743801652892562,-0.12281259936217445,0.17173751793475325,7.0,44.0
AL,28398,PINDOBA,-0.1453988363471044,0.3493975903614458,0.16649731455944258,-0.1313514761773202,0.2935415683346104,16.0,83.0
AL,28410,PIRANHAS,-0.1174354649082587,0.5245901639344263,0.30233808116097827,-0.13040377829060207,0.26005626820877875,13.0,61.0
AL,28436,POÇO DAS TRINCHEIRAS,-0.1698904621309564,0.4782608695652174,0.26937618147448017,-0.12632493003147105,0.24978278863387235,11.0,46.0
AL,28452,PORTO CALVO,-0.0832020495533544,0.5,0.285625,-0.16740129158386138,0.2786748315002162,13.0,80.0
AL,28479,PORTO DE PEDRAS,-0.1060442745165025,0.6271186440677966,0.43004883654122383,-0.05619166252348473,0.3935299082470619,8.0,59.0
AL,28495,PORTO REAL DO COLÉGIO,-0.1771711686604451,0.45901639344262296,0.24052674012362268,-0.42100215350727926,0.5343695451495769,15.0,61.0
AL,28517,QUEBRANGULO,-0.0429228528499199,0.49122807017543857,0.2674669128962757,-0.08750482982439863,0.2981651366800835,13.0,57.0
AL,28533,RIO LARGO,-0.0395218118756217,0.4642857142857143,0.2474489795918367,0.02869790465403359,0.2729765812006282,12.0,28.0
AL,28550,ROTEIRO,-0.1451835028072529,0.3275862068965517,0.14952437574316288,-0.06097752845722759,0.2808413994200845,18.0,116.0
