"ano","sigla_uf","nome_municipio","n_polls"
2008,"MG","Contagem",2
2012,"MG","Belo Horizonte",27
2012,"MG","Betim",6
2012,"MG","Contagem",7
2012,"AM","Manaus",16
2012,"SC","Joinville",13
2012,"MT","Cuiabá",17
2012,"AC","Rio Branco",7
2012,"SP","Sorocaba",6
2012,"RS","Porto Alegre",20
2012,"RS","Canoas",3
2012,"RS","Caxias do Sul",6
2012,"RS","Pelotas",5
2012,"SP","Santo André",8
2012,"SE","Aracaju",13
2012,"PA","Ananindeua",4
2012,"PB","Campina Grande",12
2012,"PA","Belém",19
2012,"PE","Recife",19
2012,"MA","São Luís",22
2012,"MS","Campo Grande",12
2012,"SP","Santos",8
2012,"PB","João Pessoa",16
2012,"SP","Limeira",4
2012,"SP","Guarulhos",6
2012,"MG","Curvelo",1
2012,"MG","Nova Lima",1
2012,"SC","Florianópolis",20
2012,"RJ","Niterói",7
2012,"GO","Anápolis",3
2012,"PI","Teresina",22
2012,"PR","Cascavél",7
2012,"PR","Londrina",9
2012,"MG","Juiz de Fora",8
2012,"MG","Montes Claros",3
2012,"SP","Carapicuíba",3
2016,"SP","Santos",14
2016,"PI","Teresina",21
2016,"RN","Natal",14
2016,"GO","Luziânia",3
2016,"MA","São Luis",51
2016,"BA","Camaçari",5
2016,"MT","Cuiabá",34
2016,"PA","Belém",37
2016,"SP","Guarulhos",15
2016,"MS","Campo Grande",45
2016,"RS","Porto Alegre",20
2016,"PA","Ananindeua",6
2016,"PB","João Pessoa",12
2016,"SP","Barueri",4
2016,"SP","Pirapora do Bom Jesus",1
2016,"SP","Cotia",1
2016,"SP","Itapevi",2
2016,"SP","Jandira",2
2016,"SP","Santana de Parnaíba",1
2016,"PR","Francisco Beltrão",2
2016,"PA","Tucurui",2
2016,"BA","Salvador",13
2016,"PR","Foz do Iguaçu",1
2016,"PA","Santarém",5
2016,"SP","Barretos",1
2016,"RS","Uruguaiana",1
2016,"MT","Várzea Grande",2
2016,"PA","Parauapebas",1
2016,"AC","Rio Branco",8
2016,"RS","Canoas",4
2016,"TO","Palmas",29
2016,"BA","Macaubas",1
2016,"PR","Londrina",11
2016,"ES","Serra",5
2016,"RS","Pelotas",2
2016,"SP","Limeira",2
2016,"RO","Porto Velho",17
2016,"GO","Aparecida de Goiânia",3
2016,"MG","Betim",3
2016,"MG","Uberaba",9
2016,"MG","Governador Valadares",2
2016,"SP","Mogi das Cruzes",4
2016,"AM","Manaus",41
2016,"SC","Blumenau",1
2016,"MG","Contagem",6
2016,"PE","Recife",34
2016,"SC","Joinville",8
2016,"SE","Aracaju",13
2016,"SP","Suzano",1
2016,"GO","Goiânia",34
2016,"SP","Santo André",12
2016,"SP","Diadema",5
2016,"SP","Osasco",3
2016,"RS","Caxias do Sul",4
2004,"ES","Cariacica",3
2004,"ES","Colatina",4
2004,"ES","Linhares",2
2004,"MG","Uberaba",3
2004,"RS","Cachoeirinha",2
2004,"ES","Guarapari",2
2004,"GO","Rio Verde",1
2004,"SP","Ribeirão Preto",5
2004,"RS","Gravataí",1
2008,"MG","Governador Valadares",2
2008,"SP","Pindamonhangaba",1
2012,"PE","Olinda",3
