SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,code_micro,name_micro,log_pop_2010,urban_share_2010,log_income_pc_2010,share_first_time_candidates_2020,mean_prior_candidacies_2020,share_prior_winners_2020,share_career_politicians_2020,turnout_rate_2020,abstention_rate_2020,blank_share_2020,null_share_2020,incumbent_ran_2024,incumbent_won_2024,party_switch_2024
GO,96393,VARJÃO,4,0.3897386870618228,0.1590184831102613,0.2773553159709655,3.6054834445815462,PPS,90000010458,VALDIVINO MARTINS DA SILVA,52014,Vale do Rio dos Bois,8.146419323098,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.8274620725122139,0.172537927487786,0.009633312616532,0.0285891858297078,1.0,0.0,1.0
GO,96415,VIANÓPOLIS,1,1.0,1.0,1.0,1.0,PP,90000018219,ISSY QUINAN JUNIOR,52016,Pires do Rio,9.43276366396591,0.0534827862289832,0.0785018278346212,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8200898086684889,0.1799101913315111,0.013331746220688,0.033686465896917,0.0,0.0,1.0
GO,96458,ACREÚNA,4,0.4489270386266094,0.1081545064377682,0.3399787759692579,2.9413600809317098,PSDB,90000019265,EDMAR OLIVEIRA ALVES NETO,52014,Vale do Rio dos Bois,9.90498642865986,0.0,0.124478606832686,0.7,0.3,0.1,0.0,0.8096657883788656,0.1903342116211343,0.0137877879592361,0.0346835659844138,0.0,0.0,0.0
GO,96474,MINAÇU,3,0.4157132360659179,0.0920016794373884,0.3455061051975949,2.8943048616408675,DEM,90000019090,AGENOR FERREIRA NICK BARBOSA,52004,Porangatu,10.3373133344133,0.111593545460437,0.148785302334068,0.7142857142857143,0.2857142857142857,0.2142857142857142,0.0,0.779559301846168,0.220440698153832,0.0084033613445378,0.0322618557912675,1.0,0.0,1.0
GO,96512,MUNDO NOVO,3,0.4890160183066361,0.1283752860411899,0.3918014965779786,2.5523128643817574,PR,90000014961,HELCIO ALVES DE OLIVEIRA,52001,São Miguel do Araguaia,8.7649903301691,0.0,0.215337991394174,0.6666666666666666,0.5,0.0,0.0,0.8430062630480167,0.1569937369519833,0.004952947003467,0.0289747399702823,1.0,0.0,1.0
GO,96539,NOVA CRIXÁS,3,0.6505976618941285,0.3295678444765533,0.5271424612634762,1.897020394834368,DEM,90000014294,AILTON JOSE BARRETOS,52001,São Miguel do Araguaia,9.37957668922148,0.290298066368319,0.15835168389314,0.625,0.5,0.25,0.0,0.8025606469002695,0.1974393530997304,0.0075566750629722,0.0465994962216624,1.0,0.0,1.0
GO,96555,NOVA GLÓRIA,2,0.6523492286115007,0.3046984572230014,0.5464205749170385,1.8300921412994504,PP,90000009769,CARLOS LUIZ DE OLIVEIRA,52006,Ceres,9.04452188728124,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.8579633654144676,0.1420366345855324,0.0092274289849828,0.0215306676316265,0.0,0.0,1.0
GO,96571,VICENTINÓPOLIS,1,1.0,1.0,1.0,1.0,PSDB,90000017164,NEILTON FERREIRA DE OZEDA,52015,Meia Ponte,8.89316082873538,0.0,0.0,0.5,0.5,0.5,0.0,0.8746875520746542,0.1253124479253457,0.0083825490569632,0.0285768717851019,1.0,1.0,0.0
GO,96610,AMERICANO DO BRASIL,2,0.5345240688303202,0.0690481376606403,0.5023838226572015,1.990509954541956,PTB,90000010095,MARIA SUELI DA SILVA ROSA QUEIROZ,52009,Anicuns,8.61050136854989,0.0,0.315002247538164,0.5,0.5,0.25,0.0,0.8814535345512311,0.1185464654487688,0.0083352106330254,0.034016670421266,1.0,0.0,0.0
GO,96695,ARAGUAPAZ,2,0.5090013265112754,0.0180026530225507,0.5001620477579252,1.999352018976044,PMDB,90000014882,MARCIA BERNARDINO DE SOUZA REZENDE,52002,Rio Vermelho,8.9169084675438,0.0,0.0,0.5,0.8333333333333334,0.3333333333333333,0.0,0.8400326797385621,0.1599673202614379,0.0044738377747519,0.025870453219218,0.0,0.0,1.0
