municipality_id_tse,facultative_turnout_2020,facultative_turnout_2024,compulsory_turnout_2020,compulsory_turnout_2024,low_ed_turnout_2020,low_ed_turnout_2024,high_ed_turnout_2020,high_ed_turnout_2024,analfabeto_turnout_2020,analfabeto_turnout_2024,female_turnout_2020,female_turnout_2024,male_turnout_2020,male_turnout_2024,delta_facultative_turnout_2024_2020,delta_compulsory_turnout_2024_2020,delta_low_ed_turnout_2024_2020,delta_high_ed_turnout_2024_2020,delta_analfabeto_turnout_2024_2020,delta_female_turnout_2024_2020,delta_male_turnout_2024_2020,education_turnout_gap_2020,sex_turnout_gap_2020,education_turnout_gap_2024,sex_turnout_gap_2024,delta_education_turnout_gap_2024_2020,delta_sex_turnout_gap_2024_2020
00019,0.49907407407407406,0.5870529887757766,0.7553061224489795,0.7617196610433025,0.7089615132503043,0.7182378019895784,0.7030579399141631,0.72496765847348,0.5162433549911399,0.5614778921865536,0.736283680022337,0.7557594560697076,0.7137319218726703,0.7215435868961688,0.08797891470170255,0.006413538594322921,0.009276288739274108,0.021909718559316893,0.045234537195413704,0.019475776047370608,0.007811665023498504,-0.005903573336141221,0.0225517581496667,0.006729856483901564,0.034215869173538804,0.012633429820042785,0.011664111023872104
00035,0.42125617370235763,0.5542286543197382,0.7450644961469209,0.7581184888982426,0.6576303553636665,0.678510633934248,0.7535687229839129,0.7806493709130626,0.4166666666666667,0.47481796116504854,0.7372748989342154,0.7664653892683752,0.7098629843851291,0.7140387495157756,0.1329724806173806,0.013053992751321686,0.0208802785705815,0.02708064792914977,0.058151294498381856,0.02919049033415977,0.004175765130646547,0.09593836762024632,0.027411914549086314,0.10213873697881459,0.052426639752599535,0.0062003693585682695,0.02501472520351322
00051,0.4606902477445224,0.5813901843215634,0.719972109750578,0.737246029129194,0.6565186134466915,0.6959535406519296,0.7472556194458965,0.7766567993717151,0.4270720231632284,0.5009777082518576,0.7117196765498652,0.7436357187894073,0.6862620110017235,0.6998506719761075,0.12069993657704103,0.017273919378616,0.03943492720523811,0.029401179925818588,0.07390568508862921,0.03191604223954203,0.013588660974384048,0.09073700599920498,0.025457665548141772,0.08070325871978545,0.043785046813299755,-0.010033747279419525,0.018327381265157983
00078,0.4580165568508194,0.5366733466933867,0.7005397601430611,0.7189268975591941,0.6293480856483324,0.6631675215714342,0.7478690430065866,0.7686281337047354,0.4435812060673326,0.4600701207635372,0.6960043977663976,0.7262693739603412,0.6609613420409174,0.6724411231884058,0.07865678984256735,0.01838713741613307,0.03381943592310177,0.02075909069814874,0.016488914696204615,0.030264976193943638,0.011479781147488377,0.11852095735825419,0.035043055725480166,0.10546061213330116,0.053828250771935426,-0.01306034522495303,0.01878519504645526
00094,0.45327375170001943,0.5312591722923393,0.7448063078505314,0.7543437068439477,0.6835064877156998,0.6973161033797217,0.7579552901769461,0.7664825799413649,0.42565320665083134,0.456019656019656,0.7276196244700182,0.7471006048498974,0.7141825581777005,0.7162440234824184,0.07798542059231989,0.009537398993416324,0.013809615664021946,0.008527289764418855,0.030366449368824655,0.01948098037987922,0.0020614653047179576,0.0744488024612463,0.013437066292317668,0.06916647656164321,0.03085658136747893,-0.005282325899603091,0.017419515075161263
00116,0.41438788388725284,0.5790190735694822,0.7481227483831764,0.7785946385052802,0.6597676461974031,0.7073626265605033,0.7912040060962334,0.8263103802672148,0.3771760154738878,0.489648033126294,0.7261830635118306,0.7794824001720554,0.7074315722469765,0.7346218857940766,0.1646311896822294,0.03047189012210383,0.04759498036310017,0.03510637417098139,0.11247201765240622,0.053299336660224794,0.02719031354710011,0.1314363598988303,0.018751491264854092,0.11894775370671151,0.04486051437797878,-0.012488606192118779,0.026109023113124685
00132,0.4883675843350136,0.5099764336213668,0.7529808653434242,0.7051921244839632,0.6837660457484799,0.6435378620722032,0.7846826829606999,0.7556362725450901,0.4260204081632653,0.41163793103448276,0.745090067550663,0.7138782227098189,0.7148873519139902,0.6577771020221985,0.021608849286353204,-0.047788740859461054,-0.040228183676276674,-0.029046410415609736,-0.014382477128782545,-0.03121184484084405,-0.0571102498917917,0.10091663721222,0.03020271563667276,0.11209841047288693,0.05610112068762041,0.011181773260666938,0.025898405050947648
00159,0.3788525367472736,0.5955124317768344,0.7629765858746672,0.7656571269797166,0.6321702548874041,0.7292319027445202,0.8334517045454546,0.8108882521489972,0.35684966649563876,0.5093936806148591,0.717850199055643,0.7580399619410085,0.69417659292872,0.7314354571471607,0.21665989502956085,0.002680541105049339,0.09706164785711613,-0.022563452396457406,0.15254401411922036,0.040189762885365576,0.03725886421844071,0.2012814496580505,0.02367360612692293,0.08165634940447697,0.026604504793847794,-0.11962510025357354,0.0029308986669248638
00175,0.3509467195068252,0.5697642915199133,0.7396316929743113,0.7681983071342201,0.6064533921676779,0.7151290268173385,0.8129952456418383,0.7947403610430132,0.32727272727272727,0.4712969525159461,0.6884297520661157,0.7543706879228348,0.6741473396998636,0.7294429708222812,0.21881757201308805,0.0285666141599088,0.10867563464966057,-0.018254884598825183,0.14402422524321884,0.06594093585671912,0.05529563112241753,0.20654185347416043,0.01428241236625205,0.07961133422567468,0.024927717100553637,-0.12693051924848575,0.010645304734301586
00191,0.4348057477381586,0.5485347985347986,0.7727609178386381,0.7639339534212993,0.6894523591687362,0.704805176924136,0.802936996684036,0.7859128822984245,0.39232673267326734,0.4375,0.7376174752349505,0.752112676056338,0.7250831669993346,0.7165314401622718,0.11372905079663997,-0.008826964417338767,0.015352817755399872,-0.017024114385611466,0.04517326732673266,0.014495200821387555,-0.008551726837062845,0.1134846375152998,0.012534308235615854,0.08110770537428846,0.035581235894066254,-0.03237693214101134,0.0230469276584504
00213,0.5659121171770972,0.7132018209408194,0.7518443144238107,0.7817622950819673,0.6736602052451539,0.7650013217023526,0.8205689277899344,0.807205452775073,0.60828025477707,0.6847222222222222,0.7425189816882537,0.7947439963751699,0.7032337290216947,0.7504244482173175,0.1472897037637222,0.02991798065815654,0.09134111645719867,-0.013363475014861348,0.07644196744515219,0.052225014686916205,0.04719071919562279,0.1469087225447805,0.03928525266655902,0.042204131072720474,0.04431954815785244,-0.10470459147206002,0.005034295491293417
00230,0.3871308016877637,0.48218417399352154,0.7672636473221973,0.7556454330974048,0.6657404380516508,0.6821705426356589,0.7491486946651532,0.7706708268330733,0.37424547283702214,0.3908685968819599,0.7170860152135752,0.7211769698684397,0.7106682649086006,0.7057471264367816,0.09505337230575783,-0.011618214224792478,0.016430104584008065,0.021522132167920094,0.016623124044937765,0.0040909546548645315,-0.004921138471818964,0.08340825661350237,0.006417750304974601,0.0885002841974144,0.015429843431658097,0.005092027583912029,0.009012093126683496
00256,0.45298833819241985,0.5372535917139993,0.7651310717039321,0.7768973747016706,0.6928513403736799,0.720423574342505,0.807901413555636,0.8096272167933406,0.4480946123521682,0.4808868501529052,0.741571110730789,0.764113238967527,0.7159187129551228,0.7296572529958938,0.08426525352157949,0.01176630299773851,0.027572233968825133,0.0017258032377045485,0.032792237800737034,0.022542128236738068,0.013738540040771019,0.11505007318195615,0.02565239777566619,0.08920364245083556,0.03445598597163324,-0.025846430731120584,0.00880358819596705
00272,0.5036593479707252,0.5800112296462662,0.7948021371004256,0.7871538731160183,0.7204641350210971,0.7257518796992481,0.7997068881289692,0.8116942909760589,0.4096774193548387,0.44990892531876137,0.7634558709477276,0.7675303762260284,0.7561895392687326,0.7502357749135492,0.07635188167554097,-0.007648263984407322,0.005287744678151074,0.011987402847089768,0.040231505963922665,0.004074505278300777,-0.005953764355183355,0.0792427531078721,0.007266331678995042,0.08594241127681079,0.017294601312479174,0.006699658168938694,0.010028269633484133
00299,0.37912530185135496,0.4741613780598368,0.7279773103816236,0.7237329869848743,0.6362981399004454,0.6526344563657487,0.7707588398887565,0.7691620966713429,0.3343319352905932,0.3616587355540449,0.6992863427510021,0.7084961846268379,0.6902012711864407,0.6848115912864114,0.09503607620848187,-0.004244323396749294,0.016336316465303313,-0.0015967432174135432,0.02732680026345169,0.009209841875835845,-0.005389679900029254,0.13446069998831112,0.009085071564561398,0.11652764030559426,0.023684593340426496,-0.017933059682716856,0.014599521775865099
00310,0.3737693389592124,0.5587719298245614,0.7786461464470362,0.796994844712687,0.6694683346364347,0.7417434939899639,0.8369734789391575,0.8213856627953544,0.3484276729559748,0.4785276073619632,0.7306156755620928,0.7801151461470328,0.7089357429718876,0.7543150535285121,0.18500259086534898,0.018348698265650776,0.07227515935352913,-0.015587816143803113,0.13009993440598838,0.049499470584939975,0.045379310556624586,0.16750514430272279,0.021679932590205286,0.07964216880539055,0.025800092618520676,-0.08786297549733224,0.004120160028315389
