pair_id,cod_classe,cod_assunto,classe,assunto,n_2020,n_2024,n_total,family_micro,fam_subst13,fam_subst11,fam_theme9,fam_theme7,fam_triad3,fam_fine8,fam_fine7,fam_fine7_archive,fam_fine7_literal
1849,11532,11618,REGISTRO DE CANDIDATURA,Registro de Candidatura - RRC - Candidato,542211,451833,994044,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1648,12193,11638,PRESTAÇÃO DE CONTAS ELEITORAIS,Cargo - Vereador,503296,409874,913170,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1660,12193,11767,PRESTAÇÃO DE CONTAS ELEITORAIS,Partido Político - Órgão de Direção Municipal,64081,58085,122166,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1847,11532,12044,REGISTRO DE CANDIDATURA,Registro de Candidatura - DRAP Partido/Coligação,61458,56184,117642,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
457,12550,12566,COMPOSIÇÃO DE MESA RECEPTORA,Ausência ou Abandono aos Trabalhos Eleitorais,22331,14470,36801,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1647,12193,11633,PRESTAÇÃO DE CONTAS ELEITORAIS,Cargo - Prefeito,18009,13796,31805,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
535,156,12366,CUMPRIMENTO DE SENTENÇA,Execução - Cumprimento de Sentença,6591,17488,24079,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1662,12193,12046,PRESTAÇÃO DE CONTAS ELEITORAIS,Prestação de Contas - De Candidato,7384,6261,13645,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1848,11532,11617,REGISTRO DE CANDIDATURA,Registro de Candidatura - Preenchimento de Vaga Remanescente,7070,4159,11229,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1938,11541,11667,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,5195,5581,10776,prop_timing,prop_timing,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
523,156,11638,CUMPRIMENTO DE SENTENÇA,Cargo - Vereador,2925,7230,10155,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1937,11541,12635,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,3473,5143,8616,content_disinfo,content_disinfo,content_disinfo,content_disinfo,content_disinfo,information_env,content_disinfo,propaganda,propaganda,propaganda
1852,11532,11621,REGISTRO DE CANDIDATURA,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,3805,4260,8065,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1833,11532,11616,REGISTRO DE CANDIDATURA,Impugnação ao Registro de Candidatura,4807,3098,7905,candidacy_challenge,candidacy_challenge,candidacy_challenge,candidacy,candidacy,strategic_attack,eligibility,eligibility,eligibility,eligibility
20,11530,11714,APURAÇÃO DE ELEIÇÃO,Apuração/Totalização de Votos,4025,3730,7755,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1946,11541,11679,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Internet,3657,3199,6856,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1913,11541,11649,REPRESENTAÇÃO,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,2952,3849,6801,electoral_polls,electoral_polls,electoral_polls,electoral_polls,electoral_polls,information_env,pesquisa,pesquisa,pesquisa,pesquisa
1951,11541,12637,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Redes Sociais,3408,3018,6426,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
816,12554,12586,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Lista Especial,4845,1332,6177,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1850,11532,11619,REGISTRO DE CANDIDATURA,Registro de Candidatura - RRCI - Candidato Individual,3772,1827,5599,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2228,12633,11638,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Cargo - Vereador,4670,832,5502,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
814,12554,11757,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Coexistência,2186,2922,5108,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
123,11527,11718,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Abuso - De Poder Econômico,2427,2365,4792,abuse_economic,abuse_economic,abuse_economic,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,abuse
2235,12633,11767,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Partido Político - Órgão de Direção Municipal,3253,1320,4573,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
813,12554,11756,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Cancelamento,2588,1820,4408,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1920,11541,11654,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,1975,1624,3599,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1665,12193,12069,PRESTAÇÃO DE CONTAS ELEITORAIS,Prestação de Contas - de Partido Político,2285,1254,3539,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2243,12633,12598,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Requerimento de Regularização da Situação de Inadimplência de Prestação de Contas,3102,410,3512,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1879,11541,11633,REPRESENTAÇÃO,Cargo - Prefeito,2661,841,3502,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
124,11527,11719,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Abuso - De Poder Político/Autoridade,1661,1721,3382,abuse_political,abuse_political,abuse_political,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,abuse
1653,12193,11698,PRESTAÇÃO DE CONTAS ELEITORAIS,Contas - Não Apresentação das Contas,2315,950,3265,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1194,12561,11679,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Internet,2897,277,3174,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1171,12561,11655,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,1725,1424,3149,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1915,11541,11651,REPRESENTAÇÃO,Pesquisa Eleitoral - Registro de Pesquisa Eleitoral,1324,1810,3134,electoral_polls,electoral_polls,electoral_polls,electoral_polls,electoral_polls,information_env,pesquisa,pesquisa,pesquisa,pesquisa
2197,12630,11700,REPRESENTAÇÃO ESPECIAL,Doação de Recursos Acima do Limite Legal - Pessoa Física,1253,1671,2924,campaign_finance,campaign_finance,campaign_finance,campaign_finance,campaign_finance,strategic_attack,abuse,abuse,abuse,drop
1939,11541,11668,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,1206,1692,2898,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
2288,14208,11698,SUSPENSÃO DE ÓRGÃO PARTIDÁRIO,Contas - Não Apresentação das Contas,1130,1638,2768,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2291,14208,11767,SUSPENSÃO DE ÓRGÃO PARTIDÁRIO,Partido Político - Órgão de Direção Municipal,1382,1365,2747,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1614,241,11778,PETIÇÃO CÍVEL,Requerimento,1680,1062,2742,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
620,12625,12635,DIREITO DE RESPOSTA,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,1143,1586,2729,content_disinfo,content_disinfo,content_disinfo,content_disinfo,content_disinfo,information_env,content_disinfo,propaganda,propaganda,propaganda
1914,11541,11650,REPRESENTAÇÃO,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Sem Prévio Registro,1354,1339,2693,electoral_polls,electoral_polls,electoral_polls,electoral_polls,electoral_polls,information_env,pesquisa,pesquisa,pesquisa,pesquisa
1100,12560,10741,LISTA DE APOIAMENTO PARA CRIAÇÃO DE PARTIDO POLÍTICO,Criação do Partido Político,2340,343,2683,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1646,12193,12601,PRESTAÇÃO DE CONTAS ELEITORAIS,Candidato Não-Eleito,1521,1118,2639,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1922,11541,11655,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,1256,1249,2505,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1808,12557,12055,RECURSO/IMPUGNAÇÃO DE ALISTAMENTO ELEITORAL,Impugnação - Transferência de Domicílio Eleitoral,596,1805,2401,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1919,11541,11653,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Adesivo,1285,923,2208,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
129,11527,12597,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Candidatura Fictícia,740,1440,2180,candidatura_ficticia,candidatura_ficticia,candidatura_ficticia,candidacy,candidacy,strategic_attack,eligibility,eligibility,drop,abuse
821,12554,12585,FILIAÇÃO PARTIDÁRIA,Reversão de Desfiliação,1098,898,1996,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1925,11541,11658,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Bem Público,915,1074,1989,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1930,11541,11662,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,1324,600,1924,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1921,11541,12639,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Aplicativo de Mensagem Instantânea,991,900,1891,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1615,241,12599,PETIÇÃO CÍVEL,Requerimento de Acesso ao Sistema Interno de Controle e Dados de Pesquisas Eleitorais,773,1107,1880,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1616,241,12598,PETIÇÃO CÍVEL,Requerimento de Regularização da Situação de Inadimplência de Prestação de Contas,1607,166,1773,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1168,12561,11653,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Adesivo,1182,541,1723,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
2194,12630,12063,REPRESENTAÇÃO ESPECIAL,Conduta Vedada ao Agente Público,544,1133,1677,abuse_political,abuse_political,abuse_political,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,abuse
1186,12561,11667,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,1474,172,1646,prop_timing,prop_timing,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1797,12557,11576,RECURSO/IMPUGNAÇÃO DE ALISTAMENTO ELEITORAL,Alistamento Eleitoral - Domicílio Eleitoral,686,935,1621,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1402,241,12362,PETIÇÃO CÍVEL,Autorização de Divulgação de Publicidade Institucional,581,1008,1589,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
460,12550,11642,COMPOSIÇÃO DE MESA RECEPTORA,Eleições - 1° Turno,842,734,1576,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1169,12561,11654,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,1093,470,1563,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1949,11541,11681,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Outdoors,677,837,1514,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1944,11541,12638,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Impulsionamento,790,724,1514,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
376,261,11783,CARTA PRECATÓRIA CÍVEL,Citação,524,985,1509,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2241,12633,12725,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Regularização de Contas Eleitorais,1381,125,1506,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1941,11541,11671,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Inserções de Propaganda,852,628,1480,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1199,12561,12637,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Redes Sociais,903,569,1472,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
522,156,11633,CUMPRIMENTO DE SENTENÇA,Cargo - Prefeito,565,893,1458,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
151,11527,11596,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Inelegibilidade - Abuso do Poder Econômico ou Político,638,772,1410,abuse_economic,abuse_economic,abuse_economic,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,eligibility
924,279,11501,INQUÉRITO POLICIAL,Corrupção Eleitoral,588,699,1287,crime_vote,crime_vote,crime_vote,crime_vote,criminal,criminal,vote_crime,vote_crime,vote_crime,vote_crime
1174,12561,11658,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Bem Público,702,530,1232,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1890,11541,11593,REPRESENTAÇÃO,Direito de Resposta,717,444,1161,content_disinfo,content_disinfo,content_disinfo,content_disinfo,content_disinfo,information_env,reply,reply,reply,reply
2307,278,11513,TERMO CIRCUNSTANCIADO,Arregimentação de Eleitor ou Boca de Urna,827,292,1119,crime_vote,crime_vote,crime_vote,crime_vote,criminal,criminal,vote_crime,vote_crime,vote_crime,vote_crime
1931,11541,11663,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Conduta Vedada a Emissora de Rádio/Televisão na Programação Normal,674,432,1106,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1142,12561,11633,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Cargo - Prefeito,946,141,1087,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1948,11541,11680,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,411,626,1037,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1172,12561,11656,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Bem Particular,561,474,1035,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1957,11541,11723,REPRESENTAÇÃO,Propaganda Política - Propaganda Institucional,607,420,1027,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,abuse
1923,11541,11656,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Bem Particular,492,496,988,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1945,11541,11678,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Inobservância do Limite Legal,697,275,972,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
468,12550,12568,COMPOSIÇÃO DE MESA RECEPTORA,Pedido de Dispensa de Convocação para Trabalhos Eleitorais,514,432,946,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
815,12554,11758,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Exclusão,669,274,943,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
598,12625,11633,DIREITO DE RESPOSTA,Cargo - Prefeito,445,496,941,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
629,12625,11679,DIREITO DE RESPOSTA,Propaganda Política - Propaganda Eleitoral - Internet,421,512,933,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1896,11541,11642,REPRESENTAÇÃO,Eleições - 1° Turno,675,258,933,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1918,11541,11652,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral,40,886,926,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1906,11541,11596,REPRESENTAÇÃO,Inelegibilidade - Abuso do Poder Econômico ou Político,556,361,917,abuse_economic,abuse_economic,abuse_economic,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,eligibility
1955,11541,11675,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Televisão,493,401,894,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1645,12193,12600,PRESTAÇÃO DE CONTAS ELEITORAIS,Candidato Eleito,653,216,869,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1603,241,11618,PETIÇÃO CÍVEL,Registro de Candidatura - RRC - Candidato,616,250,866,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1928,11541,15016,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Carreata/Caminhada/Passeata,7,850,857,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1932,11541,11664,REPRESENTAÇÃO,"Propaganda Política - Propaganda Eleitoral - Confecção, Utilização ou Distribuição de Brinde",422,431,853,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1181,12561,11664,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,"Propaganda Política - Propaganda Eleitoral - Confecção, Utilização ou Distribuição de Brinde",670,162,832,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1299,12562,12360,PET-ADM,Matéria Administrativa,799,0,799,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
978,279,11473,INQUÉRITO POLICIAL,Falsidade Ideológica,512,274,786,crime_speech,crime_speech,crime_speech,crime_speech,criminal,criminal,speech_crime,speech_crime,speech_crime,vote_crime
1880,11541,11638,REPRESENTAÇÃO,Cargo - Vereador,556,227,783,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1764,1298,12360,PROCESSO ADMINISTRATIVO,Matéria Administrativa,341,433,774,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1924,11541,11657,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum,409,364,773,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1187,12561,11668,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,520,226,746,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
125,11527,11720,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Abuso - Uso Indevido de Meio de Comunicação Social,323,405,728,abuse_political,abuse_political,abuse_political,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,abuse
1167,12561,11652,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral,412,315,727,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1416,241,11638,PETIÇÃO CÍVEL,Cargo - Vereador,546,176,722,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1952,11541,11673,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Rádio,354,366,720,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
908,279,10751,INQUÉRITO POLICIAL,Captação ilícita de votos ou corrupção eleitoral,290,417,707,crime_vote,crime_vote,crime_vote,crime_vote,criminal,criminal,vote_crime,vote_crime,vote_crime,vote_crime
1576,241,11670,PETIÇÃO CÍVEL,Propaganda Política - Propaganda Eleitoral - Distribuição de Tempo de Propaganda,144,560,704,drop,drop,drop,drop,drop,drop,drop,drop,drop,propaganda
2002,272,11484,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Calúnia na Propaganda Eleitoral,414,284,698,crime_speech,crime_speech,crime_speech,crime_speech,criminal,criminal,speech_crime,speech_crime,speech_crime,speech_crime
1173,12561,11657,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum,369,268,637,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
383,261,11778,CARTA PRECATÓRIA CÍVEL,Requerimento,357,278,635,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1145,12561,11638,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Cargo - Vereador,567,60,627,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
380,261,11782,CARTA PRECATÓRIA CÍVEL,Intimação,290,331,621,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1966,11541,11778,REPRESENTAÇÃO,Requerimento,460,159,619,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
634,12625,12637,DIREITO DE RESPOSTA,Propaganda Política - Propaganda Eleitoral - Redes Sociais,244,363,607,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1444,241,11753,PETIÇÃO CÍVEL,Convenção Partidária,393,205,598,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1118,120,12592,MANDADO DE SEGURANÇA CÍVEL,Direito Líquido e Certo,352,228,580,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1991,272,11513,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Arregimentação de Eleitor ou Boca de Urna,274,299,573,crime_vote,crime_vote,crime_vote,crime_vote,criminal,criminal,vote_crime,vote_crime,vote_crime,vote_crime
316,12549,11575,CANCELAMENTO DE INSCRIÇÃO ELEITORAL (CIE),Alistamento Eleitoral - Cancelamento,155,397,552,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
637,12625,11675,DIREITO DE RESPOSTA,Propaganda Política - Propaganda Eleitoral - Televisão,302,230,532,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
624,12625,11671,DIREITO DE RESPOSTA,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Inserções de Propaganda,279,245,524,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
205,11528,11501,AÇÃO PENAL ELEITORAL,Corrupção Eleitoral,353,170,523,crime_vote,crime_vote,crime_vote,crime_vote,criminal,criminal,vote_crime,vote_crime,vote_crime,vote_crime
1468,241,11642,PETIÇÃO CÍVEL,Eleições - 1° Turno,294,227,521,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2312,278,10755,TERMO CIRCUNSTANCIADO,Boca de urna,166,330,496,crime_vote,crime_vote,crime_vote,crime_vote,criminal,criminal,vote_crime,vote_crime,vote_crime,drop
1571,241,11662,PETIÇÃO CÍVEL,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,274,221,495,drop,drop,drop,drop,drop,drop,drop,drop,drop,propaganda
1436,241,11592,PETIÇÃO CÍVEL,Condição de Elegibilidade - Quitação Eleitoral,326,164,490,drop,drop,drop,drop,drop,drop,drop,drop,drop,eligibility
2190,12630,12062,REPRESENTAÇÃO ESPECIAL,Captação ou Gasto Ilícito de Recursos Financeiros de Campanha Eleitoral,347,135,482,campaign_finance,campaign_finance,campaign_finance,campaign_finance,campaign_finance,strategic_attack,abuse,abuse,abuse,abuse
1008,279,11438,INQUÉRITO POLICIAL,Inscrição Fraudulenta,160,321,481,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
1942,11541,11672,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Programa em Bloco,293,180,473,prop_regulatory,prop_regulatory,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
549,156,12046,CUMPRIMENTO DE SENTENÇA,Prestação de Contas - De Candidato,229,242,471,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1554,241,11651,PETIÇÃO CÍVEL,Pesquisa Eleitoral - Registro de Pesquisa Eleitoral,178,291,469,drop,drop,drop,drop,drop,drop,drop,drop,drop,pesquisa
1409,241,12363,PETIÇÃO CÍVEL,Cancelamento de Registro de Candidatura,313,152,465,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
