pair_id,cod_classe,cod_assunto,classe,assunto,n_2020,n_2024,n_total,family_micro,fam_subst13,fam_subst11,fam_theme9,fam_theme7,fam_triad3,fam_fine8,fam_fine7,fam_fine7_archive,fam_fine7_literal
779,12729,10822,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Publicação de pesquisa irregular,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2142,272,12637,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Propaganda Política - Propaganda Eleitoral - Redes Sociais,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,propaganda
778,12729,12340,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Provocação de tumulto ou conduta inconveniente,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
775,12729,12347,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Perturbação do trabalho ou do sossego alheios,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
774,12729,11445,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,"Ocultação, Sonegação ou Recusa de Fornecimento de Utilidades, Alimentos e Transporte no Dia da Eleição",0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
773,12729,11476,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Obtenção de Documento Falso para Fins Eleitorais,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2147,272,12542,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Real,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2148,272,11492,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Realização de Propaganda Eleitoral em Língua Estrangeira,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,speech_crime
772,12729,11447,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Não-Apresentação de Denúncia ou Não Execução de Sentença Penal Condenatória no Prazo Legal,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
771,12729,11523,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Não-Acesso dos Partidos aos Dados Relativos às Pesquisas Eleitorais,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
796,1116,11718,EXECUÇÃO FISCAL,Abuso - De Poder Econômico,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,abuse
801,1116,,EXECUÇÃO FISCAL,NI,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2126,272,11649,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,pesquisa
2125,272,11442,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Perturbação ou Impedimento de Alistamento,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
833,307,,HABEAS CORPUS CRIMINAL,Crimes de Abuso de Autoridade,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
832,307,11437,HABEAS CORPUS CRIMINAL,Crimes contra o Serviço da Justiça Eleitoral,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1726,1733,11488,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),Injúria Eleitoral Violenta,1,0,1,crime_speech,crime_speech,crime_speech,crime_speech,criminal,criminal,speech_crime,speech_crime,speech_crime,speech_crime
2106,272,11431,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Intervenção Indevida de Autoridade Junto à Mesa Receptora,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
829,307,11435,HABEAS CORPUS CRIMINAL,Contagem de Votos de Eleitores em Relação aos quais Houve Impugnação,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
827,307,12965,HABEAS CORPUS CRIMINAL,Conflito de Competência,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
826,307,11504,HABEAS CORPUS CRIMINAL,Concentração de Eleitores para Embaraçar ou Fraudar o Exercício do Voto,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,vote_crime
825,307,12612,HABEAS CORPUS CRIMINAL,COVID-19,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2112,272,11450,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Não Cumprimento dos Deveres Impostos pelo Código Eleitoral à Autoridade Judiciária e aos Funcionários da Justiça Eleitoral,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
824,307,3402,HABEAS CORPUS CRIMINAL,Ameaça,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
819,12554,12046,FILIAÇÃO PARTIDÁRIA,Prestação de Contas - De Candidato,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1385,241,11717,PETIÇÃO CÍVEL,Abuso,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,abuse
812,12554,11727,FILIAÇÃO PARTIDÁRIA,Direitos Políticos - Restabelecimento dos Direitos Políticos,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2117,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Origem,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
809,12554,11736,FILIAÇÃO PARTIDÁRIA,Cautelar Inominada - De Produção Antecipada de Provas,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
803,1116,11778,EXECUÇÃO FISCAL,Requerimento,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2120,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Perda de Bens e Valores,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2121,272,5911,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Perigo de Contágio Venéreo,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2122,272,3389,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Perigo de contágio de moléstia grave,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
802,1116,12635,EXECUÇÃO FISCAL,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,propaganda
1643,12193,,PRESTAÇÃO DE CONTAS ELEITORAIS,Ausência ou Irregularidade no CNPJ,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1723,1733,11439,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),Induzimento à Inscrição de Eleitor em Infração às Normas Legais,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
768,12729,3386,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Leve,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2153,272,11498,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Retenção de Título Eleitoral ou do Comprovante de Alistamento Eleitoral,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,vote_crime
1718,1733,,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),Fraude processual,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
727,12729,,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,"Crimes Cometidos por Meio de Marca, Título de Estabelecimento e Sinal de Propaganda",0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,propaganda
722,12729,3535,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Certidão ou atestado ideologicamente falso,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
721,12729,11480,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Cerceamento da Fiscalização Partidária,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
720,12729,11638,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Cargo - Vereador,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2184,12630,12362,REPRESENTAÇÃO ESPECIAL,Autorização de Divulgação de Publicidade Institucional,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
715,12729,14685,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Associação Criminosa,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1410,241,12601,PETIÇÃO CÍVEL,Candidato Não-Eleito,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1413,241,11629,PETIÇÃO CÍVEL,Cargo - Deputado Distrital,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
710,12729,,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Apologia de Crime ou Criminoso,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
708,12729,3402,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Ameaça,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
705,386,11508,EXECUÇÃO DA PENA,Violação do Sigilo do Voto,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,vote_crime
703,386,,EXECUÇÃO DA PENA,Suspensão condicional da pena,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
702,386,12732,EXECUÇÃO DA PENA,Suspensão Condicional de Processo,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
701,386,,EXECUÇÃO DA PENA,Substituição da Pena,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1418,241,11641,PETIÇÃO CÍVEL,Cargo - Vice-Presidente da República,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
699,386,11449,EXECUÇÃO DA PENA,Recusa ou Abandono do Serviço Eleitoral,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
698,386,11654,EXECUÇÃO DA PENA,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,propaganda
1790,426,3397,RECURSO EM SENTIDO ESTRITO,Injúria,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,speech_crime
696,386,,EXECUÇÃO DA PENA,Prestação de Serviços à Comunidade,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2200,12630,11643,REPRESENTAÇÃO ESPECIAL,Eleições - 2° Turno,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2201,12630,11645,REPRESENTAÇÃO ESPECIAL,Eleições - Eleição Majoritária,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
730,12729,11437,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Crimes contra o Serviço da Justiça Eleitoral,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2177,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Violência ou fraude em arrematação judicial,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2154,272,11515,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Retenção de Título ou Comprovante de Alistamento Eleitoral,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,vote_crime
1719,1733,3416,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),Furto,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
767,12729,11524,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Irregularidades dos Dados Publicados em Pesquisas Eleitorais,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
763,12729,11488,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Injúria Eleitoral Violenta,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,speech_crime
761,12729,5869,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Incitação ao Crime,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2158,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Tráfico de influência,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
759,12729,11490,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Impedimento do Exercício da Propaganda,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,speech_crime
758,12729,3417,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Furto Qualificado,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
757,12729,,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Fornecimento de Cédula Eleitoral Rubricada a Destempo,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
754,12729,3532,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Falsificação de documento particular,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
753,12729,10995,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Falsidade ideológica praticada por Funcionário Público,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,vote_crime
1395,241,15308,PETIÇÃO CÍVEL,Alistamento Eleitoral - Registro no BPSPD - Duplicidade/Pluralidade,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
750,12729,11436,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,"Fabricação, Aquisição, Fornecimento, Subtração ou Guarda de Materiais de Uso da Justiça Eleitoral",1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2166,272,12345,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Vias de fato,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2167,272,3410,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,"Violação de comunicação telegráfica, radioelétrica ou telefônica",0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2168,272,3408,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Violação de correspondência,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
1406,241,10755,PETIÇÃO CÍVEL,Boca de urna,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
744,12729,11726,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Direitos Políticos - Perda dos Direitos Políticos,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
741,12729,10754,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Desobediência à determinações da Justiça Eleitoral,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2172,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Violação do sigilo funcional,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
739,12729,3572,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Desobediência,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1720,1733,,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),Homicídio Qualificado,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
735,12729,3576,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,Denunciação caluniosa,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
834,307,,HABEAS CORPUS CRIMINAL,Descumprimento de determinação de sigilo,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
835,307,3396,HABEAS CORPUS CRIMINAL,Difamação,0,1,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,speech_crime
836,307,11514,HABEAS CORPUS CRIMINAL,Divulgação de Propaganda Eleitoral no Dia da Eleição,1,0,1,drop,drop,drop,drop,drop,drop,drop,drop,drop,vote_crime
2023,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Crime de Descumprimento de Medida Protetiva  de Urgência,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2025,272,,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Crimes Eleitorais,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2026,272,3637,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Crimes Previstos no Estatuto da criança e do adolescente,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2027,272,3613,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Crimes Resultante de Preconceito de Raça ou de Cor,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
939,279,,INQUÉRITO POLICIAL,"Crimes contra a Segurança Nacional, a Ordem Política e Social",1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
936,279,,INQUÉRITO POLICIAL,Crimes contra a Ordem Tributária,1,0,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
934,279,3637,INQUÉRITO POLICIAL,Crimes Previstos no Estatuto da criança e do adolescente,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2031,272,5880,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Crimes contra as Marcas,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
2032,272,3629,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,Crimes contra as Telecomunicações,0,1,1,crime_other,crime_other,crime_other,crime_other,criminal,criminal,vote_crime,vote_crime,drop,drop
