state,municipality_id_tse,municipality_name,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020
AC,01104,JORDÃO,0.20000000000000004,0.3333333333333333,4.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,0.0,0.0,36.33401779603012,40.224503764544835,1.0,1.0,0.4,0.3333333333333333,0.6,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.6,0.3333333333333333,45.52388774811773,48.351357517681954,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,5.0,3.0,10.405193649991073,7.9732327528031846,5.0,3.0,-2.0,-0.06666666666666671,0.13333333333333328,-1.9999999999999991
AC,01112,EPITACIOLÂNDIA,0.25,0.3333333333333333,4.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,43.945242984257355,47.83572895277207,0.0,0.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.75,0.0,46.71663244353182,45.252110426648414,0.0,1.0,0.0,0.3333333333333333,0.75,0.6666666666666666,4.0,3.0,9.321806434411435,4.434711794106407,4.0,3.0,-1.0,-0.25,0.08333333333333331,-1.0
AC,01120,ACRELÂNDIA,0.25,0.5,4.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,51.123887748117724,55.01437371663244,1.0,0.0,0.25,0.0,0.25,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.75,1.0,45.629021218343595,52.32443531827515,0.0,1.0,0.0,0.5,0.75,0.5,4.0,2.0,11.712303590859815,3.8041473649050355,4.0,2.0,-2.0,-0.25,0.25,-2.0
AC,01139,FEIJÓ,0.25,0.25,3.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,52.16427104722793,41.3388090349076,0.0,1.0,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,54.50444900752909,50.84052019164956,0.0,4.0,0.0,1.0,0.25,0.75,4.0,4.0,14.455830615343574,11.335012081326804,4.0,4.0,0.0,0.25,0.0,0.0
AC,01392,RIO BRANCO,0.14285714285714285,0.25,7.0,3.0,7.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,67.53456536618754,71.3867214236824,1.0,1.0,0.14285714285714285,0.0,1.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.7142857142857143,0.5,51.174342426909156,50.09445585215606,0.0,3.0,0.0,0.75,0.5714285714285714,0.5,7.0,4.0,8.605269998404834,15.303533987196854,7.0,4.0,-3.0,-0.14285714285714285,0.10714285714285715,-3.0
AC,01457,SENA MADUREIRA,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,51.31553730321698,50.496919917864474,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,48.96098562628337,49.609856262833674,0.0,1.0,0.0,0.5,0.5,0.5,2.0,2.0,3.329838914827826,1.254497451632807,2.0,2.0,0.0,0.0,0.0,0.0
AC,01473,TARAUACÁ,0.16666666666666669,0.3333333333333333,5.0,3.0,5.999999999999999,3.0,1.0,1.0,1.0,0.0,1.0,1.0,38.80355920602327,40.73100616016427,1.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,47.926534337211955,43.39584759297285,0.0,2.0,0.0,0.6666666666666666,1.0,0.6666666666666666,6.0,3.0,8.635010793323259,3.0763775221556884,6.0,3.0,-3.0,0.16666666666666666,0.16666666666666663,-2.999999999999999
AC,01490,XAPURI,0.25,0.3333333333333333,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,56.12320328542094,38.97604380561259,1.0,1.0,0.25,0.0,0.75,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,43.629705681040384,53.22108145106091,0.0,3.0,0.0,1.0,0.5,1.0,4.0,3.0,9.762789809341918,15.211504147429135,4.0,3.0,-1.0,-0.25,0.08333333333333331,-1.0
AC,01511,PLÁCIDO DE CASTRO,0.25,0.3333333333333333,4.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,55.54551676933607,59.436002737850785,0.0,1.0,0.25,0.0,0.5,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.75,1.0,57.67898699520876,61.74127310061601,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,4.0,3.0,5.752521118337625,6.9880330903885595,4.0,3.0,-1.0,-0.25,0.08333333333333331,-1.0
AC,01538,SENADOR GUIOMARD,0.20000000000000004,0.20000000000000004,4.0,4.0,4.999999999999999,4.999999999999999,1.0,1.0,1.0,1.0,0.0,1.0,41.39356605065024,45.28405201916495,1.0,1.0,0.4,0.2,0.6,0.6,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.8,0.6,43.69281314168378,51.262422997946615,0.0,3.0,0.0,0.6,0.8,0.8,5.0,5.0,3.57308325037036,8.232433374940232,5.0,5.0,0.0,-0.2,0.0,0.0
