state,municipality_id_tse,municipality_name,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020,effective_n_candidates_vote_2020,effective_n_candidates_vote_2024,effective_n_parties_vote_2020,effective_n_parties_vote_2024,female_vote_share_2020,female_vote_share_2024,higher_education_vote_share_2020,higher_education_vote_share_2024,incumbent_candidate_vote_share_2020,incumbent_candidate_vote_share_2024,margin_top1_top2_2020,margin_top1_top2_2024,n_candidates_with_votes_2020,n_candidates_with_votes_2024,new_candidate_vote_share_2020,new_candidate_vote_share_2024,nonwhite_vote_share_2020,nonwhite_vote_share_2024,others_vote_share_2020,others_vote_share_2024,runnerup_vote_share_2020,runnerup_vote_share_2024,top2_vote_share_2020,top2_vote_share_2024,total_valid_votes_2020,total_valid_votes_2024,vote_hhi_candidate_2020,vote_hhi_candidate_2024,vote_hhi_party_2020,vote_hhi_party_2024,winner_is_female_2020,winner_is_female_2024,winner_is_new_vs_2020_2020,winner_is_new_vs_2020_2024,winner_majority_2020,winner_majority_2024,winner_vote_share_2020,winner_vote_share_2024,delta_winner_vote_share_2024_2020,delta_runnerup_vote_share_2024_2020,delta_margin_top1_top2_2024_2020,delta_top2_vote_share_2024_2020,delta_others_vote_share_2024_2020,delta_winner_majority_2024_2020,delta_vote_hhi_candidate_2024_2020,delta_effective_n_candidates_vote_2024_2020,delta_vote_hhi_party_2024_2020,delta_effective_n_parties_vote_2024_2020,delta_female_vote_share_2024_2020,delta_nonwhite_vote_share_2024_2020,delta_higher_education_vote_share_2024_2020,delta_new_candidate_vote_share_2024_2020,delta_incumbent_candidate_vote_share_2024_2020,delta_winner_is_female_2024_2020,delta_winner_is_new_vs_2020_2024_2020,delta_total_valid_votes_2024_2020,delta_log_total_valid_votes_2024_2020,delta_log1p_n_candidates_with_votes_2024_2020
AC,01007,BUJARI,0.0848520710059171,0.106544077879935,1.0,2.0,11.785216178521614,9.385786802030458,9.0,9.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,42.927370902730246,45.09787816563997,0.8888888888888888,0.8888888888888888,0.3692307692307692,0.3488372093023256,0.1615384615384615,0.2093023255813953,0.0,6.0,0.0,0.0697674418604651,0.0,4.0,0.0,0.4444444444444444,0.4384615384615384,0.4767441860465116,41.70563891960196,43.9100011142416,0.0,60.0,0.0,0.6976744186046512,0.8846153846153846,0.872093023255814,12.0,10.0,10.665815137160406,9.638685885220546,130.0,86.0,-44.0,-0.0203935599284436,0.0216920068740179,-2.399429376491156,60.24984218054545,43.96412497717728,9.347264154452025,7.684008350430894,0.2911091287540886,0.2619047619047619,0.2369907820398454,0.26953748006379585,0.15075825156110614,0.18455228981544772,0.0011894142134998564,0.00854408749145591,122.0,81.0,0.6290514421647339,0.5432900432900433,0.8250074338388343,0.8942811574390521,0.9256616116562593,0.9121667805878332,0.036574487065120426,0.039644565960355434,0.07433838834374071,0.08783321941216678,6726.0,8778.0,0.016597553849243076,0.022745818335270437,0.10698317534160069,0.13014041036849255,0.0,0.0,1.0,0.0,0.0,0.0,0.03776390127862028,0.04818865345181134,0.010424752173191061,0.003070078895235008,0.007354673277956053,0.01349483106842607,-0.013494831068426083,0.0,0.006148264486027361,-16.285717203368172,0.023157235026891862,-1.6632558040211318,-0.0292043668493267,0.06927372360021777,0.032546698023950466,-0.08576139887469059,0.033794038254341574,0.0,-1.0,2052.0,0.2662332269006029,-0.4054651081081637
AC,01015,CAPIXABA,0.095784023668639,0.1157779401022644,1.0,1.0,10.44015444015444,8.637223974763407,9.0,9.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444,42.638983953152334,41.04220853296829,0.7777777777777778,0.8888888888888888,0.3846153846153846,0.3243243243243243,0.1923076923076923,0.1756756756756756,0.0,5.0,0.0,0.0675675675675675,0.0,1.0,0.0,0.1111111111111111,0.4230769230769231,0.527027027027027,41.143131680092665,45.17868176184398,0.0,48.0,0.0,0.6486486486486487,0.8461538461538461,0.918918918918919,11.0,9.0,11.2426052810302,11.23257629385764,104.0,74.0,-30.0,-0.0602910602910602,0.0199939164336253,-1.8029304653910323,47.33654290325097,33.80596258841629,7.9181390597356565,6.066287907481757,0.2639729441082236,0.23783454987834549,0.31167675329298683,0.2892335766423358,0.11694553221787113,0.12469586374695864,0.010145959416162337,0.0048661800486618015,96.0,69.0,0.5014239943040227,0.625,0.8825204699181203,0.9373479318734793,0.8980064079743681,0.8813868613138687,0.04592381630473478,0.05687347931873479,0.1019935920256319,0.11861313868613138,5618.0,6576.0,0.021125328101037184,0.029580580567247414,0.12629230081157283,0.16484545660397462,1.0,0.0,0.0,1.0,0.0,0.0,0.056069775720897115,0.061739659367396595,0.0056698836464994795,0.010949663014000015,-0.005279779367500535,0.016619546660499487,-0.016619546660499473,0.0,0.00845525246621023,-13.53058031483468,0.03855315579240179,-1.8518511522538992,-0.026138394229878098,0.054827461955359036,-0.022443176650651042,0.12357600569597726,0.007750331529087509,-1.0,1.0,958.0,0.1574250021891519,-0.32621573645402346
AC,01023,PORTO ACRE,0.0867976820357772,0.092949699010305,1.0,2.0,11.521044992743107,10.758507135016467,9.0,9.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.6666666666666666,39.7803635257434,45.86691003118108,0.8888888888888888,0.8888888888888888,0.3571428571428571,0.3636363636363636,0.2539682539682539,0.2626262626262626,0.0,8.0,0.0,0.0808080808080808,0.0,3.0,0.0,0.3333333333333333,0.4761904761904761,0.4545454545454545,43.61324598285584,44.31974778586689,0.0,75.0,0.0,0.7575757575757576,0.8333333333333334,0.8787878787878788,13.0,11.0,11.094674644411826,11.453868979993429,126.0,99.0,-27.0,0.0064935064935064,0.0061520169745278,-0.7625378577266417,45.29159732943039,36.97296218889806,7.8056578988539576,5.898536537947284,0.21124417831004658,0.23575311239698404,0.4104014193834553,0.40452393477117304,0.12009314703925482,0.25881115202524985,0.0036593479707252158,0.000789058390320882,121.0,96.0,0.5223996451541362,0.5658425390145537,0.8490796185406964,0.8700683850604944,0.8969838101574629,0.8927757320708399,0.049678420935905965,0.053217604769419606,0.10301618984253715,0.1072242679291601,9018.0,11406.0,0.022079150636407384,0.027046791514591488,0.12811219924803802,0.16953357728084945,0.0,0.0,0.0,0.0,0.0,0.0,0.05333776890663118,0.05400666315974049,0.0006688942531093076,0.0035391838335136414,-0.002870289580404334,0.004208078086622949,-0.004208078086622935,0.0,0.004967640878184104,-8.31863514053233,0.04142137803281143,-1.9071213609066735,0.024508934086937467,0.020988766519798085,-0.005877484612282269,0.04344289386041755,0.138718004985995,0.0,0.0,2388.0,0.23489373886219056,-0.22931006622987393
AC,01031,SANTA ROSA DO PURUS,0.1474556213017751,0.1383219954648525,1.0,2.0,6.781701444622792,7.229508196721313,9.0,9.0,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.4444444444444444,44.417370142216136,42.8227241615332,0.6666666666666666,0.3333333333333333,0.3538461538461538,0.3492063492063492,0.1538461538461538,0.2063492063492063,0.0,9.0,0.0,0.1428571428571428,0.0,4.0,0.0,0.4444444444444444,0.1538461538461538,0.1111111111111111,37.69220239035434,40.10968786328129,0.0,46.0,0.0,0.7301587301587301,0.6923076923076923,0.3333333333333333,8.0,9.0,10.043413793993208,9.63653784898488,65.0,63.0,-2.0,-0.0046398046398046,-0.0091336258369225,0.4478067520985211,33.519472454823806,31.52754365302884,5.647969421190265,6.91456964005088,0.22008305020762553,0.24876604146100692,0.3035107587768969,0.27377426785126685,0.13778784446961118,0.2303389272787101,0.014722536806342022,0.008884501480750248,58.0,62.0,0.7270668176670442,0.562685093780849,0.6417516043790109,0.28463310299440603,0.8901472253680635,0.8923988153998026,0.04756511891279728,0.049358341559723594,0.10985277463193657,0.10760118460019744,2649.0,3039.0,0.02983340508558897,0.031718297213551884,0.1770547829540582,0.14462216046068221,0.0,1.0,0.0,0.0,0.0,0.0,0.0622876557191393,0.05824284304047384,-0.004044812678665459,0.0017932226469263152,-0.005838035325591774,-0.002251590031739137,0.002251590031739137,0.0,0.0018848921279629137,-1.9919288017949661,-0.03243262249337597,1.2666002188606154,0.02868299125338139,-0.3571185013846049,-0.029736490925630077,-0.1643817238861952,0.09255108280909893,1.0,0.0,390.0,0.13729787541999894,0.06559728248581287
AC,01040,MARECHAL THAUMATURGO,0.0951576248470369,0.1208304498269896,1.0,2.0,10.508879363135332,8.276059564719358,9.0,11.0,0.1111111111111111,0.1818181818181818,0.4444444444444444,0.3636363636363636,44.28230283671762,47.53755211250077,0.6666666666666666,0.9090909090909092,0.3893129770992366,0.388235294117647,0.2213740458015267,0.2235294117647059,0.0,6.0,0.0,0.0705882352941176,0.0,4.0,0.0,0.3636363636363636,0.2977099236641221,0.4235294117647059,38.85449159051366,39.75678222007489,0.0,59.0,0.0,0.6941176470588235,0.9236641221374046,0.9176470588235294,11.0,9.0,10.436111801108105,11.425423672398267,131.0,85.0,-46.0,-0.0010776829815895,0.0256728249799527,-2.2328197984159743,46.64741053942232,27.239471794827434,8.309356833983871,6.597135398545926,0.15871240367884662,0.24270500532481362,0.25664926671638083,0.3179978700745474,0.17014665672383794,0.20362087326943556,0.017027094208302264,0.02172523961661342,123.0,79.0,0.6702709420830226,0.4712460063897764,0.8289833457618693,0.9456869009584664,0.8977131493910018,0.8323748668796592,0.042629878200348,0.07294994675186368,0.10228685060899825,0.16762513312034077,8046.0,9390.0,0.02143741717784929,0.03671143139383093,0.12034625783672791,0.1515809422708544,0.0,0.0,1.0,1.0,0.0,0.0,0.05965697240865026,0.0946751863684771,0.03501821395982684,0.030320068551515686,0.0046981454083111565,0.06533828251134252,-0.06533828251134255,0.0,0.015274014215981638,-19.407938744594883,0.031234684434126483,-1.7122214354379457,0.083992601645967,0.11670355519659714,0.061348603358166554,-0.19902493569324625,0.033474216545597624,0.0,0.0,1344.0,0.15445243265848063,-0.43825493093115586
AC,01058,BRASILÉIA,0.1018598615916955,0.1082276047673971,1.0,2.0,9.81740976645435,9.239786856127887,11.0,11.0,0.2727272727272727,0.1818181818181818,0.3636363636363636,0.6363636363636364,45.37141434882708,46.31373281065272,0.9090909090909092,0.9090909090909092,0.3676470588235294,0.392156862745098,0.2352941176470588,0.3431372549019608,0.0,8.0,0.0,0.0784313725490196,0.0,4.0,0.0,0.3636363636363636,0.4632352941176471,0.3823529411764705,43.55507911583524,45.65342030035834,0.0,61.0,0.0,0.5980392156862745,0.7941176470588235,0.9019607843137256,11.0,10.0,10.110161396183722,9.27669499257752,136.0,102.0,-34.0,0.0245098039215685,0.0063677431757016,-0.577622910326463,61.20538063640464,47.71289987431096,7.865766497832024,7.012324518682639,0.24072554169402496,0.2924321360021936,0.34988509520682864,0.5257060597751577,0.13747537754432043,0.21627364957499315,0.006155613919894949,0.0032218261584864225,130.0,89.0,0.6161359159553513,0.5085686865917193,0.802445830597505,0.9239786125582671,0.9252298095863427,0.9127364957499314,0.03430728824688115,0.04202083904579106,0.07477019041365726,0.08726350425006854,12184.0,14588.0,0.016338432824077646,0.020958692568137295,0.12713319169538298,0.14260606412834181,0.0,0.0,0.0,0.0,0.0,0.0,0.0404629021667761,0.045242665204277485,0.004779763037501383,0.00771355079890991,-0.0029337877614085267,0.01249331383641128,-0.01249331383641128,0.0,0.004620259744059649,-13.492480762093678,0.015472872432958834,-0.8534419791493857,0.051706594308168624,0.12153278196076212,0.17582096456832907,-0.10756722936363206,0.07879827203067272,0.0,0.0,2404.0,0.1800621330125889,-0.37538765287088616
AC,01066,PORTO WALTER,0.1235302656408767,0.1317722681359045,1.0,2.0,8.0951821386604,7.588850174216027,9.0,9.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,40.37599817476614,42.79869191573504,0.8888888888888888,0.3333333333333333,0.3373493975903614,0.3787878787878788,0.1204819277108433,0.1666666666666666,0.0,9.0,0.0,0.1363636363636363,0.0,5.0,0.0,0.5555555555555556,0.4939759036144578,0.106060606060606,39.747787866043225,41.16582664426608,0.0,46.0,0.0,0.696969696969697,0.8554216867469879,0.4848484848484848,9.0,8.0,10.904482199111502,10.651843592259391,83.0,66.0,-17.0,0.0414384811975173,0.0082420024950277,-0.5063319644443727,32.50470143080734,21.39023378060589,5.313716028473476,4.178074498270925,0.20647149460708783,0.1386018237082067,0.20242681047765793,0.3262917933130699,0.14522342064714946,0.417629179331307,0.02003081664098614,0.009422492401215801,73.0,59.0,0.739406779661017,0.3635258358662614,0.8730739599383667,0.2612462006079027,0.8755778120184899,0.8270516717325228,0.05219568567026194,0.0817629179331307,0.12442218798151003,0.1729483282674772,5192.0,6580.0,0.030764780354272662,0.04675030718489298,0.18819221701752847,0.239344703023808,0.0,0.0,1.0,0.0,0.0,0.0,0.07222650231124808,0.0911854103343465,0.018958908023098422,0.02956723226286876,-0.010608324239770338,0.04852614028596716,-0.048526140285967134,0.0,0.01598552683062032,-11.114467650201448,0.05115248600627953,-1.1356415302025518,-0.06786967089888113,-0.611827759330464,0.12386498283541197,-0.37588094379475556,0.2724057586841575,0.0,-1.0,1388.0,0.23687514461179937,-0.20972053098206977
AC,01074,CRUZEIRO DO SUL,0.0795464852607709,0.0927435701094545,1.0,2.0,12.57126567844926,10.782418649830015,14.0,14.0,0.0,0.1428571428571428,0.2142857142857142,0.4285714285714285,41.68025814021706,44.9699814217268,0.7142857142857143,1.0,0.3285714285714285,0.3691275167785235,0.3,0.4697986577181208,0.0,13.0,0.0,0.087248322147651,0.0,6.0,0.0,0.4285714285714285,0.5523809523809524,0.4630872483221476,44.29684066428906,45.4653014162406,0.0,96.0,0.0,0.6442953020134228,0.7333333333333333,0.8657718120805369,14.0,11.0,11.399730830293535,9.966863951875416,210.0,149.0,-61.0,0.0405560882070949,0.0131970848486835,-1.7888470286192444,78.94000089469823,53.68335129396931,8.463109772061284,6.172876960006808,0.13674502800949143,0.18788617718170733,0.3643190880403141,0.514889132276663,0.19672692580542578,0.290901200636482,0.0004158614447515828,0.0006819449897708246,199.0,148.0,0.5530957215196066,0.4383459734248104,0.7101690354460726,0.9225475811617863,0.9491425915506739,0.918269926225951,0.025220773502287238,0.040524064392139035,0.050857408449326055,0.0817300737740489,40879.0,48391.0,0.012667848855663771,0.018627749123261948,0.11815987585334592,0.1619990170675453,0.0,1.0,1.0,1.0,0.0,0.0,0.02563663494703882,0.04120600938190986,0.015569374434871039,0.015303290889851797,0.00026608354501924183,0.03087266532472284,-0.03087266532472288,0.0,0.005959900267598177,-25.25664960072892,0.04383914121419938,-2.2902328120544757,0.051141149172215905,0.21237854571571368,0.1505700442363489,-0.11474974809479621,0.09417427483105623,1.0,0.0,7512.0,0.1686935649091641,-0.2943710606025771
AC,01082,RODRIGUES ALVES,0.1124653739612188,0.1077410593028519,1.0,2.0,8.891625615763546,9.281512605042018,11.0,11.0,0.3636363636363636,0.3636363636363636,0.5454545454545454,0.7272727272727273,38.16937340551304,39.48005724597101,0.8181818181818182,0.7272727272727273,0.3473684210526316,0.3936170212765957,0.2,0.2872340425531915,0.0,8.0,0.0,0.0851063829787234,0.0,3.0,0.0,0.2727272727272727,0.3894736842105263,0.2978723404255319,39.53622555230314,40.99678156902152,0.0,72.0,0.0,0.7659574468085106,0.8842105263157894,0.8617021276595744,10.0,10.0,10.91015095371468,10.539051200304185,95.0,94.0,-1.0,0.0462486002239641,-0.0047243146583668,0.3898869892784713,29.248745556651183,27.499331257611946,5.7947471795146255,6.447020244855169,0.2695240295748614,0.3314617618586641,0.38505083179297594,0.5653436592449177,0.17190388170055454,0.3061955469506292,0.0067005545286506416,0.0053242981606970025,83.0,93.0,0.504043438077634,0.5107454017424976,0.8298290203327172,0.8328170377541142,0.8833179297597042,0.8626331074540174,0.05499075785582255,0.06602129719264278,0.11668207024029575,0.13736689254598256,8656.0,10330.0,0.034189500471503105,0.036364520672596184,0.1725700827009611,0.15511041721918228,0.0,0.0,0.0,1.0,0.0,0.0,0.061691312384473194,0.07134559535333979,0.009654282968866591,0.01103053933682023,-0.001376256367953639,0.0206848223056868,-0.0206848223056868,0.0,0.0021750202010930794,-1.7494142990392376,-0.017459665481778824,0.6522730653405437,0.06193773228380273,0.0029880174213969823,0.18029282745194175,0.006701963664863642,0.1342916652500747,0.0,1.0,1674.0,0.17678084163367203,0.11247798342669046
AC,01090,MÂNCIO LIMA,0.105664,0.0909856072721151,1.0,2.0,9.46396123561478,10.990749306197964,11.0,11.0,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.5454545454545454,44.26905606371725,42.68981395059424,0.8181818181818182,0.8181818181818182,0.384,0.3944954128440367,0.24,0.3577981651376147,0.0,9.0,0.0,0.0825688073394495,0.0,6.0,0.0,0.5454545454545454,0.392,0.3486238532110092,41.119080082135525,42.222833424385705,0.0,72.0,0.0,0.6605504587155964,0.856,0.8623853211009175,10.0,12.0,9.879126274819196,10.943151791361162,125.0,109.0,-16.0,0.0104954128440367,-0.0146783927278848,1.526788070583185,48.72246561931276,41.19176951242923,7.370050467797111,8.073235593852177,0.21337391987431265,0.27316537030774435,0.3069520816967793,0.5349171457558336,0.27827965435978,0.2634426783902604,0.0026512175962293827,0.0008454514710855635,121.0,94.0,0.5157109190887667,0.43498478187352047,0.8182443047918303,0.8413087588772404,0.915062843676355,0.9132566790666216,0.041142969363707774,0.04294893473114643,0.08493715632364493,0.08674332093337841,10184.0,11828.0,0.020524412861479182,0.02427669439396769,0.13568428118225592,0.12386607431121008,0.0,0.0,0.0,0.0,0.0,0.0,0.043794186959937156,0.04379438620223199,1.992422948363104e-07,0.0018059653674386555,-0.0018057661251438192,0.001806164609733485,-0.001806164609733485,0.0,0.003752281532488508,-7.530696106883525,-0.011818206871045844,0.7031851260550654,0.0597914504334317,0.023064454085410135,0.2279650640590543,-0.08072613721524619,-0.014836975969519606,0.0,0.0,1644.0,0.14963809388483007,-0.250144153132716
