office_group,election_year,state,municipality_id_tse,municipality_name,total_candidates,elected_candidates,party_count,coalition_count,female_share,nonwhite_share,higher_education_share,married_share,mean_age,sd_age,elected_female_share,elected_nonwhite_share,elected_higher_education_share,elected_mean_age,new_candidate_count,incumbent_candidate_count,incumbent_reelected_count,new_candidate_share,incumbent_candidate_share,incumbent_reelected_share,candidate_hhi_party,effective_party_count_candidates
executive,2020,AL,27006,PARIPUEIRA,2,1,2,2,0.0,0.5,0.5,0.5,51.51129363449692,9.41066684010351,0.0,0.0,1.0,58.16563997262149,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27014,ÁGUA BRANCA,5,1,4,4,0.2,0.8,0.4,0.8,50.945379876796714,12.325838360331668,0.0,1.0,0.0,57.68104038329911,0,0,0,0.0,0.0,0.0,0.28,3.571428571428571
executive,2020,AL,27022,PARICONHA,4,1,3,3,0.25,0.25,0.0,0.75,53.083504449007535,10.650337480128902,0.0,0.0,0.0,41.686516084873375,0,0,0,0.0,0.0,0.0,0.375,2.6666666666666665
executive,2020,AL,27030,ANADIA,3,1,3,2,0.0,1.0,0.3333333333333333,0.6666666666666666,39.02076203513575,12.098021530843152,0.0,1.0,0.0,52.92265571526352,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27049,ESTRELA DE ALAGOAS,2,1,2,2,0.0,0.0,0.5,1.0,51.578370978781656,1.4519646430935254,0.0,0.0,0.0,52.60506502395619,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27057,ARAPIRACA,8,1,8,5,0.25,0.375,0.75,0.75,49.94387405886379,10.943755714542311,0.0,0.0,1.0,62.25872689938399,0,0,0,0.0,0.0,0.0,0.125,8.0
executive,2020,AL,27065,JEQUIÁ DA PRAIA,4,1,4,3,0.25,0.25,1.0,0.75,39.02737850787132,7.4368855230431725,0.0,1.0,1.0,32.97741273100616,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27073,ATALAIA,5,1,4,2,0.4,0.4,0.8,0.8,48.46105407255305,11.946082978549757,1.0,0.0,1.0,36.851471594798085,0,0,0,0.0,0.0,0.0,0.28,3.571428571428571
executive,2020,AL,27081,CAMPESTRE,2,1,2,2,0.0,0.5,0.5,1.0,43.24845995893224,2.642575650430221,0.0,0.0,0.0,41.379876796714576,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27090,BARRA DE SANTO ANTÔNIO,2,1,2,2,1.0,0.0,0.5,0.5,41.82203969883641,3.4014691705537667,1.0,0.0,1.0,39.41683778234086,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27111,BARRA DE SÃO MIGUEL,5,1,5,3,0.4,0.2,0.8,0.8,51.76180698151951,16.081328224229225,0.0,1.0,1.0,78.54346338124572,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,27138,BATALHA,5,1,5,3,0.2,0.4,0.6,0.8,49.89185489390828,5.921574421785149,1.0,0.0,1.0,41.21834360027378,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,27154,BELÉM,4,1,4,3,0.25,0.25,1.0,0.75,47.51540041067762,5.587030255507063,1.0,0.0,1.0,40.75564681724846,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27170,BELO MONTE,2,1,2,2,0.0,0.5,0.5,0.5,35.81519507186859,10.099866057358568,0.0,0.0,1.0,28.673511293634498,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27197,BOCA DA MATA,3,1,3,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,43.02715035363906,18.517849096592126,0.0,1.0,1.0,36.394250513347025,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27219,BRANQUINHA,4,1,4,2,0.0,0.5,0.25,1.0,46.17316906228611,13.971729858309327,0.0,1.0,0.0,56.14236824093087,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27235,CACIMBINHAS,2,1,2,1,0.0,1.0,1.0,0.0,35.71526351813826,2.2302176917916525,0.0,1.0,1.0,37.29226557152635,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27251,CAJUEIRO,5,1,5,3,0.2,0.4,0.4,1.0,55.16878850102669,8.833528148876145,1.0,0.0,1.0,62.559890485968516,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,27278,CAMPO ALEGRE,3,1,3,2,0.0,0.6666666666666666,0.6666666666666666,1.0,42.58453114305271,2.8715904616597556,0.0,0.0,1.0,43.167693360711844,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27294,CAMPO GRANDE,3,0,3,3,0.0,1.0,0.0,0.6666666666666666,54.54163814738763,6.523104216741806,,,,,0,0,0,0.0,0.0,,0.3333333333333333,3.0
executive,2020,AL,27316,CANAPI,3,1,3,3,0.0,0.6666666666666666,0.6666666666666666,1.0,32.02829112480037,4.206511797870937,0.0,1.0,1.0,27.351129363449694,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27332,CAPELA,3,1,3,1,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,44.501939310974215,1.9504267866831428,0.0,0.0,0.0,42.59000684462697,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27359,CARNEIROS,2,1,2,2,0.0,0.0,0.0,0.5,50.43668720054757,13.172223242144474,0.0,0.0,0.0,41.12251882272416,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27375,CHÃ PRETA,3,1,3,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,49.6828656171572,12.007044113944465,0.0,0.0,0.0,54.83915126625599,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27391,COITÉ DO NÓIA,4,1,4,3,0.5,0.25,0.75,0.75,42.053388090349074,8.182389128435966,0.0,0.0,0.0,30.48596851471595,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,27413,COLÔNIA LEOPOLDINA,3,1,3,3,0.0,1.0,0.0,0.0,45.086014145562395,12.711898206230059,0.0,1.0,0.0,59.592060232717316,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27430,COQUEIRO SECO,3,1,3,3,0.3333333333333333,0.3333333333333333,1.0,0.0,50.403832991101986,22.5200927515305,1.0,0.0,1.0,71.20054757015743,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27456,CORURIPE,3,1,3,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,51.09468400638832,10.795760639891464,0.0,0.0,1.0,47.78918548939083,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27472,DELMIRO GOUVEIA,5,1,5,4,0.2,0.8,1.0,0.6,47.511567419575634,8.984493908004609,1.0,1.0,1.0,48.29295003422313,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,27499,DOIS RIACHOS,2,1,2,2,0.0,0.5,0.5,1.0,47.20191649555099,17.63846648430016,0.0,1.0,1.0,34.729637234770706,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27510,FEIRA GRANDE,3,1,3,2,0.0,0.3333333333333333,1.0,1.0,40.638831850330824,3.776970429529474,0.0,0.0,1.0,42.92402464065709,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27537,FELIZ DESERTO,3,1,3,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,45.44558521560575,10.537524603541437,1.0,0.0,0.0,57.596167008898014,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,27553,FLEXEIRAS,2,1,2,2,0.5,0.5,1.0,1.0,49.23477070499658,11.913853884796756,1.0,0.0,1.0,57.659137577002056,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27570,GIRAU DO PONCIANO,4,1,4,2,0.0,0.75,0.75,0.75,43.37166324435318,6.253976174793772,0.0,0.0,1.0,37.50581793292265,0,0,0,0.0,0.0,0.0,0.25,4.0
