election_year,state,municipality_id_tse,municipality_name,main_subject_code,main_subject_name,topic_family,n_lawsuits,baseline_share_2020,leave_uf_out_2020,leave_uf_out_2024,shock_log_growth_2020_2024,bartik_component
2020,AC,01015,CAPIXABA,11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,1,0.125,11398.0,7437.0,-0.4269236367517628,-0.05336545459397035
2020,AC,01015,CAPIXABA,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,2,0.25,8874.0,12973.0,0.3797090194293844,0.0949272548573461
2020,AC,01015,CAPIXABA,12637,Propaganda Política - Propaganda Eleitoral - Redes Sociais,information_environment,2,0.25,8357.0,7780.0,-0.07153429939092959,-0.017883574847732397
2020,AC,01023,PORTO ACRE,11596,Inelegibilidade - Abuso do Poder Econômico ou Político,eligibility_ballot_access,1,0.09090909090909091,1853.0,1971.0,0.06170278903678028,0.005609344457889117
2020,AC,01023,PORTO ACRE,11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,2,0.18181818181818182,2727.0,2886.0,0.05664916069958181,0.010299847399923966
2020,AC,01023,PORTO ACRE,11671,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Inserções de Propaganda,unmapped,3,0.2727272727272727,1482.0,1068.0,-0.32734343111288666,-0.08927548121260545
2020,AC,01023,PORTO ACRE,11676,Propaganda Política - Propaganda Eleitoral - Invasão de Horário Destinado a Outro Cargo/Partido/Coligação,unmapped,3,0.2727272727272727,239.0,190.0,-0.22836549529536132,-0.06228149871691672
2020,AC,01023,PORTO ACRE,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,1,0.09090909090909091,1006.0,0.0,-6.914730892718563,-0.6286118993380512
2020,AC,01023,PORTO ACRE,11721,Captação Ilícita de Sufrágio,unmapped,1,0.09090909090909091,402.0,0.0,-5.998936561946683,-0.5453578692678802
2020,AC,01031,SANTA ROSA DO PURUS,11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,1,0.3333333333333333,2727.0,2886.0,0.05664916069958181,0.01888305356652727
2020,AC,01031,SANTA ROSA DO PURUS,11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,1,0.3333333333333333,11398.0,7437.0,-0.4269236367517628,-0.14230787891725427
2020,AC,01031,SANTA ROSA DO PURUS,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,1,0.3333333333333333,8874.0,12973.0,0.3797090194293844,0.12656967314312811
2020,AC,01040,MARECHAL THAUMATURGO,11593,Direito de Resposta,unmapped,7,0.25,1515.0,0.0,-7.323830566202317,-1.8309576415505793
2020,AC,01040,MARECHAL THAUMATURGO,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1,0.03571428571428571,6086.0,4600.0,-0.27988167833845523,-0.0099957742263734
2020,AC,01040,MARECHAL THAUMATURGO,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1,0.03571428571428571,4903.0,4400.0,-0.10821941080495634,-0.003864978957319869
2020,AC,01040,MARECHAL THAUMATURGO,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2,0.07142857142857142,4792.0,1707.0,-1.0318334248111158,-0.07370238748650827
2020,AC,01040,MARECHAL THAUMATURGO,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3,0.10714285714285714,13359.0,12398.0,-0.0746493439107958,-0.007998143990442408
2020,AC,01040,MARECHAL THAUMATURGO,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2,0.07142857142857142,1447.0,868.0,-0.5105954476802692,-0.036471103405733514
2020,AC,01040,MARECHAL THAUMATURGO,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2,0.07142857142857142,1006.0,0.0,-6.914730892718563,-0.4939093494798973
2020,AC,01040,MARECHAL THAUMATURGO,11718,Abuso - De Poder Econômico,abuse_misuse_office,1,0.03571428571428571,3152.0,2839.0,-0.10455032838980927,-0.003733940299636045
2020,AC,01040,MARECHAL THAUMATURGO,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1,0.03571428571428571,2485.0,2494.0,0.003613736114963295,0.00012906200410583196
2020,AC,01040,MARECHAL THAUMATURGO,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8,0.2857142857142857,8874.0,12973.0,0.3797090194293844,0.1084882912655384
2020,AC,01058,BRASILÉIA,11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,1,0.125,4515.0,2969.0,-0.4190646934728077,-0.052383086684100966
2020,AC,01058,BRASILÉIA,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,2,0.25,6086.0,4600.0,-0.27988167833845523,-0.06997041958461381
2020,AC,01058,BRASILÉIA,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,2,0.25,4903.0,4400.0,-0.10821941080495634,-0.027054852701239085
2020,AC,01058,BRASILÉIA,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2,0.25,4792.0,1707.0,-1.0318334248111158,-0.25795835620277896
2020,AC,01058,BRASILÉIA,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,1,0.125,13359.0,12398.0,-0.0746493439107958,-0.009331167988849476
2020,AC,01066,PORTO WALTER,11593,Direito de Resposta,unmapped,7,0.25,1515.0,0.0,-7.323830566202317,-1.8309576415505793
2020,AC,01066,PORTO WALTER,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1,0.03571428571428571,6086.0,4600.0,-0.27988167833845523,-0.0099957742263734
