municipality_id_tse,biv_act10,biv_subject,biv_pair
00019,-0.06980908223855772,-0.38725028426678665,-0.9140261801784686
00035,-0.004146081228003175,-0.11919620287810896,-0.2496595098297711
00051,0.05005597296701563,-0.274994732086125,-0.3077518666524953
00078,-0.042817139017024,-0.08726873009387734,-0.07110148519328974
00094,-0.0377358580847457,-0.7156458054280544,-0.663671717744336
00116,-0.0274128215057865,-0.11562301430298796,-0.15599645461418823
00132,0.11422112589879344,-0.027635737907831942,0.04087025386661874
00159,0.001249324437868177,-0.09862476104143311,0.07255751550623869
00175,0.06490268794113252,0.14909254704477046,-0.3044084441942445
00191,0.018072781059694343,0.01360565205577835,0.02278002833181958
00213,0.017951956942027496,-0.14535091613743478,-0.4920376640655416
00230,-0.066834620439705,-0.22069213354847858,-1.7437521098413904
00256,0.08637997082717597,-0.026630746992947426,0.045404154233888036
00272,-0.23474242819868607,-1.3994866995327557,-1.1902287736216302
00299,0.12638168047192452,0.3771539206568213,-0.03242447625736311
00310,-0.107038837469471,-0.3067082403425306,-0.9475632188218792
00337,0.004928749314109915,-0.29511548216173766,-0.30994461035741283
00353,-0.1434419160731455,-2.472930458741285,-1.3862943611198906
00370,0.052226375943435155,-0.3635973438066733,-0.13928203536414097
00396,-0.1355717722982721,-0.37366520036913375,-0.6093944771655699
00418,-0.0427502653404902,-0.1810064684737688,-0.4441973856589206
00477,-0.018934327359079628,-0.19133998542102626,-0.09308999403384632
00493,0.0,0.0,0.0
00515,0.0,0.0,0.0
00531,0.15329941470136532,0.26824394430544807,0.2685847178647176
00558,0.0,0.0,0.0
00566,0.0,0.0,0.0
00574,-0.08883729816763375,0.03819425765078227,-0.40698174091732575
00590,0.0,0.0,0.0
00604,0.0,0.0,0.0
00612,0.0,0.0,0.0
00620,0.0,0.0,0.0
00639,0.27470058128509844,-0.5073911613173561,-0.6391275370044769
00647,0.04084184431552155,-0.21329613489101332,-0.9154342866562852
00663,0.09976385960201384,0.06667292859204094,0.06403853244602367
00671,0.0,0.0,0.0
00680,0.04084184431552155,-0.21329613489101332,-0.9154342866562852
00698,0.0,0.0,0.0
00701,0.0,0.0,0.0
00728,0.0,0.0,0.0
00736,0.0,0.0,0.0
00744,0.0,0.0,0.0
00752,-0.1434419160731455,0.3757389278429635,0.6962099700904911
00779,0.11983969276427064,0.150650006437417,0.14743529006782152
00795,-0.00659862455282164,-0.10807367444828278,-0.09157372883038395
00809,0.08637997082717597,-0.034047507053401205,-0.0272496424473756
01007,-0.11579280103123235,-0.06283728405906608,0.0
01015,0.0014449827661418696,0.03555625154161032,-0.3667402741370781
01023,0.0,0.0,0.0
01031,0.29164094403467633,0.03859481934556497,-0.3942286801821349
01040,0.07399397308327549,0.05700808321050266,0.538252926529339
01058,0.0,0.0,0.0
01066,-0.06618734960028463,-0.05560651929802063,0.004966683313723089
01074,-0.15137057216492222,-0.2856687963846538,-0.3940662458284816
01090,0.0,0.0,0.0
01104,0.0,0.0,0.0
01112,-0.039690496695741644,-0.33113240787791,-0.46283586247104846
01120,-0.3199649395330786,-0.3199649395330786,-0.4671906878691212
01139,-0.05613471306703058,-0.21094713102037868,-0.6869047439877445
01392,-0.01799877726956426,-0.12126165829329584,-0.8836799525145415
01457,-0.021872676082789644,0.04314748186346573,-1.210613600066786
01473,0.05497562922723492,-0.08706152118362458,-0.45879745128123
01490,0.0,0.0,0.0
01511,-0.14365299786812535,0.05943832793273085,-0.7311079427991682
