state,municipality_id_tse,municipality_name,bartik_iv_2020_2024,baseline_competition_lawsuits_2020,baseline_subjects_2020,competition_families_2020,competition_families_2024,competition_lawsuits_2020,competition_lawsuits_2024,competition_subjects_2020,competition_subjects_2024,log1p_competition_lawsuits_2020,log1p_competition_lawsuits_2024,delta_log1p_competition_lawsuits_2024_2020,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020
AC,01007,BUJARI,-0.19463388353279418,173.0,12.0,4.0,4.0,173.0,143.0,12.0,13.0,5.159055299214529,4.969813299576001,-0.1892419996385284,0.08485207100591718,0.10654407787993508,1.0,2.0,11.785216178521614,9.385786802030458,9.0,9.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,42.927370902730246,45.09787816563997,0.8888888888888888,0.8888888888888888,0.36923076923076925,0.3488372093023256,0.16153846153846155,0.20930232558139536,0.0,6.0,0.0,0.06976744186046512,0.0,4.0,0.0,0.4444444444444444,0.43846153846153846,0.47674418604651164,41.70563891960196,43.9100011142416,0.0,60.0,0.0,0.6976744186046512,0.8846153846153846,0.872093023255814,12.0,10.0,10.665815137160406,9.638685885220546,130.0,86.0,-44.0,-0.02039355992844366,0.0216920068740179,-2.399429376491156
AC,01015,CAPIXABA,-0.1654909509503342,222.0,8.0,3.0,2.0,222.0,207.0,8.0,7.0,5.407171771460119,5.337538079701318,-0.06963369175880096,0.09578402366863907,0.11577794010226443,1.0,1.0,10.440154440154439,8.637223974763407,9.0,9.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444,42.638983953152334,41.04220853296829,0.7777777777777778,0.8888888888888888,0.38461538461538464,0.32432432432432434,0.19230769230769232,0.17567567567567569,0.0,5.0,0.0,0.06756756756756757,0.0,1.0,0.0,0.1111111111111111,0.4230769230769231,0.527027027027027,41.143131680092665,45.17868176184398,0.0,48.0,0.0,0.6486486486486487,0.8461538461538461,0.918918918918919,11.0,9.0,11.242605281030201,11.23257629385764,104.0,74.0,-30.0,-0.060291060291060294,0.01999391643362536,-1.8029304653910323
AC,01023,PORTO ACRE,-0.16248162841214575,745.0,7.0,3.0,1.0,745.0,468.0,7.0,5.0,6.61472560020376,6.150602768446279,-0.46412283175748126,0.08679768203577726,0.09294969901030506,1.0,2.0,11.521044992743109,10.758507135016467,9.0,9.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.6666666666666666,39.7803635257434,45.86691003118108,0.8888888888888888,0.8888888888888888,0.35714285714285715,0.36363636363636365,0.25396825396825395,0.26262626262626265,0.0,8.0,0.0,0.08080808080808081,0.0,3.0,0.0,0.3333333333333333,0.47619047619047616,0.45454545454545453,43.613245982855844,44.31974778586689,0.0,75.0,0.0,0.7575757575757576,0.8333333333333334,0.8787878787878788,13.0,11.0,11.094674644411826,11.453868979993429,126.0,99.0,-27.0,0.006493506493506496,0.006152016974527802,-0.7625378577266417
AC,01031,SANTA ROSA DO PURUS,-0.16609637534666244,293.0,6.0,3.0,4.0,293.0,228.0,6.0,10.0,5.683579767338681,5.43372200355424,-0.24985776378444147,0.14745562130177517,0.13832199546485258,1.0,2.0,6.781701444622792,7.229508196721313,9.0,9.0,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.4444444444444444,44.417370142216136,42.822724161533195,0.6666666666666666,0.3333333333333333,0.35384615384615387,0.3492063492063492,0.15384615384615385,0.20634920634920634,0.0,9.0,0.0,0.14285714285714285,0.0,4.0,0.0,0.4444444444444444,0.15384615384615385,0.1111111111111111,37.69220239035434,40.10968786328129,0.0,46.0,0.0,0.7301587301587301,0.6923076923076923,0.3333333333333333,8.0,9.0,10.043413793993208,9.63653784898488,65.0,63.0,-2.0,-0.004639804639804679,-0.009133625836922593,0.44780675209852117
AC,01040,MARECHAL THAUMATURGO,-0.16179916264689478,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.23449809341713568,0.0951576248470369,0.12083044982698962,1.0,2.0,10.508879363135332,8.276059564719358,9.0,11.0,0.1111111111111111,0.18181818181818182,0.4444444444444444,0.36363636363636365,44.28230283671762,47.53755211250077,0.6666666666666666,0.9090909090909091,0.3893129770992366,0.38823529411764707,0.22137404580152673,0.2235294117647059,0.0,6.0,0.0,0.07058823529411765,0.0,4.0,0.0,0.36363636363636365,0.29770992366412213,0.4235294117647059,38.85449159051366,39.75678222007489,0.0,59.0,0.0,0.6941176470588235,0.9236641221374046,0.9176470588235294,11.0,9.0,10.436111801108105,11.425423672398269,131.0,85.0,-46.0,-0.0010776829815895561,0.025672824979952727,-2.2328197984159743
AC,01058,BRASILÉIA,-0.17384080400810045,424.0,11.0,2.0,3.0,424.0,339.0,11.0,11.0,6.052089168924417,5.8289456176102075,-0.2231435513142097,0.10185986159169552,0.10822760476739715,1.0,2.0,9.81740976645435,9.239786856127887,11.0,11.0,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.6363636363636364,45.37141434882708,46.31373281065272,0.9090909090909091,0.9090909090909091,0.36764705882352944,0.39215686274509803,0.23529411764705882,0.3431372549019608,0.0,8.0,0.0,0.0784313725490196,0.0,4.0,0.0,0.36363636363636365,0.4632352941176471,0.38235294117647056,43.55507911583524,45.65342030035834,0.0,61.0,0.0,0.5980392156862745,0.7941176470588235,0.9019607843137255,11.0,10.0,10.110161396183722,9.27669499257752,136.0,102.0,-34.0,0.024509803921568596,0.006367743175701629,-0.577622910326463
AC,01066,PORTO WALTER,-0.16179916264689478,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.23449809341713568,0.12353026564087675,0.1317722681359045,1.0,2.0,8.0951821386604,7.588850174216027,9.0,9.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,40.37599817476614,42.798691915735034,0.8888888888888888,0.3333333333333333,0.3373493975903614,0.3787878787878788,0.12048192771084337,0.16666666666666666,0.0,9.0,0.0,0.13636363636363635,0.0,5.0,0.0,0.5555555555555556,0.4939759036144578,0.10606060606060606,39.747787866043225,41.165826644266076,0.0,46.0,0.0,0.696969696969697,0.8554216867469879,0.48484848484848486,9.0,8.0,10.904482199111502,10.651843592259391,83.0,66.0,-17.0,0.04143848119751736,0.008242002495027753,-0.5063319644443727
AC,01074,CRUZEIRO DO SUL,-0.16179916264689478,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.23449809341713568,0.07954648526077097,0.09274357010945453,1.0,2.0,12.57126567844926,10.782418649830015,14.0,14.0,0.0,0.14285714285714285,0.21428571428571427,0.42857142857142855,41.68025814021706,44.9699814217268,0.7142857142857143,1.0,0.32857142857142857,0.3691275167785235,0.3,0.4697986577181208,0.0,13.0,0.0,0.087248322147651,0.0,6.0,0.0,0.42857142857142855,0.5523809523809524,0.46308724832214765,44.29684066428906,45.4653014162406,0.0,96.0,0.0,0.6442953020134228,0.7333333333333333,0.8657718120805369,14.0,11.0,11.399730830293537,9.966863951875416,210.0,149.0,-61.0,0.04055608820709494,0.013197084848683552,-1.7888470286192444
AC,01082,RODRIGUES ALVES,-0.16179916264689478,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.23449809341713568,0.11246537396121883,0.10774105930285197,1.0,2.0,8.891625615763546,9.281512605042018,11.0,11.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.7272727272727273,38.16937340551304,39.480057245971004,0.8181818181818182,0.7272727272727273,0.3473684210526316,0.39361702127659576,0.2,0.2872340425531915,0.0,8.0,0.0,0.0851063829787234,0.0,3.0,0.0,0.2727272727272727,0.3894736842105263,0.2978723404255319,39.536225552303144,40.996781569021515,0.0,72.0,0.0,0.7659574468085106,0.8842105263157894,0.8617021276595744,10.0,10.0,10.910150953714679,10.539051200304183,95.0,94.0,-1.0,0.046248600223964154,-0.004724314658366868,0.3898869892784713
AC,01090,MÂNCIO LIMA,-0.16179916264689478,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.23449809341713568,0.10566400000000001,0.09098560727211515,1.0,2.0,9.463961235614779,10.990749306197964,11.0,11.0,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.5454545454545454,44.26905606371725,42.68981395059424,0.8181818181818182,0.8181818181818182,0.384,0.3944954128440367,0.24,0.3577981651376147,0.0,9.0,0.0,0.08256880733944955,0.0,6.0,0.0,0.5454545454545454,0.392,0.3486238532110092,41.119080082135525,42.222833424385705,0.0,72.0,0.0,0.6605504587155964,0.856,0.8623853211009175,10.0,12.0,9.879126274819196,10.943151791361162,125.0,109.0,-16.0,0.010495412844036711,-0.014678392727884862,1.5267880705831853
