election_year,state,municipality_id_tse,municipality_name,share_first_time_candidates,mean_prior_candidacies,share_prior_winners,share_career_politicians,share_serial_challenger,share_cross_cycle_returner,n_candidates
2012,AC,01007,BUJARI,1.0,0.0,0.0,0.0,0.0,0.0,68
2012,AC,01015,CAPIXABA,1.0,0.0,0.0,0.0,0.0,0.0,88
2012,AC,01023,PORTO ACRE,1.0,0.0,0.0,0.0,0.0,0.0,105
2012,AC,01031,SANTA ROSA DO PURUS,1.0,0.0,0.0,0.0,0.0,0.0,44
2012,AC,01040,MARECHAL THAUMATURGO,1.0,0.0,0.0,0.0,0.0,0.0,79
2012,AC,01058,BRASILÉIA,1.0,0.0,0.0,0.0,0.0,0.0,134
2012,AC,01066,PORTO WALTER,1.0,0.0,0.0,0.0,0.0,0.0,75
2012,AC,01074,CRUZEIRO DO SUL,1.0,0.0,0.0,0.0,0.0,0.0,171
2012,AC,01082,RODRIGUES ALVES,1.0,0.0,0.0,0.0,0.0,0.0,57
2012,AC,01090,MÂNCIO LIMA,1.0,0.0,0.0,0.0,0.0,0.0,82
2012,AC,01104,JORDÃO,1.0,0.0,0.0,0.0,0.0,0.0,49
2012,AC,01112,EPITACIOLÂNDIA,1.0,0.0,0.0,0.0,0.0,0.0,107
2012,AC,01120,ACRELÂNDIA,1.0,0.0,0.0,0.0,0.0,0.0,93
2012,AC,01139,FEIJÓ,1.0,0.0,0.0,0.0,0.0,0.0,95
2012,AC,01392,RIO BRANCO,1.0,0.0,0.0,0.0,0.0,0.0,338
2012,AC,01457,SENA MADUREIRA,1.0,0.0,0.0,0.0,0.0,0.0,135
2012,AC,01473,TARAUACÁ,1.0,0.0,0.0,0.0,0.0,0.0,85
2012,AC,01490,XAPURI,1.0,0.0,0.0,0.0,0.0,0.0,74
2012,AC,01511,PLÁCIDO DE CASTRO,1.0,0.0,0.0,0.0,0.0,0.0,86
2012,AC,01538,SENADOR GUIOMARD,1.0,0.0,0.0,0.0,0.0,0.0,102
2012,AC,01554,MANOEL URBANO,1.0,0.0,0.0,0.0,0.0,0.0,68
2012,AC,01570,ASSIS BRASIL,1.0,0.0,0.0,0.0,0.0,0.0,53
2012,AL,27006,PARIPUEIRA,1.0,0.0,0.0,0.0,0.0,0.0,31
2012,AL,27014,ÁGUA BRANCA,1.0,0.0,0.0,0.0,0.0,0.0,66
2012,AL,27022,PARICONHA,1.0,0.0,0.0,0.0,0.0,0.0,43
2012,AL,27030,ANADIA,1.0,0.0,0.0,0.0,0.0,0.0,40
2012,AL,27049,ESTRELA DE ALAGOAS,1.0,0.0,0.0,0.0,0.0,0.0,49
2012,AL,27057,ARAPIRACA,1.0,0.0,0.0,0.0,0.0,0.0,170
2012,AL,27065,JEQUIÁ DA PRAIA,1.0,0.0,0.0,0.0,0.0,0.0,36
2012,AL,27073,ATALAIA,1.0,0.0,0.0,0.0,0.0,0.0,85
2012,AL,27081,CAMPESTRE,1.0,0.0,0.0,0.0,0.0,0.0,62
2012,AL,27090,BARRA DE SANTO ANTÔNIO,1.0,0.0,0.0,0.0,0.0,0.0,89
2012,AL,27111,BARRA DE SÃO MIGUEL,1.0,0.0,0.0,0.0,0.0,0.0,69
2012,AL,27138,BATALHA,1.0,0.0,0.0,0.0,0.0,0.0,74
2012,AL,27154,BELÉM,1.0,0.0,0.0,0.0,0.0,0.0,36
2012,AL,27170,BELO MONTE,1.0,0.0,0.0,0.0,0.0,0.0,29
2012,AL,27197,BOCA DA MATA,1.0,0.0,0.0,0.0,0.0,0.0,67
2012,AL,27219,BRANQUINHA,1.0,0.0,0.0,0.0,0.0,0.0,61
2012,AL,27235,CACIMBINHAS,1.0,0.0,0.0,0.0,0.0,0.0,36
2012,AL,27251,CAJUEIRO,1.0,0.0,0.0,0.0,0.0,0.0,63
2012,AL,27278,CAMPO ALEGRE,1.0,0.0,0.0,0.0,0.0,0.0,142
2012,AL,27294,CAMPO GRANDE,1.0,0.0,0.0,0.0,0.0,0.0,30
2012,AL,27316,CANAPI,1.0,0.0,0.0,0.0,0.0,0.0,66
2012,AL,27332,CAPELA,1.0,0.0,0.0,0.0,0.0,0.0,72
2012,AL,27359,CARNEIROS,1.0,0.0,0.0,0.0,0.0,0.0,52
2012,AL,27375,CHÃ PRETA,1.0,0.0,0.0,0.0,0.0,0.0,44
2012,AL,27391,COITÉ DO NÓIA,1.0,0.0,0.0,0.0,0.0,0.0,31
2012,AL,27413,COLÔNIA LEOPOLDINA,1.0,0.0,0.0,0.0,0.0,0.0,41
2012,AL,27430,COQUEIRO SECO,1.0,0.0,0.0,0.0,0.0,0.0,65
2012,AL,27456,CORURIPE,1.0,0.0,0.0,0.0,0.0,0.0,96
2012,AL,27472,DELMIRO GOUVEIA,1.0,0.0,0.0,0.0,0.0,0.0,66
2012,AL,27499,DOIS RIACHOS,1.0,0.0,0.0,0.0,0.0,0.0,33
2012,AL,27510,FEIRA GRANDE,1.0,0.0,0.0,0.0,0.0,0.0,56
2012,AL,27537,FELIZ DESERTO,1.0,0.0,0.0,0.0,0.0,0.0,46
2012,AL,27553,FLEXEIRAS,1.0,0.0,0.0,0.0,0.0,0.0,60
2012,AL,27570,GIRAU DO PONCIANO,1.0,0.0,0.0,0.0,0.0,0.0,49
2012,AL,27596,IBATEGUARA,1.0,0.0,0.0,0.0,0.0,0.0,61
2012,AL,27618,IGACI,1.0,0.0,0.0,0.0,0.0,0.0,51
2012,AL,27634,IGREJA NOVA,1.0,0.0,0.0,0.0,0.0,0.0,58
2012,AL,27650,INHAPI,1.0,0.0,0.0,0.0,0.0,0.0,47
2012,AL,27677,JACARÉ DOS HOMENS,1.0,0.0,0.0,0.0,0.0,0.0,22
2012,AL,27693,JACUÍPE,1.0,0.0,0.0,0.0,0.0,0.0,63
2012,AL,27715,JAPARATINGA,1.0,0.0,0.0,0.0,0.0,0.0,46
2012,AL,27731,JARAMATAIA,1.0,0.0,0.0,0.0,0.0,0.0,31
2012,AL,27758,JOAQUIM GOMES,1.0,0.0,0.0,0.0,0.0,0.0,66
2012,AL,27774,JUNDIÁ,1.0,0.0,0.0,0.0,0.0,0.0,53
2012,AL,27790,JUNQUEIRO,1.0,0.0,0.0,0.0,0.0,0.0,40
2012,AL,27812,LAGOA DA CANOA,1.0,0.0,0.0,0.0,0.0,0.0,72
2012,AL,27839,LIMOEIRO DE ANADIA,1.0,0.0,0.0,0.0,0.0,0.0,46
2012,AL,27855,MACEIÓ,1.0,0.0,0.0,0.0,0.0,0.0,512
2012,AL,27871,MAJOR ISIDORO,1.0,0.0,0.0,0.0,0.0,0.0,47
2012,AL,27898,MARAGOGI,1.0,0.0,0.0,0.0,0.0,0.0,87
2012,AL,27910,MARAVILHA,1.0,0.0,0.0,0.0,0.0,0.0,44
2012,AL,27936,MARECHAL DEODORO,1.0,0.0,0.0,0.0,0.0,0.0,161
2012,AL,27952,MARIBONDO,1.0,0.0,0.0,0.0,0.0,0.0,51
2012,AL,27979,MAR VERMELHO,1.0,0.0,0.0,0.0,0.0,0.0,36
2012,AL,27995,MATA GRANDE,1.0,0.0,0.0,0.0,0.0,0.0,44
2012,AL,28010,MATRIZ DE CAMARAGIBE,1.0,0.0,0.0,0.0,0.0,0.0,90
2012,AL,28037,MESSIAS,1.0,0.0,0.0,0.0,0.0,0.0,103
2012,AL,28053,MINADOR DO NEGRÃO,1.0,0.0,0.0,0.0,0.0,0.0,18
2012,AL,28070,MONTEIRÓPOLIS,1.0,0.0,0.0,0.0,0.0,0.0,41
2012,AL,28096,MURICI,1.0,0.0,0.0,0.0,0.0,0.0,45
2012,AL,28118,NOVO LINO,1.0,0.0,0.0,0.0,0.0,0.0,69
2012,AL,28134,OLHO D'ÁGUA DAS FLORES,1.0,0.0,0.0,0.0,0.0,0.0,82
2012,AL,28150,OLHO D'ÁGUA DO CASADO,1.0,0.0,0.0,0.0,0.0,0.0,43
2012,AL,28177,OLHO D'ÁGUA GRANDE,1.0,0.0,0.0,0.0,0.0,0.0,35
2012,AL,28193,OLIVENÇA,1.0,0.0,0.0,0.0,0.0,0.0,37
2012,AL,28215,OURO BRANCO,1.0,0.0,0.0,0.0,0.0,0.0,57
2012,AL,28231,PALESTINA,1.0,0.0,0.0,0.0,0.0,0.0,37
2012,AL,28258,PALMEIRA DOS ÍNDIOS,1.0,0.0,0.0,0.0,0.0,0.0,175
2012,AL,28274,PÃO DE AÇÚCAR,1.0,0.0,0.0,0.0,0.0,0.0,65
