id_municipio_tse,uf,rung,family,L2020,L2024,share2020,shift_leavestate,bartik_component,delta_log1p_family
00019,RO,act,abuso,1,1,0.1111111111111111,0.08637997082717597,0.009597774536352884,0.0
00019,RO,act,conduta_vedada,1,1,0.1111111111111111,0.07497655554890148,0.008330728394322386,0.0
00019,RO,act,direito_resposta,2,0,0.2222222222222222,-0.32604294032422665,-0.07245398673871703,-1.0986122886681098
00019,RO,act,fraude,1,7,0.1111111111111111,0.27470058128509844,0.03052228680945538,1.3862943611198904
00019,RO,act,inelegib,1,0,0.1111111111111111,0.018072781059694343,0.0020080867844104824,-0.6931471805599453
00019,RO,act,vote_buying,3,1,0.3333333333333333,-0.1434419160731455,-0.047813972024381826,-0.6931471805599453
00035,RO,act,abuso,2,6,0.09090909090909091,0.08637997082717597,0.007852724620652361,0.8472978603872034
00035,RO,act,conduta_vedada,1,2,0.045454545454545456,0.07497655554890148,0.0034080252522227946,0.4054651081081645
00035,RO,act,finance,2,2,0.09090909090909091,-0.010690715461459277,-0.0009718832237690252,0.0
00035,RO,act,fraude,1,10,0.045454545454545456,0.27470058128509844,0.012486390058413566,1.7047480922384253
00035,RO,act,honra,3,8,0.13636363636363635,-0.12424862554533522,-0.01694299439254571,0.810930216216329
00035,RO,act,inelegib,1,1,0.045454545454545456,0.018072781059694343,0.0008214900481679246,0.0
00035,RO,act,pesquisa_adv,5,3,0.22727272727272727,0.15329941470136532,0.03484077606849212,-0.4054651081081644
00035,RO,act,vote_buying,7,8,0.3181818181818182,-0.1434419160731455,-0.045640609659637205,0.11778303565638382
00051,RO,act,abuso,3,4,0.14285714285714285,0.08637997082717597,0.01233999583245371,0.2231435513142097
00051,RO,act,ballot_integrity,0,4,0.0,0.13459015397276453,0.0,1.6094379124341003
00051,RO,act,conduta_vedada,4,1,0.19047619047619047,0.07497655554890148,0.014281248675981233,-0.916290731874155
00051,RO,act,finance,4,1,0.19047619047619047,-0.010690715461459277,-0.0020363267545636717,-0.916290731874155
00051,RO,act,fraude,4,1,0.19047619047619047,0.27470058128509844,0.05232392024478065,-0.916290731874155
00051,RO,act,honra,0,1,0.0,-0.12424862554533522,-0.0,0.6931471805599453
00051,RO,act,inelegib,0,3,0.0,0.018072781059694343,0.0,1.3862943611198906
00051,RO,act,pesquisa_adv,1,4,0.047619047619047616,0.15329941470136532,0.007299972128636444,0.916290731874155
00051,RO,act,vote_buying,5,3,0.23809523809523808,-0.1434419160731455,-0.03415283716027273,-0.4054651081081644
00078,RO,act,abuso,0,1,0.0,0.08637997082717597,0.0,0.6931471805599453
00078,RO,act,conduta_vedada,1,1,0.06666666666666667,0.07497655554890148,0.004998437036593432,0.0
00078,RO,act,direito_resposta,5,0,0.3333333333333333,-0.32604294032422665,-0.10868098010807554,-1.791759469228055
00078,RO,act,finance,0,6,0.0,-0.010690715461459277,-0.0,1.9459101490553132
00078,RO,act,fraude,2,3,0.13333333333333333,0.27470058128509844,0.03662674417134646,0.2876820724517808
00078,RO,act,honra,1,0,0.06666666666666667,-0.12424862554533522,-0.008283241703022349,-0.6931471805599453
00078,RO,act,inelegib,1,0,0.06666666666666667,0.018072781059694343,0.0012048520706462896,-0.6931471805599453
00078,RO,act,pesquisa_adv,4,4,0.26666666666666666,0.15329941470136532,0.04087984392036408,0.0
00078,RO,act,vote_buying,1,4,0.06666666666666667,-0.1434419160731455,-0.009562794404876366,0.916290731874155
00094,RO,act,abuso,1,2,0.1111111111111111,0.08637997082717597,0.009597774536352884,0.4054651081081645
00094,RO,act,ballot_integrity,0,1,0.0,0.13459015397276453,0.0,0.6931471805599453
00094,RO,act,conduta_vedada,2,1,0.2222222222222222,0.07497655554890148,0.016661456788644773,-0.4054651081081645
00094,RO,act,finance,2,0,0.2222222222222222,-0.010690715461459277,-0.0023757145469909505,-1.0986122886681098
00094,RO,act,honra,1,0,0.1111111111111111,-0.12424862554533522,-0.01380540283837058,-0.6931471805599453
00094,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
00094,RO,act,vote_buying,3,2,0.3333333333333333,-0.1434419160731455,-0.047813972024381826,-0.2876820724517808
00116,RO,act,abuso,0,8,0.0,0.08637997082717597,0.0,2.1972245773362196
00116,RO,act,ballot_integrity,1,1,0.16666666666666666,0.13459015397276453,0.022431692328794085,0.0
00116,RO,act,fraude,1,5,0.16666666666666666,0.27470058128509844,0.045783430214183074,1.0986122886681096
00116,RO,act,honra,0,5,0.0,-0.12424862554533522,-0.0,1.791759469228055
00116,RO,act,pesquisa_adv,0,2,0.0,0.15329941470136532,0.0,1.0986122886681098
00116,RO,act,vote_buying,4,0,0.6666666666666666,-0.1434419160731455,-0.09562794404876365,-1.6094379124341003
00132,RO,act,abuso,0,6,0.0,0.08637997082717597,0.0,1.9459101490553132
00132,RO,act,ballot_integrity,0,1,0.0,0.13459015397276453,0.0,0.6931471805599453
00132,RO,act,conduta_vedada,1,1,0.16666666666666666,0.07497655554890148,0.01249609259148358,0.0
00132,RO,act,fraude,1,0,0.16666666666666666,0.27470058128509844,0.045783430214183074,-0.6931471805599453
00132,RO,act,honra,1,0,0.16666666666666666,-0.12424862554533522,-0.02070810425755587,-0.6931471805599453
00132,RO,act,pesquisa_adv,3,0,0.5,0.15329941470136532,0.07664970735068266,-1.3862943611198906
00159,RO,act,abuso,0,1,0.0,0.08637997082717597,0.0,0.6931471805599453
00159,RO,act,conduta_vedada,3,1,0.3,0.07497655554890148,0.022492966664670443,-0.6931471805599453
00159,RO,act,fraude,1,0,0.1,0.27470058128509844,0.027470058128509847,-0.6931471805599453
00159,RO,act,honra,4,0,0.4,-0.12424862554533522,-0.04969945021813409,-1.6094379124341003
00159,RO,act,pesquisa_adv,1,0,0.1,0.15329941470136532,0.015329941470136534,-0.6931471805599453
00159,RO,act,vote_buying,1,2,0.1,-0.1434419160731455,-0.01434419160731455,0.4054651081081645
00175,RO,act,abuso,1,1,0.2,0.08637997082717597,0.017275994165435193,0.0
00175,RO,act,conduta_vedada,1,1,0.2,0.07497655554890148,0.014995311109780297,0.0
00175,RO,act,direito_resposta,0,1,0.0,-0.32604294032422665,-0.0,0.6931471805599453
00175,RO,act,honra,0,3,0.0,-0.12424862554533522,-0.0,1.3862943611198906
00175,RO,act,inelegib,0,3,0.0,0.018072781059694343,0.0,1.3862943611198906
00175,RO,act,pesquisa_adv,2,2,0.4,0.15329941470136532,0.061319765880546134,0.0
00175,RO,act,vote_buying,1,0,0.2,-0.1434419160731455,-0.0286883832146291,-0.6931471805599453
00191,RO,act,abuso,0,1,0.0,0.08637997082717597,0.0,0.6931471805599453
00191,RO,act,inelegib,1,0,1.0,0.018072781059694343,0.018072781059694343,-0.6931471805599453
00191,RO,act,pesquisa_adv,0,2,0.0,0.15329941470136532,0.0,1.0986122886681098
00213,RO,act,abuso,2,0,0.2222222222222222,0.08637997082717597,0.019195549072705768,-1.0986122886681098
00213,RO,act,ballot_integrity,2,0,0.2222222222222222,0.13459015397276453,0.02990892310505878,-1.0986122886681098
00213,RO,act,conduta_vedada,2,1,0.2222222222222222,0.07497655554890148,0.016661456788644773,-0.4054651081081645
00213,RO,act,finance,0,1,0.0,-0.010690715461459277,-0.0,0.6931471805599453
00213,RO,act,fraude,0,1,0.0,0.27470058128509844,0.0,0.6931471805599453
00213,RO,act,honra,0,1,0.0,-0.12424862554533522,-0.0,0.6931471805599453
00213,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
00213,RO,act,pesquisa_adv,0,1,0.0,0.15329941470136532,0.0,0.6931471805599453
00213,RO,act,vote_buying,3,0,0.3333333333333333,-0.1434419160731455,-0.047813972024381826,-1.3862943611198906
00230,RO,act,abuso,1,0,0.3333333333333333,0.08637997082717597,0.028793323609058653,-0.6931471805599453
00230,RO,act,fraude,0,1,0.0,0.27470058128509844,0.0,0.6931471805599453
00230,RO,act,vote_buying,2,4,0.6666666666666666,-0.1434419160731455,-0.09562794404876365,0.5108256237659905
00256,RO,act,abuso,3,0,1.0,0.08637997082717597,0.08637997082717597,-1.3862943611198906
00256,RO,act,ballot_integrity,0,1,0.0,0.13459015397276453,0.0,0.6931471805599453
00256,RO,act,finance,0,1,0.0,-0.010690715461459277,-0.0,0.6931471805599453
00256,RO,act,fraude,0,7,0.0,0.27470058128509844,0.0,2.0794415416798357
00256,RO,act,honra,0,1,0.0,-0.12424862554533522,-0.0,0.6931471805599453
00256,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
00256,RO,act,vote_buying,0,3,0.0,-0.1434419160731455,-0.0,1.3862943611198906
00272,RO,act,ballot_integrity,0,1,0.0,0.13459015397276453,0.0,0.6931471805599453
00272,RO,act,direito_resposta,1,0,0.5,-0.32604294032422665,-0.16302147016211332,-0.6931471805599453
00272,RO,act,honra,0,1,0.0,-0.12424862554533522,-0.0,0.6931471805599453
00272,RO,act,vote_buying,1,0,0.5,-0.1434419160731455,-0.07172095803657275,-0.6931471805599453
00299,RO,act,abuso,1,1,0.1111111111111111,0.08637997082717597,0.009597774536352884,0.0
00299,RO,act,fraude,1,7,0.1111111111111111,0.27470058128509844,0.03052228680945538,1.3862943611198904
00299,RO,act,honra,0,1,0.0,-0.12424862554533522,-0.0,0.6931471805599453
00299,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
00299,RO,act,pesquisa_adv,6,2,0.6666666666666666,0.15329941470136532,0.10219960980091021,-0.8472978603872034
00299,RO,act,vote_buying,1,1,0.1111111111111111,-0.1434419160731455,-0.015937990674793942,0.0
00310,RO,act,abuso,0,2,0.0,0.08637997082717597,0.0,1.0986122886681098
00310,RO,act,conduta_vedada,1,0,0.16666666666666666,0.07497655554890148,0.01249609259148358,-0.6931471805599453
00310,RO,act,fraude,0,1,0.0,0.27470058128509844,0.0,0.6931471805599453
00310,RO,act,vote_buying,5,0,0.8333333333333334,-0.1434419160731455,-0.11953493006095459,-1.791759469228055
00337,RO,act,direito_resposta,0,1,0.0,-0.32604294032422665,-0.0,0.6931471805599453
00337,RO,act,pesquisa_adv,1,1,0.5,0.15329941470136532,0.07664970735068266,0.0
00337,RO,act,vote_buying,1,0,0.5,-0.1434419160731455,-0.07172095803657275,-0.6931471805599453
00353,RO,act,fraude,0,5,0.0,0.27470058128509844,0.0,1.791759469228055
00353,RO,act,vote_buying,1,0,1.0,-0.1434419160731455,-0.1434419160731455,-0.6931471805599453
00370,RO,act,abuso,1,1,0.5,0.08637997082717597,0.043189985413587983,0.0
00370,RO,act,fraude,0,2,0.0,0.27470058128509844,0.0,1.0986122886681098
00370,RO,act,inelegib,1,0,0.5,0.018072781059694343,0.009036390529847171,-0.6931471805599453
00396,RO,act,abuso,1,0,0.16666666666666666,0.08637997082717597,0.014396661804529327,-0.6931471805599453
00396,RO,act,conduta_vedada,0,1,0.0,0.07497655554890148,0.0,0.6931471805599453
00396,RO,act,direito_resposta,1,0,0.16666666666666666,-0.32604294032422665,-0.05434049005403777,-0.6931471805599453
00396,RO,act,finance,0,1,0.0,-0.010690715461459277,-0.0,0.6931471805599453
00396,RO,act,pesquisa_adv,0,1,0.0,0.15329941470136532,0.0,0.6931471805599453
00396,RO,act,vote_buying,4,0,0.6666666666666666,-0.1434419160731455,-0.09562794404876365,-1.6094379124341003
00418,RO,act,abuso,3,1,0.2727272727272727,0.08637997082717597,0.02355817386195708,-0.6931471805599453
00418,RO,act,fraude,1,0,0.09090909090909091,0.27470058128509844,0.02497278011682713,-0.6931471805599453
00418,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
00418,RO,act,vote_buying,7,2,0.6363636363636364,-0.1434419160731455,-0.09128121931927441,-0.980829253011726
00477,RO,act,abuso,1,1,0.5,0.08637997082717597,0.043189985413587983,0.0
00477,RO,act,fraude,0,5,0.0,0.27470058128509844,0.0,1.791759469228055
00477,RO,act,honra,1,0,0.5,-0.12424862554533522,-0.06212431277266761,-0.6931471805599453
00493,RO,act,abuso,0,1,0.0,0.08637997082717597,0.0,0.6931471805599453
00493,RO,act,fraude,0,1,0.0,0.27470058128509844,0.0,0.6931471805599453
00515,RO,act,fraude,0,4,0.0,0.27470058128509844,0.0,1.6094379124341003
00515,RO,act,vote_buying,0,1,0.0,-0.1434419160731455,-0.0,0.6931471805599453
00531,RO,act,abuso,0,2,0.0,0.08637997082717597,0.0,1.0986122886681098
00531,RO,act,fraude,0,4,0.0,0.27470058128509844,0.0,1.6094379124341003
00531,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
00531,RO,act,pesquisa_adv,1,1,1.0,0.15329941470136532,0.15329941470136532,0.0
00558,RO,act,honra,0,1,0.0,-0.12424862554533522,-0.0,0.6931471805599453
00566,RO,act,inelegib,0,1,0.0,0.018072781059694343,0.0,0.6931471805599453
