election_year,state,municipality_id_tse,municipality_name,registered_voters,turnout_count,abstentions_count,total_votes,blank_votes,null_votes,turnout_rate,abstention_rate,null_rate,blank_rate,valid_vote_rate,valid_votes
2020,AC,01007,BUJARI,9613,7387,2226,7387,79,257,0.768438572766046,0.231561427233954,0.026734630188286694,0.008218038073442213,0.733485904504317,7051
2020,AC,01015,CAPIXABA,7540,6108,1432,6108,43,168,0.810079575596817,0.18992042440318302,0.022281167108753316,0.005702917771883289,0.7820954907161803,5897
2020,AC,01023,PORTO ACRE,12639,10026,2613,10026,137,358,0.793258960360788,0.20674103963921198,0.028325025714059655,0.010839465147559142,0.7540944694991693,9531
2020,AC,01031,SANTA ROSA DO PURUS,3566,2992,574,2992,14,133,0.839035333707235,0.160964666292765,0.03729669097027482,0.003925967470555244,0.797812675266405,2845
2020,AC,01040,MARECHAL THAUMATURGO,10491,8616,1875,8616,15,228,0.8212753788961967,0.17872462110380327,0.021732913926222477,0.0014297969688304261,0.7981126680011439,8373
2020,AC,01058,BRASILÉIA,16844,13522,3322,13522,125,529,0.8027784374257896,0.1972215625742104,0.03140584184279269,0.007421040132985039,0.7639515554500119,12868
2020,AC,01066,PORTO WALTER,6570,5658,912,5658,21,214,0.8611872146118722,0.13881278538812786,0.03257229832572298,0.0031963470319634705,0.8254185692541857,5423
2020,AC,01074,CRUZEIRO DO SUL,55749,44533,11216,44533,583,1441,0.7988125347539866,0.20118746524601339,0.025847997273493694,0.010457586683169205,0.7625069507973237,42509
2020,AC,01082,RODRIGUES ALVES,11388,9303,2085,9303,38,294,0.8169125395152792,0.18308746048472077,0.025816649104320338,0.0033368458025992273,0.7877590446083597,8971
2020,AC,01090,MÂNCIO LIMA,13141,10964,2177,10964,68,3321,0.8343352865078761,0.1656647134921239,0.2527204931131573,0.00517464424320828,0.5764401491515105,7575
2020,AC,01104,JORDÃO,5209,4308,901,4308,14,108,0.8270301401420618,0.1729698598579382,0.020733346131695144,0.0026876559800345554,0.8036091380303321,4186
2020,AC,01112,EPITACIOLÂNDIA,11732,9447,2285,9447,94,317,0.8052335492669621,0.19476645073303783,0.027020115922263895,0.008012274122059324,0.770201159222639,9036
2020,AC,01120,ACRELÂNDIA,9169,7093,2076,7093,54,190,0.7735849056603774,0.22641509433962265,0.020721998036863344,0.0058894099683716875,0.7469734976551423,6849
2020,AC,01139,FEIJÓ,21561,16218,5343,16218,92,630,0.7521914567969946,0.24780854320300544,0.029219423959927646,0.004266963498910069,0.7187050693381568,15496
2020,AC,01392,RIO BRANCO,256673,186769,69904,186769,3368,5939,0.7276534734857192,0.2723465265142808,0.023138390091673063,0.013121754138534244,0.6913933292555119,177462
2020,AC,01457,SENA MADUREIRA,28985,22382,6603,22382,234,636,0.772192513368984,0.22780748663101605,0.021942383991719855,0.0080731412799724,0.7421769880972917,21512
2020,AC,01473,TARAUACÁ,26354,19649,6705,19649,199,888,0.7455794186840707,0.25442058131592926,0.03369507475146088,0.0075510358958791836,0.7043333080367307,18562
2020,AC,01490,XAPURI,11399,9228,2171,9228,76,355,0.8095446969032372,0.19045530309676287,0.03114308272655496,0.00666725151329064,0.7717343626633916,8797
2020,AC,01511,PLÁCIDO DE CASTRO,11964,9823,2141,9823,94,318,0.8210464727515882,0.1789535272484119,0.02657973921765296,0.007856904045469742,0.7866098294884654,9411
2020,AC,01538,SENADOR GUIOMARD,17552,14140,3412,14140,209,313,0.8056061987237921,0.19439380127620784,0.017832725615314494,0.011907474931631723,0.775865998176846,13618
2020,AC,01554,MANOEL URBANO,7209,5716,1493,5716,52,268,0.7928977666805382,0.2071022333194618,0.037175752531557776,0.007213205715078374,0.7485088084339021,5396
2020,AC,01570,ASSIS BRASIL,5913,4918,995,4918,24,129,0.8317267038728225,0.1682732961271774,0.021816336884830034,0.004058853373921867,0.8058515136140707,4765
2020,AL,27006,PARIPUEIRA,10382,8677,1705,8677,150,365,0.8357734540550954,0.16422654594490466,0.03515700250433443,0.014448083220959352,0.7861683683298015,8162
2020,AL,27014,ÁGUA BRANCA,15296,11597,3699,11597,96,489,0.7581720711297071,0.2418279288702929,0.031969142259414225,0.006276150627615063,0.7199267782426778,11012
2020,AL,27022,PARICONHA,8736,7046,1690,7046,56,300,0.8065476190476191,0.19345238095238096,0.034340659340659344,0.00641025641025641,0.7657967032967034,6690
2020,AL,27030,ANADIA,12411,9514,2897,9514,105,345,0.7665780356135686,0.2334219643864314,0.027797921198936426,0.008460236886632826,0.7303198775279993,9064
2020,AL,27049,ESTRELA DE ALAGOAS,11684,8367,3317,8367,135,446,0.7161074974323862,0.28389250256761384,0.038171858952413554,0.011554262238959261,0.6663813762410133,7786
2020,AL,27057,ARAPIRACA,143187,115778,27409,115778,2467,4713,0.8085789911095281,0.1914210088904719,0.0329149992666932,0.017229217736247006,0.7584347741065879,108598
2020,AL,27065,JEQUIÁ DA PRAIA,7765,6705,1060,6705,28,162,0.8634900193174501,0.1365099806825499,0.02086284610431423,0.0036059240180296203,0.8390212491951062,6515
2020,AL,27073,ATALAIA,30331,23630,6701,23630,243,944,0.7790709175431078,0.2209290824568923,0.03112327321881903,0.008011605288318882,0.7399360390359698,22443
2020,AL,27081,CAMPESTRE,5548,4448,1100,4448,65,186,0.8017303532804614,0.19826964671953856,0.03352559480894016,0.011715933669790915,0.7564888248017304,4197
2020,AL,27090,BARRA DE SANTO ANTÔNIO,11987,9763,2224,9763,129,424,0.814465671143739,0.18553432885626095,0.03537165262367565,0.01076165846333528,0.7683323600567281,9210
2020,AL,27111,BARRA DE SÃO MIGUEL,6897,5727,1170,5727,92,244,0.8303610265332754,0.16963897346672466,0.035377700449470785,0.013339132956357837,0.7816441931274467,5391
2020,AL,27138,BATALHA,12705,10630,2075,10630,180,490,0.8366784730421094,0.1633215269578906,0.03856749311294766,0.014167650531286895,0.7839433293978748,9960
2020,AL,27154,BELÉM,4836,3889,947,3889,62,169,0.804177005789909,0.19582299421009097,0.03494623655913978,0.01282051282051282,0.7564102564102564,3658
2020,AL,27170,BELO MONTE,5789,5031,758,5031,36,129,0.8690620141647953,0.1309379858352047,0.022283641388840904,0.006218690620141648,0.8405596821558128,4866
2020,AL,27197,BOCA DA MATA,19280,14528,4752,14528,249,731,0.7535269709543568,0.24647302904564317,0.0379149377593361,0.012914937759336099,0.7026970954356846,13548
2020,AL,27219,BRANQUINHA,8748,6635,2113,6635,82,354,0.758459076360311,0.24154092363968907,0.04046639231824417,0.009373571101966164,0.7086191129401006,6199
2020,AL,27235,CACIMBINHAS,8047,6121,1926,6121,76,291,0.7606561451472599,0.23934385485274015,0.036162545047843914,0.009444513483285696,0.7150490866161302,5754
2020,AL,27251,CAJUEIRO,13965,10591,3374,10591,154,470,0.7583959899749373,0.24160401002506265,0.033655567490153956,0.011027568922305764,0.7137128535624776,9967
2020,AL,27278,CAMPO ALEGRE,24642,18501,6141,18501,274,832,0.750791331872413,0.24920866812758705,0.03376349322295268,0.011119227335443552,0.7059086113140167,17395
2020,AL,27294,CAMPO GRANDE,16412,13756,2656,13756,140,494,0.8381671947355593,0.16183280526444066,0.030099926882768704,0.008530343650987083,0.7995369242018036,13122
2020,AL,27316,CANAPI,13355,10245,3110,10245,113,458,0.7671284163234744,0.23287158367652563,0.034294271808311495,0.008461250467989517,0.7243728940471733,9674
2020,AL,27332,CAPELA,12820,10364,2456,10364,89,365,0.8084243369734789,0.19157566302652107,0.02847113884555382,0.006942277691107644,0.7730109204368175,9910
2020,AL,27359,CARNEIROS,6536,5196,1340,5196,103,389,0.7949816401468788,0.20501835985312117,0.059516523867809056,0.015758873929008568,0.7197062423500612,4704
2020,AL,27375,CHÃ PRETA,5836,4674,1162,4674,35,297,0.8008910212474297,0.19910897875257025,0.050891021247429745,0.0059972583961617545,0.7440027416038383,4342
2020,AL,27391,COITÉ DO NÓIA,8595,6986,1609,6986,50,236,0.8127981384525887,0.18720186154741128,0.02745782431646306,0.005817335660267597,0.779522978475858,6700
2020,AL,27413,COLÔNIA LEOPOLDINA,14813,11244,3569,11244,140,602,0.7590629852156889,0.24093701478431107,0.04063997839735368,0.009451157766826436,0.7089718490515088,10502
2020,AL,27430,COQUEIRO SECO,4965,4365,600,4365,71,197,0.879154078549849,0.12084592145015106,0.039677744209466265,0.014300100704934543,0.8251762336354481,4097
2020,AL,27456,CORURIPE,38667,30532,8135,30532,410,1370,0.7896138826389427,0.21038611736105722,0.035430729045439265,0.01060335686761321,0.7435797967258903,28752
2020,AL,27472,DELMIRO GOUVEIA,37477,28673,8804,28673,306,1301,0.7650825839848441,0.23491741601515595,0.03471462496998159,0.008165007871494517,0.722202951143368,27066
2020,AL,27499,DOIS RIACHOS,8942,7338,1604,7338,53,265,0.8206217848356072,0.17937821516439276,0.029635428315813016,0.005927085663162603,0.7850592708566316,7020
2020,AL,27510,FEIRA GRANDE,17344,14456,2888,14456,144,572,0.8334870848708487,0.16651291512915128,0.03297970479704797,0.008302583025830259,0.7922047970479705,13740
2020,AL,27537,FELIZ DESERTO,3486,2891,595,2891,31,131,0.8293172690763052,0.1706827309236948,0.037578886976477335,0.00889271371199082,0.7828456683878371,2729
2020,AL,27553,FLEXEIRAS,8261,6338,1923,6338,91,363,0.7672194649558165,0.2327805350441835,0.043941411451398134,0.01101561554291248,0.7122624379615059,5884
2020,AL,27570,GIRAU DO PONCIANO,26069,20633,5436,20633,347,1134,0.7914764663009705,0.2085235336990295,0.04349994246039357,0.013310828953929954,0.734665694886647,19152
2020,AL,27596,IBATEGUARA,11059,8839,2220,8839,132,425,0.7992585224703861,0.20074147752961388,0.03843023781535401,0.01193597974500407,0.748892304910028,8282
2020,AL,27618,IGACI,19425,14625,4800,14625,204,623,0.752895752895753,0.2471042471042471,0.03207207207207207,0.010501930501930502,0.7103217503217503,13798
2020,AL,27634,IGREJA NOVA,17020,13687,3333,13687,182,638,0.804171562867215,0.19582843713278497,0.03748531139835488,0.010693301997649824,0.7559929494712103,12867
2020,AL,27650,INHAPI,12898,9946,2952,9946,123,348,0.7711273065591565,0.22887269344084354,0.026980927275546598,0.009536362226701815,0.7346100170569081,9475
2020,AL,27677,JACARÉ DOS HOMENS,4911,4167,744,4167,21,114,0.8485033598045205,0.15149664019547954,0.023213194868662187,0.004276114844227245,0.8210140500916311,4032
2020,AL,27693,JACUÍPE,5616,4823,793,4823,33,219,0.8587962962962963,0.1412037037037037,0.038995726495726496,0.005876068376068376,0.8139245014245015,4571
2020,AL,27715,JAPARATINGA,6726,5823,903,5823,63,220,0.8657448706512043,0.13425512934879572,0.03270889087124591,0.00936663693131133,0.823669342848647,5540
2020,AL,27731,JARAMATAIA,4793,4109,684,4109,31,181,0.8572918839974963,0.14270811600250366,0.037763404965574794,0.00646776549134154,0.81306071354058,3897
2020,AL,27758,JOAQUIM GOMES,14056,11168,2888,11168,158,526,0.794536141149687,0.20546385885031304,0.03742174160500854,0.011240751280591918,0.7458736482640865,10484
2020,AL,27774,JUNDIÁ,4322,3663,659,3663,57,154,0.8475242943081907,0.15247570569180935,0.03563165201295696,0.013188338732068487,0.7987043035631652,3452
2020,AL,27790,JUNQUEIRO,19130,15435,3695,15435,147,598,0.8068478829064297,0.1931521170935703,0.0312598013591218,0.007684265551489807,0.7679038159958181,14690
2020,AL,27812,LAGOA DA CANOA,14662,12612,2050,12612,117,404,0.8601827854317283,0.13981721456827173,0.02755422179784477,0.007979811758286728,0.8246487518755968,12091
2020,AL,27839,LIMOEIRO DE ANADIA,17753,14406,3347,14406,161,441,0.8114684841998535,0.18853151580014646,0.024840871965301638,0.009068889765110123,0.7775587224694418,13804
2020,AL,27855,MACEIÓ,592388,444070,148318,444070,21001,41261,0.7496269336988596,0.2503730663011405,0.06965198484776869,0.03545142710520807,0.6445235217458828,381808
2020,AL,27871,MAJOR ISIDORO,14352,11782,2570,11782,140,430,0.8209308807134894,0.1790691192865106,0.029960981047937568,0.00975473801560758,0.7812151616499443,11212
2020,AL,27898,MARAGOGI,20788,17087,3701,17087,279,614,0.82196459495863,0.17803540504137003,0.029536270925533962,0.013421204541081392,0.7790071194920146,16194
2020,AL,27910,MARAVILHA,7831,6026,1805,6026,55,270,0.7695058102413485,0.23049418975865152,0.03447835525475674,0.007023368663006002,0.7280040863235857,5701
2020,AL,27936,MARECHAL DEODORO,38343,31667,6676,31667,489,1795,0.8258873849203244,0.17411261507967557,0.046814281615940326,0.01275330568813082,0.7663197976162532,29383
2020,AL,27952,MARIBONDO,10172,8169,2003,8169,144,367,0.8030869052300432,0.19691309476995675,0.03607943373967755,0.014156508061344868,0.7528509634290208,7658
2020,AL,27979,MAR VERMELHO,3433,3044,389,3044,32,60,0.88668802796388,0.11331197203612,0.01747742499271774,0.00932129332944946,0.8598893096417128,2952
2020,AL,27995,MATA GRANDE,17302,13458,3844,13458,99,519,0.7778291526991099,0.22217084730089007,0.02999653219281008,0.005721881863368397,0.7421107386429314,12840
2020,AL,28010,MATRIZ DE CAMARAGIBE,18223,14196,4027,14196,169,561,0.7790155298249465,0.22098447017505352,0.030785271360368766,0.009273994402677935,0.7389562640618998,13466
2020,AL,28037,MESSIAS,12895,10255,2640,10255,134,319,0.7952694842962389,0.20473051570376113,0.024738270647537804,0.010391624660721209,0.7601395889879798,9802
2020,AL,28053,MINADOR DO NEGRÃO,4746,3986,760,3986,16,187,0.8398651495996629,0.16013485040033712,0.039401601348504005,0.00337126000842815,0.7970922882427307,3783
2020,AL,28070,MONTEIRÓPOLIS,5781,4585,1196,4585,48,153,0.7931153779622903,0.20688462203770974,0.026466009340944473,0.008303061754021795,0.758346306867324,4384
2020,AL,28096,MURICI,19057,14309,4748,14309,484,786,0.7508527050427665,0.24914729495723356,0.04124468699165661,0.025397491735320354,0.6842105263157895,13039
2020,AL,28118,NOVO LINO,9422,7492,1930,7492,69,228,0.795160263213755,0.20483973678624495,0.024198683931224794,0.007323285926554872,0.7636382933559753,7195
2020,AL,28134,OLHO D ÁGUA DAS FLORES,15533,12685,2848,12685,92,323,0.8166484259318869,0.18335157406811306,0.020794437648876587,0.005922873881413764,0.7899311144015966,12270
2020,AL,28150,OLHO D ÁGUA DO CASADO,7142,5781,1361,5781,39,239,0.8094371324558947,0.19056286754410529,0.03346401568188183,0.005460655278633436,0.7705124614953794,5503
2020,AL,28177,OLHO D ÁGUA GRANDE,4657,3928,729,3928,28,136,0.8434614558728796,0.15653854412712045,0.02920334979600601,0.006012454369765944,0.8082456517071076,3764
2020,AL,28193,OLIVENÇA,9174,7547,1627,7547,31,304,0.8226509701329845,0.17734902986701548,0.03313712666230652,0.0033791148899062567,0.7861347285807717,7212
2020,AL,28215,OURO BRANCO,8455,7049,1406,7049,53,221,0.8337078651685393,0.1662921348314607,0.026138379657007688,0.006268480189237138,0.8013010053222945,6775
2020,AL,28231,PALESTINA,4563,4048,515,4048,16,78,0.8871356563664256,0.11286434363357441,0.017094017094017096,0.0035064650449265836,0.8665351742274819,3954
2020,AL,28258,PALMEIRA DOS ÍNDIOS,50805,38811,11994,38811,811,2278,0.7639208739297313,0.23607912607026868,0.044838106485582126,0.015962995768133058,0.7031197716760161,35722
2020,AL,28274,PÃO DE AÇÚCAR,18122,14461,3661,14461,156,578,0.7979803553691646,0.20201964463083544,0.03189493433395872,0.00860832137733142,0.7574770996578744,13727
