municipality_id_tse,state,municipality_name,n_polls_2020,polled_2020,n_firms_2020,total_sample_2020,mean_sample_2020,total_cost_2020,mean_cost_2020,n_own_polls_2020,n_polls_last30_2020,last_poll_days_before_election_2020,n_polls_2024,polled_2024,n_firms_2024,total_sample_2024,mean_sample_2024,total_cost_2024,mean_cost_2024,n_own_polls_2024,n_polls_last30_2024,last_poll_days_before_election_2024,delta_n_polls_2024_2020,delta_polled_2024_2020,delta_n_firms_2024_2020,delta_total_sample_2024_2020,delta_mean_sample_2024_2020,delta_total_cost_2024_2020,delta_mean_cost_2024_2020,delta_n_own_polls_2024_2020,delta_n_polls_last30_2024_2020,delta_last_poll_days_before_election_2024_2020,polled_both,polled_either
00337,RO,ALVORADA DO OESTE,9.0,1.0,5.0,3182.0,353.55555555555554,6019200.0,668800.0,9.0,6.0,256.0,1.0,1.0,1.0,540.0,540.0,5000.0,5000.0,1.0,1.0,12.0,-8.0,0.0,-4.0,-2642.0,186.44444444444446,-6014200.0,-663800.0,-8.0,-5.0,-244.0,1,1
00353,RO,SANTA LUZIA DO OESTE,3.0,1.0,3.0,1222.0,407.3333333333333,8400.0,2800.0,3.0,3.0,23.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-3.0,-1.0,-3.0,-1222.0,,,,-3.0,-3.0,,0,1
00370,RO,NOVA BRASILÂNDIA DO OESTE,2.0,1.0,2.0,833.0,416.5,5500.0,2750.0,2.0,2.0,15.0,3.0,1.0,3.0,1040.0,346.6666666666667,11000.0,3666.6666666666665,1.0,3.0,6.0,1.0,0.0,1.0,207.0,-69.83333333333331,5500.0,916.6666666666665,-1.0,1.0,-9.0,1,1
00396,RO,MACHADINHO DO OESTE,9.0,1.0,5.0,3356.0,372.8888888888889,30800.0,3422.222222222222,9.0,6.0,141.0,7.0,1.0,3.0,2273.0,324.7142857142857,28600.0,4085.714285714286,3.0,5.0,165.0,-2.0,0.0,-2.0,-1083.0,-48.17460317460319,-2200.0,663.4920634920636,-6.0,-1.0,24.0,1,1
00418,RO,SÃO MIGUEL DO GUAPORÉ,3.0,1.0,3.0,934.0,311.3333333333333,7700.0,2566.6666666666665,3.0,2.0,95.0,2.0,1.0,1.0,880.0,440.0,10000.0,5000.0,2.0,1.0,132.0,-1.0,0.0,-2.0,-54.0,128.66666666666669,2300.0,2433.3333333333335,-1.0,-1.0,37.0,1,1
00434,RO,NOVA MAMORÉ,5.0,1.0,4.0,1897.0,379.4,14700.0,2940.0,5.0,3.0,95.0,1.0,1.0,1.0,250.0,250.0,4000.0,4000.0,0.0,1.0,5.0,-4.0,0.0,-3.0,-1647.0,-129.39999999999998,-10700.0,1060.0,-5.0,-2.0,-90.0,1,1
00450,RO,CABIXI,5.0,1.0,2.0,1489.0,297.8,2008700.0,401740.0,5.0,3.0,254.0,1.0,1.0,1.0,215.0,215.0,3000.0,3000.0,1.0,1.0,8.0,-4.0,0.0,-1.0,-1274.0,-82.80000000000001,-2005700.0,-398740.0,-4.0,-2.0,-246.0,1,1
00477,RO,CANDEIAS DO JAMARI,5.0,1.0,3.0,1951.0,390.2,17100.0,3420.0,5.0,1.0,99.0,6.0,1.0,2.0,1548.0,258.0,19500.0,3250.0,2.0,3.0,267.0,1.0,0.0,-1.0,-403.0,-132.2,2400.0,-170.0,-3.0,2.0,168.0,1,1
00493,RO,ITAPUÃ DO OESTE,1.0,1.0,1.0,212.0,212.0,2600.0,2600.0,1.0,0.0,33.0,1.0,1.0,1.0,233.0,233.0,3500.0,3500.0,0.0,1.0,24.0,0.0,0.0,0.0,21.0,21.0,900.0,900.0,-1.0,1.0,-9.0,1,1
00515,RO,NOVO HORIZONTE DO OESTE,3.0,1.0,2.0,1063.0,354.3333333333333,9200.0,3066.6666666666665,3.0,3.0,8.0,1.0,1.0,1.0,215.0,215.0,3000.0,3000.0,0.0,1.0,8.0,-2.0,0.0,-1.0,-848.0,-139.33333333333331,-6200.0,-66.66666666666652,-3.0,-2.0,0.0,1,1
