election_year,state,municipality_id_tse,municipality_name,main_subject_code,main_subject_name,topic_family,n_lawsuits
2020,AC,01007,BUJARI,10843,Difamação,unmapped,1
2020,AC,01007,BUJARI,11439,Induzimento à Inscrição de Eleitor em Infração às Normas Legais,unmapped,1
2020,AC,01007,BUJARI,11473,Falsidade Ideológica,unmapped,1
2020,AC,01007,BUJARI,11483,Divulgação de Fatos Inverídicos na Propaganda Eleitoral,unmapped,1
2020,AC,01007,BUJARI,11484,Calúnia na Propaganda Eleitoral,information_environment,1
2020,AC,01007,BUJARI,11486,Difamação na Propaganda Eleitoral,unmapped,1
2020,AC,01007,BUJARI,11605,Inelegibilidade - Representação ou Ação de Investigação Judicial Eleitoral Jugada Procedente pela Justiça Eleitoral,unmapped,1
2020,AC,01007,BUJARI,11642,Eleições - 1° Turno,unmapped,1
2020,AC,01007,BUJARI,11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,1
2020,AC,01007,BUJARI,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1
2020,AC,01007,BUJARI,11657,Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum,unmapped,1
2020,AC,01007,BUJARI,11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,1
2020,AC,01007,BUJARI,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,1
2020,AC,01007,BUJARI,11663,Propaganda Política - Propaganda Eleitoral - Conduta Vedada a Emissora de Rádio/Televisão na Programação Normal,unmapped,10
2020,AC,01007,BUJARI,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,1
2020,AC,01007,BUJARI,11671,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Inserções de Propaganda,unmapped,1
2020,AC,01007,BUJARI,11672,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Programa em Bloco,unmapped,1
2020,AC,01007,BUJARI,11673,Propaganda Política - Propaganda Eleitoral - Rádio,unmapped,21
2020,AC,01007,BUJARI,11675,Propaganda Política - Propaganda Eleitoral - Televisão,unmapped,2
2020,AC,01007,BUJARI,11676,Propaganda Política - Propaganda Eleitoral - Invasão de Horário Destinado a Outro Cargo/Partido/Coligação,unmapped,3
2020,AC,01007,BUJARI,11677,Propaganda Política - Propaganda Eleitoral - Imprensa Escrita - Jornal/Revista/Tabloide,unmapped,1
2020,AC,01007,BUJARI,11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,1
2020,AC,01007,BUJARI,11776,Veiculação de Propaganda Partidária - Em Inserções,unmapped,1
2020,AC,01007,BUJARI,12063,Conduta Vedada ao Agente Público,abuse_misuse_office,1
2020,AC,01007,BUJARI,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,4
2020,AC,01007,BUJARI,12644,Requerimentos Relativos ao Horário Eleitoral Gratuito,unmapped,1
2020,AC,01015,CAPIXABA,11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,1
2020,AC,01015,CAPIXABA,11657,Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum,unmapped,1
2020,AC,01015,CAPIXABA,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,1
2020,AC,01015,CAPIXABA,11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,1
2020,AC,01015,CAPIXABA,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,2
2020,AC,01015,CAPIXABA,12637,Propaganda Política - Propaganda Eleitoral - Redes Sociais,information_environment,2
2020,AC,01023,PORTO ACRE,11596,Inelegibilidade - Abuso do Poder Econômico ou Político,eligibility_ballot_access,1
2020,AC,01023,PORTO ACRE,11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,2
2020,AC,01023,PORTO ACRE,11671,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Inserções de Propaganda,unmapped,3
2020,AC,01023,PORTO ACRE,11676,Propaganda Política - Propaganda Eleitoral - Invasão de Horário Destinado a Outro Cargo/Partido/Coligação,unmapped,3
2020,AC,01023,PORTO ACRE,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,1
2020,AC,01023,PORTO ACRE,11721,Captação Ilícita de Sufrágio,unmapped,1
2020,AC,01031,SANTA ROSA DO PURUS,11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,1
2020,AC,01031,SANTA ROSA DO PURUS,11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,1
2020,AC,01031,SANTA ROSA DO PURUS,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,1
2020,AC,01040,MARECHAL THAUMATURGO,11593,Direito de Resposta,unmapped,7
2020,AC,01040,MARECHAL THAUMATURGO,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1
2020,AC,01040,MARECHAL THAUMATURGO,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1
2020,AC,01040,MARECHAL THAUMATURGO,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2
2020,AC,01040,MARECHAL THAUMATURGO,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3
2020,AC,01040,MARECHAL THAUMATURGO,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2
2020,AC,01040,MARECHAL THAUMATURGO,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2
2020,AC,01040,MARECHAL THAUMATURGO,11718,Abuso - De Poder Econômico,abuse_misuse_office,1
2020,AC,01040,MARECHAL THAUMATURGO,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1
2020,AC,01040,MARECHAL THAUMATURGO,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8
2020,AC,01058,BRASILÉIA,11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,1
2020,AC,01058,BRASILÉIA,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,2
2020,AC,01058,BRASILÉIA,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,2
2020,AC,01058,BRASILÉIA,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2
2020,AC,01058,BRASILÉIA,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,1
2020,AC,01066,PORTO WALTER,11593,Direito de Resposta,unmapped,7
2020,AC,01066,PORTO WALTER,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1
2020,AC,01066,PORTO WALTER,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1
2020,AC,01066,PORTO WALTER,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2
2020,AC,01066,PORTO WALTER,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3
2020,AC,01066,PORTO WALTER,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2
2020,AC,01066,PORTO WALTER,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2
2020,AC,01066,PORTO WALTER,11718,Abuso - De Poder Econômico,abuse_misuse_office,1
2020,AC,01066,PORTO WALTER,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1
2020,AC,01066,PORTO WALTER,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8
2020,AC,01074,CRUZEIRO DO SUL,11593,Direito de Resposta,unmapped,7
2020,AC,01074,CRUZEIRO DO SUL,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1
2020,AC,01074,CRUZEIRO DO SUL,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1
2020,AC,01074,CRUZEIRO DO SUL,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2
2020,AC,01074,CRUZEIRO DO SUL,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3
2020,AC,01074,CRUZEIRO DO SUL,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2
2020,AC,01074,CRUZEIRO DO SUL,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2
2020,AC,01074,CRUZEIRO DO SUL,11718,Abuso - De Poder Econômico,abuse_misuse_office,1
2020,AC,01074,CRUZEIRO DO SUL,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1
2020,AC,01074,CRUZEIRO DO SUL,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8
