election_year,state,municipality_id_tse,municipality_name,n_polls,n_firms,total_sample,mean_sample,total_cost,mean_cost,n_own_polls,n_polls_last30,last_poll_days_before_election,polled
2020,GO,93408,BONÓPOLIS,1,1,300.0,300.0,2000.0,2000.0,1,1,9,1
2020,GO,93424,PORTEIRÃO,8,7,2526.0,315.75,24650.0,3081.25,8,4,169,1
2020,GO,93432,DIORAMA,3,2,914.0,304.6666666666667,5500.0,1833.3333333333333,3,3,30,1
2020,GO,93440,SANTA RITA DO NOVO DESTINO,7,5,2437.0,348.14285714285717,34500.0,4928.571428571428,4,5,45,1
2020,GO,93483,SÃO PATRÍCIO,1,1,329.0,329.0,5000.0,5000.0,1,0,150,1
2020,GO,93491,EDÉIA,4,2,1315.0,328.75,8650.0,2162.5,4,0,288,1
2020,GO,93505,VILA PROPÍCIO,1,1,357.0,357.0,2000.0,2000.0,1,0,45,1
2020,GO,93513,ESTRELA DO NORTE,3,3,959.0,319.6666666666667,6000.0,2000.0,3,1,39,1
2020,GO,93548,IPIRANGA DE GOIÁS,2,2,645.0,322.5,4500.0,2250.0,2,1,35,1
2020,GO,93564,GAMELEIRA DE GOIÁS,7,4,1951.0,278.7142857142857,16200.0,2314.285714285714,7,4,286,1
2020,GO,93572,FIRMINÓPOLIS,9,5,4380.0,486.6666666666667,24950.0,2772.222222222222,6,1,281,1
2020,GO,93580,CAMPO LIMPO DE GOIÁS,1,1,360.0,360.0,2000.0,2000.0,1,1,29,1
2020,GO,93599,FLORES DE GOIÁS,2,1,667.0,333.5,4000.0,2000.0,2,0,116,1
2020,GO,93610,FORMOSA,6,3,2649.0,441.5,17800.0,2966.6666666666665,5,2,152,1
2020,GO,93637,FORMOSO,10,7,3219.0,321.9,25300.0,2530.0,6,6,72,1
2020,GO,93670,GOIANÁPOLIS,6,3,1864.0,310.6666666666667,18600.0,3100.0,5,2,286,1
2020,GO,93696,GOIANDIRA,1,1,356.0,356.0,2000.0,2000.0,1,1,30,1
2020,GO,93718,GOIANÉSIA,13,7,6243.0,480.2307692307692,47900.0,3684.6153846153848,6,8,66,1
2020,GO,93734,GOIÂNIA,53,14,38530.0,726.9811320754717,834607.94,15747.319622641508,30,25,279,1
2020,GO,93750,GOIANIRA,3,2,1217.0,405.6666666666667,5300.0,1766.6666666666667,3,1,86,1
2020,GO,93777,GOIÁS,4,2,1447.0,361.75,10650.0,2662.5,4,1,82,1
2020,GO,93793,GOIATUBA,10,4,3779.0,377.9,57000.0,5700.0,9,5,284,1
2020,GO,93815,GUAPÓ,12,5,4422.0,368.5,40600.0,3383.3333333333335,9,5,197,1
2020,GO,93831,GUARANI DE GOIÁS,4,3,1221.0,305.25,11000.0,2750.0,2,2,66,1
2020,GO,93874,HEITORAÍ,2,1,646.0,323.0,4000.0,2000.0,2,0,103,1
2020,GO,93890,HIDROLÂNDIA,10,2,3009.0,300.9,31650.0,3165.0,10,2,271,1
2020,GO,93912,HIDROLINA,2,2,651.0,325.5,4000.0,2000.0,1,1,40,1
