pair_id,cod_classe,classe,cod_assunto,assunto,fam_act10,kept
2479,12135.0,TUTELA ANTECIPADA ANTECEDENTE,12639.0,Propaganda Política - Propaganda Eleitoral - Aplicativo de Mensagem Instantânea,,False
1020,279.0,INQUÉRITO POLICIAL,11444.0,Majoração de Preços de Utilidade e Serviços Necessários à Realização das Eleições,,False
1075,279.0,INQUÉRITO POLICIAL,11465.0,Utilização de Veículos e Embarcações Públicas em Campanha Eleitoral,,False
325,12549.0,CANCELAMENTO DE INSCRIÇÃO ELEITORAL (CIE),12051.0,Impugnação - Inscrição Eleitoral,,False
1084,279.0,INQUÉRITO POLICIAL,11434.0,Votação de Eleitor na Seção Eleitoral na qual Não Está Inscrito ou Autorizado a Votar,,False
545,156.0,CUMPRIMENTO DE SENTENÇA,11649.0,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,,False
2094,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,,Identidade de Gênero,,False
1666,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11778.0,Requerimento,,False
2202,12630.0,REPRESENTAÇÃO ESPECIAL,11646.0,Eleições - Eleição Proporcional,,False
2566,12134.0,TUTELA CAUTELAR ANTECEDENTE,12046.0,Prestação de Contas - De Candidato,,False
2548,12134.0,TUTELA CAUTELAR ANTECEDENTE,11642.0,Eleições - 1° Turno,,False
2071,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,3585.0,Exercício arbitrário ou abuso de poder,abuso,True
459,12550.0,COMPOSIÇÃO DE MESA RECEPTORA,11428.0,DIREITO ELEITORAL,,False
2047,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,3576.0,Denunciação caluniosa,honra,True
2162,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,10823.0,Uso de símbolos governamentais em propaganda eleitoral,,False
862,12556.0,IMPUGNAÇÃO PERANTE AS JUNTAS ELEITORAIS,11646.0,Eleições - Eleição Proporcional,,False
1715,1733.0,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),11472.0,Falsificação ou Alteração de Documento Público para Fins Eleitorais,fraude,True
1596,241.0,PETIÇÃO CÍVEL,11433.0,Práticas Irregulares que Determinam a Anulação da Votação,,False
797,1116.0,EXECUÇÃO FISCAL,12366.0,Execução - Cumprimento de Sentença,,False
800,1116.0,EXECUÇÃO FISCAL,11732.0,Execução de Julgado,,False
2395,278.0,TERMO CIRCUNSTANCIADO,11449.0,Recusa ou Abandono do Serviço Eleitoral,,False
810,12554.0,FILIAÇÃO PARTIDÁRIA,11589.0,Condição de Elegibilidade - Filiação Partidária,,False
1348,1727.0,PETIÇÃO CRIMINAL,11472.0,Falsificação ou Alteração de Documento Público para Fins Eleitorais,,False
680,386.0,EXECUÇÃO DA PENA,11473.0,Falsidade Ideológica,,False
1439,241.0,PETIÇÃO CÍVEL,11435.0,Contagem de Votos de Eleitores em Relação aos quais Houve Impugnação,,False
2265,326.0,RESTITUIÇÃO DE COISAS APREENDIDAS,11455.0,Descumprimento da Proibição de Fornecimento de Transporte ou Refeições a Eleitores,vote_buying,True
627,12625.0,DIREITO DE RESPOSTA,12638.0,Propaganda Política - Propaganda Eleitoral - Impulsionamento,,False
1484,241.0,PETIÇÃO CÍVEL,11473.0,Falsidade Ideológica,,False
2249,326.0,RESTITUIÇÃO DE COISAS APREENDIDAS,11513.0,Arregimentação de Eleitor ou Boca de Urna,vote_buying,True
2048,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,3573.0,Desacato,,False
591,157.0,CUMPRIMENTO PROVISÓRIO DE SENTENÇA,10880.0,Cumprimento Provisório de Sentença,,False
2520,12134.0,TUTELA CAUTELAR ANTECEDENTE,11714.0,Apuração/Totalização de Votos,,False
556,156.0,CUMPRIMENTO DE SENTENÇA,11654.0,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,,False
561,156.0,CUMPRIMENTO DE SENTENÇA,11658.0,Propaganda Política - Propaganda Eleitoral - Bem Público,,False
2374,278.0,TERMO CIRCUNSTANCIADO,3386.0,Leve,,False
755,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,14221.0,Falsificação ou Alteração de Documento Particular para Fins Eleitorais,,False
1002,279.0,INQUÉRITO POLICIAL,11439.0,Induzimento à Inscrição de Eleitor em Infração às Normas Legais,,False
182,11528.0,AÇÃO PENAL ELEITORAL,3402.0,Ameaça,,False
1157,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11643.0,Eleições - 2° Turno,,False
2149,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,11449.0,Recusa ou Abandono do Serviço Eleitoral,,False
115,11526.0,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,11604.0,Inelegibilidade - Rejeição de Contas Públicas,inelegib,True
1561,241.0,PETIÇÃO CÍVEL,11443.0,Promoção de Desordem nos Trabalhos Eleitorais,,False
988,279.0,INQUÉRITO POLICIAL,3579.0,Falso testemunho ou falsa perícia,,False
987,279.0,INQUÉRITO POLICIAL,10753.0,Falso eleitoral,,False
1222,309.0,PEDIDO DE BUSCA E APREENSÃO CRIMINAL,11735.0,Cautelar Inominada - De Busca e Apreensão,,False
223,11528.0,AÇÃO PENAL ELEITORAL,3576.0,Denunciação caluniosa,honra,True
1984,272.0,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,10819.0,Aliciamento de eleitores,vote_buying,True
2472,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11651.0,Pesquisa Eleitoral - Registro de Pesquisa Eleitoral,,False
510,1303.0,CORREIÇÃO EXTRAORDINÁRIA,,Correição extraordinária,,False
631,12625.0,DIREITO DE RESPOSTA,11680.0,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,,False
649,172.0,EMBARGOS À EXECUÇÃO,9518.0,Efeito Suspensivo / Impugnação / Embargos à Execução,,False
1470,241.0,PETIÇÃO CÍVEL,11644.0,Eleições - Anulação de Eleições,,False
2554,12134.0,TUTELA CAUTELAR ANTECEDENTE,12586.0,Filiação Partidária - Lista Especial,,False
672,386.0,EXECUÇÃO DA PENA,11452.0,Desobediência a Ordens ou Instruções da Justiça Eleitoral,,False
2577,12134.0,TUTELA CAUTELAR ANTECEDENTE,11660.0,Propaganda Política - Propaganda Eleitoral - Boca de Urna,,False
91,11526.0,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,11720.0,Abuso - Uso Indevido de Meio de Comunicação Social,abuso,True
1871,11541.0,REPRESENTAÇÃO,11484.0,Calúnia na Propaganda Eleitoral,honra,True
222,11528.0,AÇÃO PENAL ELEITORAL,15020.0,Denunciação Caluniosa para Fins Eleitorais,honra,True
101,11526.0,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,11591.0,Condição de Elegibilidade - Pleno Exercício dos Direitos Políticos,,False
102,11526.0,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,11592.0,Condição de Elegibilidade - Quitação Eleitoral,,False
294,11528.0,AÇÃO PENAL ELEITORAL,11518.0,Subscrição de Mais de Uma Ficha de Filiação Partidária,,False
1098,305.0,LIBERDADE PROVISÓRIA COM OU SEM FIANÇA,12334.0,"Promoção, constituição, financiamento ou integração de Organização Criminosa",,False
2580,12134.0,TUTELA CAUTELAR ANTECEDENTE,11663.0,Propaganda Política - Propaganda Eleitoral - Conduta Vedada a Emissora de Rádio/Televisão na Programação Normal,,False
737,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,11455.0,Descumprimento da Proibição de Fornecimento de Transporte ou Refeições a Eleitores,,False
1521,241.0,PETIÇÃO CÍVEL,10939.0,Intimação / Notificação,,False
2376,278.0,TERMO CIRCUNSTANCIADO,11450.0,Não Cumprimento dos Deveres Impostos pelo Código Eleitoral à Autoridade Judiciária e aos Funcionários da Justiça Eleitoral,,False
2546,12134.0,TUTELA CAUTELAR ANTECEDENTE,11724.0,Diplomação,,False
1809,12557.0,RECURSO/IMPUGNAÇÃO DE ALISTAMENTO ELEITORAL,,NI,,False
399,11955.0,CAUTELAR INOMINADA CRIMINAL,3395.0,Calúnia,,False
1340,1727.0,PETIÇÃO CRIMINAL,11514.0,Divulgação de Propaganda Eleitoral no Dia da Eleição,,False
971,279.0,INQUÉRITO POLICIAL,3431.0,Estelionato,,False
953,279.0,INQUÉRITO POLICIAL,3573.0,Desacato,,False
959,279.0,INQUÉRITO POLICIAL,10754.0,Desobediência à determinações da Justiça Eleitoral,,False
1812,12557.0,RECURSO/IMPUGNAÇÃO DE ALISTAMENTO ELEITORAL,11618.0,Registro de Candidatura - RRC - Candidato,,False
940,279.0,INQUÉRITO POLICIAL,11437.0,Crimes contra o Serviço da Justiça Eleitoral,,False
352,355.0,CARTA PRECATÓRIA CRIMINAL,15040.0,Busca e Apreensão,,False
861,12556.0,IMPUGNAÇÃO PERANTE AS JUNTAS ELEITORAIS,11645.0,Eleições - Eleição Majoritária,,False
1336,1727.0,PETIÇÃO CRIMINAL,3396.0,Difamação,,False
1704,1733.0,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP),11485.0,Divulgação de Falsa Imputação,honra,True
1175,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11659.0,Propaganda Política - Propaganda Eleitoral - Bem Tombado,,False
756,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,11472.0,Falsificação ou Alteração de Documento Público para Fins Eleitorais,,False
1160,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11647.0,Eleições - Eleição Suplementar,,False
933,279.0,INQUÉRITO POLICIAL,,Crimes Eleitorais,,False
946,279.0,INQUÉRITO POLICIAL,3633.0,Crimes do Sistema Nacional de Armas,,False
950,279.0,INQUÉRITO POLICIAL,11466.0,Dano a Equipamento Eleitoral,,False
22,11530.0,APURAÇÃO DE ELEIÇÃO,11724.0,Diplomação,,False
766,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,11489.0,"Inutilização, Alteração ou Perturbação de Propaganda",,False
1489,241.0,PETIÇÃO CÍVEL,12586.0,Filiação Partidária - Lista Especial,,False
153,11527.0,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,11598.0,Inelegibilidade - Condenação Criminal por órgão colegiado ou Transitada em Julgado,inelegib,True
243,11528.0,AÇÃO PENAL ELEITORAL,11473.0,Falsidade ideológica,fraude,True
2358,278.0,TERMO CIRCUNSTANCIADO,11472.0,Falsificação ou Alteração de Documento Público para Fins Eleitorais,fraude,True
2450,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11645.0,Eleições - Eleição Majoritária,,False
2445,12135.0,TUTELA ANTECIPADA ANTECEDENTE,11698.0,Contas - Não Apresentação das Contas,,False
162,11527.0,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,14939.0,Inelegibilidade - Responsável por Doação Tida com Ilegal,finance,True
2344,278.0,TERMO CIRCUNSTANCIADO,10815.0,Desordem eleitoral,,False
110,11526.0,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,11598.0,Inelegibilidade - Condenação Criminal por órgão colegiado ou Transitada em Julgado,inelegib,True
724,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,11504.0,Concentração de Eleitores para Embaraçar ou Fraudar o Exercício do Voto,,False
723,12729.0,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,11502.0,Coação Visando a Obtenção de Voto ou a sua Abstenção,,False
628,12625.0,DIREITO DE RESPOSTA,11678.0,Propaganda Política - Propaganda Eleitoral - Inobservância do Limite Legal,,False
2303,278.0,TERMO CIRCUNSTANCIADO,11470.0,Alteração do Resultado de Votação nos Mapas ou Boletins de Apuração,ballot_integrity,True
