municipality_id_tse,prefeito_blank_share_cast_2020,prefeito_blank_share_cast_2024,vereador_blank_share_cast_2020,vereador_blank_share_cast_2024,prefeito_invalid_share_cast_2020,prefeito_invalid_share_cast_2024,vereador_invalid_share_cast_2020,vereador_invalid_share_cast_2024,prefeito_null_share_cast_2020,prefeito_null_share_cast_2024,vereador_null_share_cast_2020,vereador_null_share_cast_2024,delta_prefeito_null_share_cast_2024_2020,delta_prefeito_blank_share_cast_2024_2020,delta_prefeito_invalid_share_cast_2024_2020,delta_vereador_null_share_cast_2024_2020,delta_vereador_blank_share_cast_2024_2020,delta_vereador_invalid_share_cast_2024_2020,rolloff_null_share_cast_2020,rolloff_null_share_cast_2024,delta_rolloff_null_share_cast_2024_2020,rolloff_blank_share_cast_2020,rolloff_blank_share_cast_2024,delta_rolloff_blank_share_cast_2024_2020,rolloff_invalid_share_cast_2020,rolloff_invalid_share_cast_2024,delta_rolloff_invalid_share_cast_2024_2020
00019,0.018062643850695486,0.010528725108720532,0.018813169218452917,0.014099336232547494,0.049934954468127686,0.028473334859235522,0.0412288602021415,0.028702220187685968,0.031872310617432204,0.01794460975051499,0.02241569098368858,0.014602883955138476,-0.013927700866917213,-0.007533918741974954,-0.021461619608892164,-0.007812807028550105,-0.004713832985905423,-0.012526640014455529,-0.009456619633743623,-0.003341725795376515,0.006114893838367108,0.0007505253677574306,0.003570611123826962,0.0028200857560695316,-0.008706094265986189,0.0002288853284504455,0.008934979594436634
00035,0.03578240318434364,0.02744382597687883,0.03585288995770793,0.026449727274419643,0.08885894352765569,0.06914756967068153,0.06987312380794428,0.04903847943853901,0.05307654034331205,0.041703743693802704,0.03402023385023634,0.022588752164119368,-0.011372796649509347,-0.008338577207464812,-0.019711373856974163,-0.011431481686116969,-0.00940316268328829,-0.02083464436940527,-0.019056306493075714,-0.019114991529683337,-5.8685036607622476e-05,7.048677336429082e-05,-0.0009940987024591869,-0.0010645854758234777,-0.018985819719711416,-0.020109090232142524,-0.001123270512431107
00051,0.03429777362502819,0.015482526862540846,0.03027032251828463,0.02066239529673654,0.08261107710152399,0.03700109875997089,0.05699648806263492,0.03764323121049102,0.048313303476495796,0.021518571897430044,0.02672616554435029,0.016980835913754478,-0.026794731579065752,-0.018815246762487345,-0.0456099783415531,-0.009745329630595812,-0.009607927221548088,-0.019353256852143903,-0.021587137932145506,-0.004537735983675566,0.01704940194846994,-0.004027451106743563,0.005179868434195696,0.009207319540939259,-0.025614589038889066,0.0006421324505201317,0.026256721489409197
00078,0.03283345444936249,0.019429596972416214,0.03459514214617604,0.026393819983613592,0.07991455814670455,0.04344348640318364,0.08090550747616217,0.04445788303226562,0.04708110369734205,0.02401388943076743,0.04631036532998613,0.01806406304865202,-0.023067214266574623,-0.013403857476946276,-0.036471071743520905,-0.028246302281334106,-0.008201322162562447,-0.03644762444389655,-0.0007707383673559234,-0.005949826382115407,-0.005179088014759484,0.0017616876968135492,0.006964223011197378,0.005202535314383829,0.0009909493294576188,0.0010143966290819748,2.3447299624355933e-05
00094,0.02985694004586655,0.01865760139141434,0.029354592115321612,0.029014151316309588,0.07718685158894835,0.04292829472685588,0.05495249535874194,0.048561151079136694,0.0473299115430818,0.02427069333544154,0.025597903243420334,0.019546999762827102,-0.02305921820764026,-0.011199338654452207,-0.03425855686209247,-0.006050903480593232,-0.0003404407990120241,-0.006391344279605249,-0.021732008299661463,-0.004723693572614436,0.017008314727047027,-0.0005023479305449365,0.010356549924895247,0.010858897855440183,-0.022234356230206406,0.005632856352280814,0.02786721258248722
00116,0.12432076403754322,0.01864008816905458,0.04067182611559361,0.020796396569073745,0.26829134420110873,0.053620202213809955,0.08315494813107195,0.04130528535147827,0.1439705801635655,0.03498011404475538,0.042483122015478346,0.020508888782404523,-0.10899046611881014,-0.10568067586848864,-0.21467114198729878,-0.021974233233073823,-0.019875429546519868,-0.041849662779593684,-0.10148745814808716,-0.014471225262350857,0.0870162328857363,-0.0836489379219496,0.0021563084000191662,0.08580524632196877,-0.1851363960700368,-0.012314916862331687,0.1728214792077051
00132,0.024136542591267,0.03546024885121383,0.03514226914817466,0.04190184435258818,0.07207408732999285,0.07916657924001763,0.07292412312097352,0.07150800478398624,0.04793754473872584,0.043706330388803796,0.03778185397279885,0.029606160431398056,-0.004231214349922047,0.011323706259946827,0.007092491910024784,-0.008175693541400797,0.006759575204413525,-0.0014161183369872793,-0.01015569076592699,-0.01410016995740574,-0.00394447919147875,0.011005726556907656,0.006441595501374353,-0.004564131055533303,0.0008500357909806688,-0.0076585744560313945,-0.008508610247012063
00159,0.018845427748153544,0.01721198609927218,0.02209121319511145,0.017310340305553736,0.06054383466366376,0.039013835158350274,0.04822309806908886,0.03091600550783555,0.04169840691551022,0.021801849059078095,0.026131884873977412,0.013605665202281817,-0.019896557856432122,-0.0016334416488813647,-0.021529999505313487,-0.012526219671695595,-0.004780872889557714,-0.017307092561253307,-0.015566522041532804,-0.008196183856796277,0.007370338184736527,0.0032457854469579057,9.835420628155622e-05,-0.0031474312406763495,-0.012320736594574902,-0.008097829650514723,0.004222906944060179
00175,0.015546543066821166,0.009025611945940837,0.023609501738122828,0.016964370097344295,0.05214368482039398,0.028872507324449483,0.06614522981846273,0.03752008316794254,0.03659714175357281,0.019846895378508648,0.042535728080339896,0.020555713070598242,-0.01675024637506416,-0.006520931120880329,-0.023271177495944494,-0.021980015009741654,-0.006645131640778533,-0.02862514665052019,0.005938586326767088,0.0007088176920895944,-0.005229768634677494,0.008062958671301662,0.007938758151403458,-0.000124200519898204,0.01400154499806875,0.008647575843493054,-0.005353969154575696
00191,0.02336324065026206,0.01475451539048588,0.024518077640579197,0.017213601288900194,0.06280536555032425,0.03739506486899008,0.05125699564715288,0.032561689137624014,0.039442124900062187,0.022640549478504197,0.026738918006573686,0.015348087848723818,-0.01680157542155799,-0.008608725259776179,-0.025410300681334166,-0.011390830157849868,-0.007304476351679003,-0.018695306509528865,-0.0127032068934885,-0.007292461629780379,0.005410745263708121,0.0011548369903171367,0.002459085898414313,0.0013042489080971765,-0.011548369903171367,-0.004833375731366066,0.006714994171805301
00213,0.011536754917911552,0.011215218625780806,0.01656559680520633,0.008801817149346962,0.04156189912734803,0.03094832481544577,0.043484691613666616,0.02285633162975582,0.030025144209436475,0.019733106189664965,0.026919094808460286,0.014054514480408859,-0.01029203801977151,-0.0003215362921307457,-0.010613574311902258,-0.012864580328051427,-0.007763779655859369,-0.020628359983910795,-0.0031060494009761894,-0.005678591709256105,-0.002572542308279916,0.0050288418872947785,-0.0024134014764338445,-0.007442243363728623,0.0019227924863185891,-0.008091993185689948,-0.010014785672008537
00230,0.026749611197511663,0.012587412587412588,0.028304821150855364,0.01938061938061938,0.0751684810782789,0.03136863136863137,0.07817522032141005,0.047752247752247755,0.04841886988076724,0.018781218781218783,0.04987039917055469,0.028371628371628373,-0.029637651099548457,-0.014162198610099075,-0.04379984970964754,-0.021498770798926318,-0.008924201770235982,-0.0304229725691623,0.001451529289787451,0.00959040959040959,0.00813888030062214,0.001555209953343701,0.006793206793206793,0.005237996839863092,0.0030067392431311485,0.016383616383616385,0.013376877140485237
