municipality_id_tse,total_per_cand_2020,total_per_cand_2024,legal_per_cand_2020,legal_per_cand_2024,marketing_per_cand_2020,marketing_per_cand_2024,traditional_marketing_per_cand_2020,traditional_marketing_per_cand_2024,online_marketing_per_cand_2020,online_marketing_per_cand_2024,delta_total_per_cand,delta_legal_per_cand,delta_marketing_per_cand,delta_traditional_marketing_per_cand,delta_online_marketing_per_cand,cod_ibge
00019,683.1172244496495,3212.637237569061,10.714258041103495,48.61878453038674,377.4090781239175,717.5968508287293,369.82532346107877,683.2941988950276,7.583754662838689,34.30265193370166,2529.5200131194115,37.90452648928324,340.18777270481183,313.4688754339489,26.71889727086297,1100106
00035,9510.69720916578,36962.506122448984,498.6256402687516,2408.484739229025,3920.54136991939,11916.535804988662,3631.8804232017146,10620.19403628118,288.6609467176741,1296.341768707483,27451.808913283203,1909.8590989602733,7995.994435069271,6988.3136130794655,1007.6808219898089,1100205
00051,3922.179058083339,19909.28188481676,0.0,1071.1864397905758,1474.8349668117605,8262.228481675393,1396.287406746739,7418.519581151833,78.5475600650219,843.7089005235601,15987.10282673342,1071.1864397905758,6787.393514863632,6022.232174405094,765.1613404585382,1100122
00078,5152.807194600882,11433.452027027024,128.41963369285904,777.027027027027,2214.5024960564297,4102.902635135136,2060.1670709811992,3204.5716216216215,154.33542507522998,898.3310135135134,6280.644832426142,648.6073933341679,1888.4001390787062,1144.4045506404223,743.9955884382834,1100023
00094,4612.149751965886,7968.909874213835,156.7785560649131,187.16981132075472,1884.1391545908448,3100.297421383648,1777.1270882832137,2550.3059748427677,107.01206630763123,549.9914465408805,3356.760122247949,30.391255255841628,1216.158266792803,773.178886559554,442.97938023324923,1100049
00116,4132.321440198392,12175.64288,199.42583812198623,1944.8,1175.8769916291803,2559.0767199999996,1105.970570247856,2197.1282399999996,69.90642138132459,361.94847999999996,8043.321439801607,1745.3741618780136,1383.1997283708192,1091.1576697521436,292.04205861867536,1100189
00132,6282.031439098334,11261.009699248121,759.432039112257,756.390977443609,1425.9847685429206,3945.269022556391,1288.7177241265204,3022.187067669173,137.26704441640018,923.0819548872179,4978.978260149787,-3.0410616686480125,2519.2842540134707,1733.4693435426525,785.8149104708177,1100304
00159,5716.895643409083,12891.525488721805,34.796611589391844,66.40601503759399,2137.3813449292206,3717.786616541353,2015.101093286946,3255.452030075188,122.28025164227442,462.3345864661655,7174.629845312722,31.609403448202144,1580.4052716121323,1240.3509367882418,340.05433482389105,1100114
00175,4198.524400125523,7629.027291666668,11.195431554847811,0.0,1036.680616648837,1374.4702083333334,987.9916848168039,1125.4246875,48.688931832033134,249.0455208333333,3430.502891541145,-11.195431554847811,337.7895916844964,137.43300268319604,200.35658900130016,1100155
00191,2121.7383163837476,4613.821408450704,6.997144721779882,0.0,1062.8307377431772,1470.0042253521126,1060.7315943266433,1458.032394366197,2.0991434165339644,11.971830985915492,2492.083092066957,-6.997144721779882,407.1734876089354,397.3008000395537,9.872687569381528,1100254
00213,1878.156204838284,2892.0178873239433,237.85548227121578,554.9295774647887,260.3317342656518,410.17464788732394,257.0584936839378,330.4577464788732,3.2732405817139787,79.7169014084507,1013.8616824856592,317.07409519357293,149.84291362167215,73.39925279493542,76.44366082673672,1100080
00230,1683.3681725005513,3210.4493814432994,12.813437972417482,103.09278350515464,319.8277033736364,625.5761855670103,292.2070810036195,549.8029896907217,27.62062237001686,75.77319587628865,1527.0812089427482,90.27934553273715,305.7484821933739,257.59590868710217,48.15257350627179,1100064
00256,2838.230410154021,5579.282500000001,150.5738016351562,93.75,862.2637840276238,2192.351458333333,707.5254878077579,1784.1864583333333,154.73829621986587,408.16499999999996,2741.0520898459804,-56.8238016351562,1330.0876743057092,1076.6609705255755,253.4267037801341,1100098
00272,1425.5091252461636,3275.848181818182,0.0,0.0,451.98668173689566,678.7119696969696,451.98668173689566,616.5909090909091,0.0,62.1210606060606,1850.3390565720185,0.0,226.72528796007396,164.60422735401346,62.1210606060606,1100056
00299,3190.1930478526106,5700.187737226278,54.019914495419506,72.99270072992701,1141.5807048667575,2197.780583941606,1045.405989962074,1752.2345985401462,96.17471490468343,445.54598540145986,2509.9946893736674,18.972786234507502,1056.1998790748485,706.8286085780721,349.37127049677645,1100288
