office_group,election_year,state,municipality_id_tse,municipality_name,total_valid_votes,n_candidates_with_votes,vote_hhi_candidate,female_vote_share,nonwhite_vote_share,higher_education_vote_share,new_candidate_vote_share,incumbent_candidate_vote_share,effective_n_candidates_vote,winner_vote_share,runnerup_vote_share,margin_top1_top2,top2_vote_share,others_vote_share,winner_majority,winner_is_female,winner_is_new_vs_2020,vote_hhi_party,effective_n_parties_vote
executive,2020,AC,01007,BUJARI,7051,5,0.3533436849393626,0.061126081406892636,1.0,0.061126081406892636,0.0,0.0,2.8301057656417727,0.480215572259254,0.3277549283789533,0.15246064388030067,0.8079705006382073,0.1920294993617927,0,0,0,0.3533436849393625,2.830105765641773
executive,2020,AC,01015,CAPIXABA,5897,4,0.3068449454025493,0.0,1.0,0.1227742920128879,0.0,0.0,3.2589749806310215,0.4454807529252162,0.2235034763439037,0.22197727658131253,0.6689842292691199,0.33101577073088007,0,0,0,0.3068449454025493,3.2589749806310215
executive,2020,AC,01023,PORTO ACRE,9531,5,0.41962815241631374,0.0,0.9870947434686811,0.30259154338474453,0.0,0.0,2.383062228408113,0.568146049732452,0.2896862868534257,0.2784597628790263,0.8578323365858777,0.14216766341412235,1,0,0,0.4196281524163138,2.383062228408113
executive,2020,AC,01031,SANTA ROSA DO PURUS,2845,4,0.3351446282906218,0.03304042179261863,1.0,0.03304042179261863,0.0,0.0,2.9837864479595555,0.4063268892794376,0.35711775043936733,0.04920913884007028,0.7634446397188049,0.23655536028119506,0,0,0,0.3351446282906218,2.9837864479595555
executive,2020,AC,01040,MARECHAL THAUMATURGO,8373,3,0.45146123442025415,0.39448226442135437,0.4600501612325331,1.0,0.0,0.0,2.215029605552189,0.5399498387674668,0.39448226442135437,0.14546757434611246,0.9344321031888212,0.0655678968111788,1,0,0,0.45146123442025415,2.215029605552189
executive,2020,AC,01058,BRASILÉIA,12868,3,0.48312845459151044,0.951274479328567,0.35669878769039476,0.951274479328567,0.0,0.0,2.0698428968451243,0.5945756916381723,0.35669878769039476,0.2378769039477775,0.951274479328567,0.04872552067143299,1,1,0,0.48312845459151044,2.0698428968451243
executive,2020,AC,01066,PORTO WALTER,5423,2,0.5332756252361315,0.0,1.0,0.37101235478517425,0.0,0.0,1.8752029019837642,0.6289876452148258,0.37101235478517425,0.2579752904296515,1.0,0.0,1,0,0,0.5332756252361315,1.8752029019837642
executive,2020,AC,01074,CRUZEIRO DO SUL,42509,3,0.35951345831628956,0.0,0.7864687477945846,1.0,0.0,0.0,2.7815370380939366,0.441459455644687,0.3450092921498977,0.09645016349478935,0.7864687477945846,0.21353125220541536,0,0,0,0.35951345831628956,2.7815370380939366
executive,2020,AC,01082,RODRIGUES ALVES,8971,5,0.514570568927552,0.0,0.7391595139895218,0.7049381339872924,0.0,0.0,1.9433680439286707,0.6662579422583882,0.2608404860104782,0.40541745624791,0.9270984282688663,0.07290157173113365,1,0,0,0.514570568927552,1.9433680439286707
executive,2020,AC,01090,MÂNCIO LIMA,7575,2,0.5037384134453049,0.0,1.0,0.0,0.0,0.0,1.9851573223501613,0.5432343234323432,0.45676567656765676,0.08646864686468647,1.0,0.0,1,0,0,0.5037384134453049,1.9851573223501613
executive,2020,AC,01104,JORDÃO,4186,5,0.23787285856502083,0.47013855709507885,1.0,0.44648829431438125,0.0,0.0,4.203926442186582,0.3019589106545628,0.2515527950310559,0.05040611562350694,0.5535117056856187,0.4464882943143813,0,0,0,0.2378728585650208,4.2039264421865825
executive,2020,AC,01112,EPITACIOLÂNDIA,9036,4,0.3486032506636677,0.10878707392651615,0.5590969455511288,1.0,0.0,0.0,2.8685905770993503,0.4409030544488712,0.3683045595396193,0.07259849490925185,0.8092076139884905,0.1907923860115095,0,0,0,0.3486032506636677,2.8685905770993503
executive,2020,AC,01120,ACRELÂNDIA,6849,4,0.31117825842532193,0.08307782157979267,0.6488538472769747,0.18061030807417142,0.0,0.0,3.213592122599995,0.38516571762301066,0.35114615272302524,0.03401956489998542,0.7363118703460358,0.26368812965396415,0,0,0,0.3111782584253219,3.2135921225999953
executive,2020,AC,01139,FEIJÓ,15496,4,0.4422510886950292,0.0,0.04556014455343314,0.6311306143520908,0.0,0.0,2.2611589333804614,0.5503355704697986,0.36886938564790916,0.18146618482188948,0.9192049561177078,0.0807950438822922,1,0,0,0.4422510886950292,2.2611589333804614
executive,2020,AC,01392,RIO BRANCO,177462,7,0.32533423943209033,0.2268091196988651,0.7201372688237482,1.0,0.0,0.0,3.0737619309471365,0.49580755316631164,0.2268091196988651,0.26899843346744656,0.7226166728651767,0.2773833271348233,0,0,0,0.32533423943209033,3.0737619309471365
executive,2020,AC,01457,SENA MADUREIRA,21512,2,0.5088006827050857,0.0,0.56633506879881,0.43366493120119004,0.0,0.0,1.9654061678600898,0.56633506879881,0.43366493120119004,0.13267013759761997,1.0,0.0,1,0,0,0.5088006827050857,1.9654061678600898
executive,2020,AC,01473,TARAUACÁ,18562,6,0.24612844769389997,0.2942032108608986,1.0,0.7464174119168193,0.0,0.0,4.062919217057184,0.2942032108608986,0.25051179829759723,0.04369141256330139,0.5447150091584958,0.4552849908415042,0,1,0,0.24612844769389997,4.062919217057184
executive,2020,AC,01490,XAPURI,8797,4,0.3042507838730816,0.265772422416733,0.5701943844492441,0.8634761850630897,0.0,0.0,3.2867622796894773,0.43367056951233374,0.265772422416733,0.16789814709560075,0.6994429919290668,0.3005570080709332,0,0,0,0.3042507838730816,3.2867622796894773
executive,2020,AC,01511,PLÁCIDO DE CASTRO,9411,4,0.33597330317037893,0.009988311550313463,0.2846668791839337,0.4178089469769419,0.0,0.0,2.9764269677489215,0.4078206354266284,0.29752417383912444,0.11029646158750395,0.7053448092657528,0.2946551907342472,0,0,0,0.3359733031703789,2.976426967748922
executive,2020,AC,01538,SENADOR GUIOMARD,13618,5,0.2647001893621698,0.4472022323395506,0.7597297694228228,0.3816272580408283,0.0,0.0,3.7778590276404125,0.32515787927742695,0.29321486268174474,0.031943016595682217,0.6183727419591717,0.3816272580408283,0,1,0,0.2647001893621698,3.7778590276404125
executive,2020,AC,01554,MANOEL URBANO,5396,2,0.510128579993087,0.0,1.0,0.0,0.0,0.0,1.9602900900270113,0.5711638250555967,0.42883617494440324,0.14232765011119347,1.0,0.0,1,0,0,0.510128579993087,1.9602900900270113
executive,2020,AC,01570,ASSIS BRASIL,4765,5,0.2341610356206556,0.0,0.9187827911857293,0.6157397691500525,0.0,0.0,4.270565328469144,0.3322140608604407,0.22707240293809025,0.10514165792235045,0.559286463798531,0.440713536201469,0,0,0,0.23416103562065557,4.270565328469145
executive,2020,AL,27006,PARIPUEIRA,8162,2,0.5024044164238253,0.0,0.4653271257044842,0.5346728742955158,0.0,0.0,1.990428362708512,0.5346728742955158,0.4653271257044842,0.0693457485910316,1.0,0.0,1,0,0,0.5024044164238253,1.990428362708512
executive,2020,AL,27014,ÁGUA BRANCA,11012,4,0.3909612886064656,0.06338539774791137,0.9366146022520886,0.16990555757355613,0.0,0.0,2.5577979946924656,0.5396839811115147,0.29041046131492915,0.24927351979658557,0.8300944424264438,0.1699055575735562,1,0,0,0.39096128860646556,2.5577979946924656
